rank,symbol,name,rt_price,market_cap,target_weight,change_date,今开,最高,最低,成交额,signal_date,effective_date
1,688701,卓锦股份,9.54,1281006128.8799999,0.01,2025-06-30,9.59,9.63,9.27,24862124.0,2026-03-05,2026-03-06
2,688296,和达科技,14.1,1521371106.0,0.01,2025-06-30,13.92,14.19,13.71,25177904.0,2026-03-05,2026-03-06
3,002883,中设股份,9.9,1545955943.4,0.01,2025-06-30,9.41,9.92,9.41,32059711.8,2026-03-05,2026-03-06
4,002856,美芝股份,11.59,1568275444.72,0.01,2025-06-30,11.25,11.65,10.99,48693100.64,2026-03-05,2026-03-06
5,688659,元琛科技,9.84,1574400000.0,0.01,2025-11-17,9.84,9.92,9.65,34147016.0,2026-03-05,2026-03-06
6,301098,金埔园林,8.56,1574488556.24,0.01,2025-12-31,8.42,8.62,8.3,39893173.0,2026-03-05,2026-03-06
7,688217,睿昂基因,28.22,1576253385.12,0.01,2025-06-30,27.6,28.34,27.45,21979963.0,2026-03-05,2026-03-06
8,600543,莫高股份,4.94,1586332800.0000002,0.01,2025-06-30,4.82,4.97,4.77,25782140.0,2026-03-05,2026-03-06
9,002719,麦趣尔,9.25,1610789977.25,0.01,2025-06-30,8.97,9.31,8.93,41133875.0,2026-03-05,2026-03-06
10,603729,龙韵股份,17.48,1631548240.0,0.01,2026-01-30,16.97,17.58,16.87,39875037.0,2026-03-05,2026-03-06
11,002193,如意集团,6.28,1643573654.0,0.01,2025-06-30,6.19,6.3,6.1,45933490.4,2026-03-05,2026-03-06
12,600455,博通股份,26.79,1673249820.0,0.01,2025-06-30,26.36,27.08,26.17,34285731.0,2026-03-05,2026-03-06
13,300665,飞鹿股份,7.65,1674934834.5,0.01,2025-08-20,7.51,7.86,7.4,65917609.8,2026-03-05,2026-03-06
14,300417,南华仪器,12.69,1707607008.0,0.01,2025-06-30,12.36,12.72,12.22,44803830.0,2026-03-05,2026-03-06
15,688671,碧兴物联,21.75,1707786075.0,0.01,2025-08-11,21.4,21.84,21.07,22153394.0,2026-03-05,2026-03-06
16,300621,维业股份,8.27,1720628909.0,0.01,2025-06-30,8.09,8.3,8.01,32106877.0,2026-03-05,2026-03-06
17,688004,博汇科技,21.95,1757931600.0,0.01,2025-10-06,21.66,22.14,21.26,27339699.0,2026-03-05,2026-03-06
