日期,开盘,最高,最低,收盘,成交量
2026-01-29,0.6122,0.63,0.592,0.592,84932
2026-01-30,0.6285,0.6622,0.6285,0.63,144094
2026-02-02,0.64,0.7632,0.6369,0.7632,270880
2026-02-03,0.7232,0.734,0.7001,0.7001,17918
2026-02-04,0.658,0.658,0.658,0.658,107
2026-02-05,0.6681,0.6888,0.6681,0.6888,53047
2026-02-06,0.6638,0.6766,0.6638,0.6766,553
2026-02-09,0.6261,0.6261,0.6261,0.6261,314
2026-02-12,0.6288,0.6288,0.6288,0.6288,6120
2026-02-13,0.6516,0.685,0.6516,0.68,33239
2026-02-24,0.6329,0.638,0.6168,0.63,45393
2026-02-25,0.6048,0.6048,0.5735,0.5853,7185
2026-02-26,0.598,0.6131,0.598,0.6054,12932
2026-02-27,0.6198,0.6198,0.6198,0.6198,10185
2026-03-02,0.6362,0.663,0.609,0.6139,196392
2026-03-03,0.6561,0.6806,0.62,0.6806,32387
2026-03-04,0.707,0.7449,0.707,0.7208,154645
2026-03-05,0.695,0.7085,0.6784,0.7085,33809
2026-03-06,0.6865,0.6865,0.6856,0.6856,593
2026-03-09,0.7855,0.8011,0.738,0.738,236513
2026-03-10,0.6856,0.6856,0.68,0.68,432
2026-03-11,0.6573,0.664,0.6573,0.664,405
2026-03-12,0.6822,0.6822,0.6822,0.6822,297
2026-03-13,0.665,0.6958,0.665,0.6958,1809
2026-03-16,0.72,0.72,0.695,0.7168,64629
2026-03-17,0.6474,0.7023,0.6474,0.7023,14505
2026-03-18,0.7215,0.7332,0.7104,0.72,201025
2026-03-19,0.7513,0.7818,0.7513,0.78,150375
2026-03-20,0.7554,0.7554,0.7554,0.7554,1412
2026-03-23,0.8569,0.9285,0.8502,0.9285,34169
2026-03-24,0.9258,0.9258,0.9199,0.9199,32329
2026-03-26,0.8216,0.8632,0.8216,0.8632,6719
2026-03-27,0.8331,0.8332,0.8325,0.8326,2321
