date,1.H20955,0.399606,1.H00016,1.H00852,1.H00905,1.950175,1.000852,1.000016,1.000300,1.000905,0.399006,1.000001
2005-01-01,1000.0,,835.13,989.98,986.93,100.0,,,,,,
2005-01-04,,,835.13,989.98,986.93,,989.98,827.07,982.79,986.93,,1242.77
2005-01-05,,,839.53,1013.58,1003.63,,1013.58,831.43,992.56,1003.63,,1251.94
2005-01-06,,,830.51,1005.47,994.6,,1005.47,822.5,983.17,994.6,,1239.43
2005-01-07,,,831.64,1011.74,997.61,,1011.74,823.62,983.96,997.61,,1244.75
2005-01-10,,,841.1,1023.64,1006.34,,1023.64,832.99,993.88,1006.34,,1252.4
2005-01-11,,,846.03,1027.16,1008.34,,1027.16,837.86,997.14,1008.34,,1257.46
2005-01-12,,,845.4,1024.92,1008.62,,1024.92,837.24,996.75,1008.62,,1256.92
2005-01-13,,,842.35,1029.3,1013.07,,1029.3,834.22,996.88,1013.07,,1256.31
2005-01-14,,,837.12,1011.88,1000.17,,1011.88,829.04,988.31,1000.17,,1245.62
2005-01-17,,,819.46,986.66,977.52,,986.66,811.55,967.45,977.52,,1216.65
2005-01-18,,,825.27,1008.11,991.42,,1008.11,817.31,974.69,991.42,,1225.45
2005-01-19,,,818.89,1002.46,986.24,,1002.46,810.99,967.21,986.24,,1218.11
2005-01-20,,,812.93,989.44,972.46,,989.44,805.08,956.24,972.46,,1204.39
2005-01-21,,,839.95,1006.25,988.52,,1006.25,831.85,982.6,988.52,,1234.48
2005-01-24,,,850.62,1028.01,1008.17,,1028.01,842.41,998.13,1008.18,,1255.78
2005-01-25,,,849.84,1015.1,999.55,,1015.1,841.64,997.78,999.55,,1254.23
2005-01-26,,,842.8,1006.84,987.96,,1006.84,834.67,989.93,987.96,,1241.96
2005-01-27,,,829.71,989.41,971.37,,989.41,821.71,974.63,971.37,,1225.89
2005-01-28,,,828.69,963.01,952.41,,963.01,820.69,969.21,952.41,,1213.67
2005-01-31,,,821.68,924.17,922.65,,924.17,813.75,954.88,922.65,,1191.82
2005-02-01,,,825.84,905.8,913.33,,905.8,817.87,955.95,913.33,,1188.93
2005-02-02,,,868.89,958.39,964.24,,958.39,860.5,1006.91,964.24,,1252.5
2005-02-03,,,856.75,936.86,945.31,,936.86,848.49,993.22,945.31,,1242.31
2005-02-04,,,881.39,952.39,962.03,,952.39,872.88,1016.86,962.03,,1269.0
2005-02-16,,,883.99,966.39,972.34,,966.39,875.46,1023.58,972.34,,1278.88
2005-02-17,,,878.56,973.81,977.27,,973.81,870.09,1020.61,977.27,,1276.13
2005-02-18,,,864.55,964.01,964.77,,964.01,856.21,1006.05,964.77,,1258.97
2005-02-21,,,882.54,983.61,981.82,,983.61,874.02,1025.63,981.82,,1284.48
2005-02-22,,,895.71,1015.66,1007.69,,1015.66,887.07,1046.74,1007.69,,1309.28
2005-02-23,,,886.47,1032.9,1019.26,,1032.9,877.91,1043.94,1019.26,,1309.47
2005-02-24,,,885.89,1035.35,1024.45,,1035.35,877.35,1045.46,1024.45,,1309.95
2005-02-25,,,887.06,1032.41,1024.12,,1032.41,878.5,1046.76,1024.12,,1312.44
2005-02-28,,,877.35,1029.38,1020.85,,1029.38,868.89,1039.99,1020.85,,1306.0
2005-03-01,,,874.7,1030.82,1021.16,,1030.82,866.26,1035.93,1021.16,,1303.41
2005-03-02,,,864.22,1014.53,1006.15,,1014.53,855.88,1021.32,1006.15,,1287.45
2005-03-03,,,870.08,1020.25,1011.29,,1020.25,861.69,1027.71,1011.29,,1294.34
2005-03-04,,,867.86,1011.36,1003.21,,1011.36,859.49,1023.67,1003.21,,1287.71
2005-03-07,,,872.12,1013.59,1006.95,,1013.59,863.7,1029.87,1006.95,,1293.74
2005-03-08,,,884.88,1037.03,1029.46,,1037.03,876.34,1048.99,1029.46,,1318.27
2005-03-09,,,877.87,1042.18,1032.55,,1042.18,869.4,1046.54,1032.55,,1316.79
2005-03-10,,,859.83,1011.79,1005.54,,1011.79,851.53,1022.41,1005.55,,1286.23
2005-03-11,,,862.22,1017.45,1009.43,,1017.45,853.9,1027.43,1009.43,,1289.94
2005-03-14,,,865.97,1005.99,1007.77,,1005.99,857.61,1031.03,1007.77,,1293.5
2005-03-15,,,849.15,993.48,993.83,,993.48,840.96,1013.52,993.83,,1269.14
2005-03-16,,,840.94,982.84,983.92,,982.84,832.82,1003.07,983.92,,1255.59
2005-03-17,,,834.74,967.59,970.97,,967.59,826.68,992.86,970.97,,1243.47
2005-03-18,,,829.03,946.71,949.51,,946.71,821.03,978.66,949.51,,1227.4
2005-03-21,,,831.15,950.79,949.61,,950.79,823.13,981.89,949.55,,1231.05
2005-03-22,,,815.98,915.94,922.62,,915.94,808.1,964.02,922.56,,1206.92
2005-03-23,,,809.8,915.97,923.25,,915.97,801.98,959.01,923.19,,1201.65
2005-03-24,,,816.05,928.54,933.43,,928.54,808.18,964.8,933.35,,1208.19
2005-03-25,,,814.28,923.2,931.5,,923.2,806.43,962.96,931.42,,1205.63
2005-03-28,,,813.41,911.36,923.01,,911.35,805.56,960.7,922.92,,1200.11
2005-03-29,,,810.56,904.82,916.89,,904.82,802.74,955.19,916.81,,1195.02
2005-03-30,,,798.28,869.58,889.03,,869.58,790.58,937.03,888.95,,1172.57
2005-03-31,,,803.42,880.9,896.21,,880.9,795.67,942.2,896.07,,1181.24
2005-04-01,,,830.93,913.85,927.69,,913.85,822.91,978.15,927.55,,1223.57
2005-04-04,,,816.47,896.63,910.05,,896.29,808.59,962.17,909.87,,1202.97
2005-04-05,,,809.7,886.54,901.92,,886.2,801.89,955.6,901.74,,1191.74
2005-04-06,,,824.84,899.22,918.74,,898.88,816.88,973.67,918.56,,1214.87
2005-04-07,,,832.64,914.01,932.52,,913.66,824.61,984.73,932.33,,1225.49
2005-04-08,,,846.22,931.74,949.64,,931.38,838.06,1003.45,949.46,,1248.52
2005-04-11,,,839.01,932.33,948.69,,931.97,830.91,995.42,948.51,,1240.97
2005-04-12,,,826.95,906.22,927.66,,905.87,818.47,978.7,927.41,,1219.51
2005-04-13,,,844.28,929.63,950.49,,929.11,835.63,1000.9,950.23,,1248.2
2005-04-14,,,834.56,916.87,935.68,,916.35,826.01,986.97,935.43,,1234.33
2005-04-15,,,825.56,888.43,913.52,,887.93,817.09,974.08,913.27,,1216.96
2005-04-18,,,814.74,868.89,901.4,,868.33,806.39,963.77,901.12,,1197.73
2005-04-19,,,817.75,867.79,903.2,,867.23,809.36,965.89,902.79,,1199.9
2005-04-20,,,806.79,845.48,884.6,,844.93,798.52,950.87,884.08,,1184.19
2005-04-21,,,801.66,826.59,868.09,,826.05,793.45,943.98,867.33,,1172.56
2005-04-22,,,803.05,807.17,858.21,,806.65,794.82,939.1,857.4,,1169.19
2005-04-25,,,798.94,790.05,841.96,,789.54,790.75,930.07,841.06,,1157.97
2005-04-26,,,800.51,807.47,856.39,,806.94,792.3,937.08,855.24,,1165.33
2005-04-27,,,790.54,790.76,841.08,,790.24,782.43,926.6,839.95,,1148.76
2005-04-28,,,802.1,814.34,861.77,,813.63,793.88,942.07,860.62,,1169.12
2005-04-29,,,797.91,802.98,848.76,,802.28,789.73,932.4,847.61,,1159.15
2005-05-09,,,783.35,771.76,819.51,,771.08,775.32,909.17,818.4,,1130.83
2005-05-10,,,787.17,773.88,819.33,,773.2,779.1,913.08,818.09,,1135.56
2005-05-11,,,779.58,772.76,812.86,,772.08,771.59,901.85,811.57,,1124.27
2005-05-12,,,762.1,769.69,808.9,,769.02,753.88,885.82,807.51,,1103.99
2005-05-13,,,765.56,780.18,816.32,,779.49,757.3,887.54,814.88,,1107.63
2005-05-16,,,756.03,777.3,809.6,,776.54,747.87,875.27,808.17,,1095.47
2005-05-17,,,759.1,786.21,819.92,,785.44,750.71,881.46,818.46,,1099.64
2005-05-18,,,761.07,795.35,826.21,,794.57,752.66,883.2,824.64,,1102.96
2005-05-19,,,763.22,795.4,826.72,,794.49,754.79,884.17,824.94,,1103.47
2005-05-20,,,761.74,788.81,820.98,,787.9,753.07,882.76,819.13,,1099.27
2005-05-23,,,748.18,759.73,795.71,,758.68,737.74,863.34,793.72,,1070.84
2005-05-24,,,749.28,778.9,810.92,,777.77,737.35,868.46,808.74,,1073.85
2005-05-25,,,749.47,783.13,812.12,,781.99,737.54,868.45,809.7,,1072.14
2005-05-26,,,740.48,774.16,801.61,,772.87,728.7,857.33,799.02,,1058.87
2005-05-27,,,736.24,768.71,793.67,,767.27,724.52,849.51,791.0,,1051.95
2005-05-30,,,740.86,777.92,800.3,,776.41,729.07,855.61,797.53,,1060.16
2005-05-31,,,742.97,777.96,799.85,,775.74,731.0,855.95,796.87,,1060.74
2005-06-01,,,730.8,762.68,781.67,,760.51,719.03,837.53,778.67,,1039.19
2005-06-02,,,713.23,758.99,772.46,,756.82,701.37,818.38,769.42,,1016.06
2005-06-03,,,712.36,759.23,769.12,,756.91,700.43,818.03,765.97,,1013.64
2005-06-06,,,730.12,769.18,781.57,,766.73,717.21,839.0,778.21,,1034.38
2005-06-07,,,726.52,770.37,783.24,,767.91,713.62,837.28,779.84,,1030.94
2005-06-08,,,786.09,828.92,845.02,,826.23,772.13,905.77,841.36,,1115.58
2005-06-09,,,792.78,839.7,853.72,,836.83,778.58,912.6,849.73,,1131.05
2005-06-10,,,780.65,823.58,835.51,,820.0,766.66,894.56,831.61,,1108.29
2005-06-13,,,779.33,829.56,838.33,,825.87,759.92,892.96,834.25,,1106.29
2005-06-14,,,773.82,810.96,822.25,,807.36,754.55,883.54,818.19,,1093.46
2005-06-15,,,764.25,791.81,800.21,,788.29,745.22,866.83,796.26,,1072.84
2005-06-16,,,777.06,801.15,808.17,,797.43,757.39,879.24,803.95,,1086.01
2005-06-17,,,781.97,794.32,804.92,,790.55,762.18,880.34,800.14,,1085.61
2005-06-20,,,800.55,817.0,828.66,,813.12,780.29,906.26,823.73,,1115.62
2005-06-21,,,790.48,809.91,821.17,,806.02,770.3,896.17,816.2,,1101.49
2005-06-22,,,795.57,814.31,823.94,,810.03,774.15,900.65,818.65,,1102.03
2005-06-23,,,789.59,800.36,814.89,,796.05,768.33,893.57,809.35,,1093.7
2005-06-24,,,794.72,804.02,819.01,,799.7,772.32,898.3,813.2,,1101.88
2005-06-27,,,805.07,827.43,840.53,,822.88,782.38,916.04,834.35,,1124.64
2005-06-28,,,798.26,812.11,825.36,,807.64,775.63,903.72,819.05,,1108.59
2005-06-29,,,794.54,809.7,820.45,,805.1,772.02,898.9,814.06,,1104.99
2005-06-30,,,780.9,786.39,798.01,,781.83,758.72,878.69,791.5,,1080.94
2005-07-01,,,769.92,747.45,766.6,,743.12,748.05,859.49,760.35,,1055.59
2005-07-04,,,769.02,739.35,755.72,,734.95,747.09,855.93,749.48,,1047.28
2005-07-05,,,763.58,733.72,750.85,,729.36,741.21,849.68,744.6,,1039.04
2005-07-06,,,756.95,731.47,749.88,,727.06,734.77,842.56,743.44,,1033.55
2005-07-07,,,757.96,736.62,754.01,,732.05,735.55,844.73,747.42,,1038.6
2005-07-08,,,749.88,711.19,729.34,,706.74,727.56,829.49,722.85,,1017.98
2005-07-11,,,749.29,699.3,720.96,,694.83,726.91,824.1,714.48,,1011.5
2005-07-12,,,776.25,725.7,746.49,,720.57,753.06,851.82,739.53,,1046.16
2005-07-13,,,771.6,717.03,739.47,,711.95,748.55,846.23,732.44,,1037.39
2005-07-14,,,776.84,716.73,739.71,,711.58,753.64,849.59,732.54,,1040.42
2005-07-15,,,772.51,695.49,721.67,,690.49,748.52,841.0,714.49,,1026.11
2005-07-18,,,770.86,674.22,704.02,,669.03,746.92,832.99,696.85,,1012.1
2005-07-19,,,771.69,682.31,710.38,,677.02,747.49,835.61,703.07,,1014.35
2005-07-20,,,777.94,687.56,714.78,,682.12,753.55,842.64,707.29,,1021.05
2005-07-21,,,781.49,684.43,712.4,,679.02,756.98,843.99,704.79,,1020.63
2005-07-22,,,793.61,700.13,729.42,,694.29,768.72,859.69,721.45,,1046.32
2005-07-25,,,789.4,698.21,726.84,,692.39,764.65,856.86,718.87,,1045.4
2005-07-26,,,806.03,715.06,744.09,,709.1,780.75,876.48,735.86,,1072.81
2005-07-27,,,818.24,730.13,758.44,,724.05,792.49,894.01,750.02,,1089.91
2005-07-28,,,815.52,732.02,755.71,,725.81,789.85,890.89,747.23,,1086.55
