pair,pair_cn,direction,direction_text,trades,win_trades,trade_win_rate,avg_segment_return,median_segment_return,avg_holding_days,median_holding_days,active_days,compounded_segment_return
HS300/CYB,沪深300/创业板,1,多沪深300/空创业板,11,8,0.7272727272727273,0.0051694613225554,0.004169105109965,2.636363636363636,3.0,29,0.0554652580719532
HS300/CYB,沪深300/创业板,-1,多创业板/空沪深300,18,10,0.5555555555555556,0.0022686723077472,0.0008820363919755,2.6666666666666665,2.0,48,0.0390324713350724
HS300/ZZ1000,沪深300/中证1000,1,多沪深300/空中证1000,14,6,0.4285714285714285,-0.005765519505095,-0.0032458039460921,2.857142857142857,2.0,40,-0.0806898552150231
HS300/ZZ1000,沪深300/中证1000,-1,多中证1000/空沪深300,10,5,0.5,0.0047292514156874,-0.0002440482440791,3.7,4.0,37,0.0468422743760035
HS300/ZZ500,沪深300/中证500,1,多沪深300/空中证500,11,7,0.6363636363636364,0.0096676355823578,0.0033928136285301,2.727272727272727,3.0,30,0.1092478765952271
HS300/ZZ500,沪深300/中证500,-1,多中证500/空沪深300,4,2,0.5,0.0154052477774935,0.0113327214379197,2.5,2.0,10,0.0617491159869083
SZ50/CYB,上证50/创业板,1,多上证50/空创业板,41,23,0.5609756097560976,0.0094704635639385,0.0030956138795705,8.341463414634147,7.0,342,0.4286991136494293
SZ50/CYB,上证50/创业板,-1,多创业板/空上证50,46,26,0.5652173913043478,0.0208903416968931,0.0036172727833154,8.76086956521739,7.0,403,1.4736365952543338
SZ50/HS300,上证50/沪深300,1,多上证50/空沪深300,5,2,0.4,-0.0007012295210489,-0.0030171656996691,1.6,1.0,8,-0.0035802457255665
SZ50/HS300,上证50/沪深300,-1,多沪深300/空上证50,5,3,0.6,0.0007269596645834,0.0015567240301137,1.6,1.0,8,0.0035586373033154
SZ50/ZZ1000,上证50/中证1000,1,多上证50/空中证1000,42,24,0.5714285714285714,0.0122257507006495,0.0013906573795287,8.452380952380953,7.0,355,0.5384820724008428
SZ50/ZZ1000,上证50/中证1000,-1,多中证1000/空上证50,44,20,0.4545454545454545,0.0037412646234868,-0.0020029959942433,7.886363636363637,8.0,347,0.1599181355436481
SZ50/ZZ500,上证50/中证500,1,多上证50/空中证500,19,7,0.3684210526315789,0.0029956256795991,-0.0026385873651265,4.368421052631579,3.0,83,0.0489198711086036
SZ50/ZZ500,上证50/中证500,-1,多中证500/空上证50,16,9,0.5625,-0.0027328298198831,0.0026698892524872,4.8125,3.5,77,-0.0499299256734454
ZZ1000/CYB,中证1000/创业板,1,多中证1000/空创业板,31,15,0.4838709677419355,0.0009823537883518,-0.0030808947092791,5.129032258064516,4.0,159,0.0208721621106078
ZZ1000/CYB,中证1000/创业板,-1,多创业板/空中证1000,29,12,0.4137931034482758,0.0001998973340362,-0.0047961322226194,4.172413793103448,3.0,121,-0.0007783923312959
ZZ500/CYB,中证500/创业板,1,多中证500/空创业板,21,15,0.7142857142857143,0.0118081976841613,0.0059186085383513,5.095238095238095,3.0,107,0.2695325880736869
ZZ500/CYB,中证500/创业板,-1,多创业板/空中证500,25,12,0.48,0.0032151370852156,-0.0011687121248611,5.12,5.0,128,0.0761583868003406
ZZ500/ZZ1000,中证500/中证1000,1,多中证500/空中证1000,6,6,1.0,0.0062950916544568,0.0054672045091872,3.0,2.0,18,0.0382982312133626
ZZ500/ZZ1000,中证500/中证1000,-1,多中证1000/空中证500,5,2,0.4,-0.000395591924653,-0.0010446451136126,1.6,1.0,8,-0.0020121354387296
