pair,pair_cn,direction,start,end,days,segment_return,win
HS300/CYB,沪深300/创业板,1,2023-05-08,2023-05-17,8,-0.035991399921661,False
HS300/CYB,沪深300/创业板,-1,2023-05-18,2023-06-08,16,-0.0590511353642365,False
HS300/CYB,沪深300/创业板,1,2023-06-09,2023-06-26,10,-0.0479130476741528,False
HS300/CYB,沪深300/创业板,-1,2023-06-27,2023-07-25,21,-0.0366982867232601,False
HS300/CYB,沪深300/创业板,1,2023-07-26,2023-08-15,15,0.0007796788247187,True
HS300/CYB,沪深300/创业板,-1,2023-08-16,2023-08-25,8,-0.0239854505654824,False
HS300/CYB,沪深300/创业板,1,2023-08-28,2023-10-11,27,0.0050207497077146,True
HS300/CYB,沪深300/创业板,-1,2023-10-12,2023-11-27,33,0.0031264704162881,True
HS300/CYB,沪深300/创业板,1,2023-11-28,2023-12-12,11,-0.0212612457795257,False
HS300/CYB,沪深300/创业板,-1,2023-12-13,2023-12-21,7,-0.0162926730593636,False
HS300/CYB,沪深300/创业板,1,2023-12-22,2024-02-22,38,0.1161776503899569,True
HS300/CYB,沪深300/创业板,-1,2024-02-23,2024-04-08,30,0.0154581822054795,True
HS300/CYB,沪深300/创业板,1,2024-04-09,2024-05-06,17,-0.0330799995091479,False
HS300/CYB,沪深300/创业板,-1,2024-05-07,2024-05-23,13,-0.0279503169530013,False
HS300/CYB,沪深300/创业板,1,2024-05-24,2024-06-17,16,-0.0111079798231461,False
HS300/CYB,沪深300/创业板,-1,2024-06-18,2024-06-26,7,-0.0420284154573901,False
HS300/CYB,沪深300/创业板,1,2024-06-27,2024-07-19,17,0.0250203091567506,True
HS300/CYB,沪深300/创业板,-1,2024-07-22,2024-08-15,19,-0.0357458579776219,False
HS300/CYB,沪深300/创业板,1,2024-08-16,2024-09-04,14,-0.0092029319031727,False
HS300/CYB,沪深300/创业板,-1,2024-09-05,2024-10-31,34,0.2337880403234036,True
HS300/CYB,沪深300/创业板,1,2024-11-01,2024-11-11,7,-0.0216174166699177,False
HS300/CYB,沪深300/创业板,-1,2024-11-12,2024-11-14,3,-0.0017562091861988,False
HS300/CYB,沪深300/创业板,1,2024-11-15,2025-01-22,48,0.0297187261221578,True
HS300/CYB,沪深300/创业板,-1,2025-01-23,2025-03-11,28,0.0136028677647241,True
HS300/CYB,沪深300/创业板,1,2025-03-12,2025-04-30,35,0.1167389948803987,True
HS300/CYB,沪深300/创业板,-1,2025-05-06,2025-10-10,107,0.4306214936821273,True
