window,variant,enter,exit,scale,cooldown,rows,total_return,annual_return,annual_vol,sharpe_ann_over_vol,max_drawdown,max_drawdown_start,max_drawdown_end,final_nav,risk_gate_on_days,risk_gate_on_pct,active_days,active_pct
10Y,no_risk_gate,,,1.0,0,2426,9.867170697465921,0.2686896469065194,0.1786722759996378,1.5038127510451822,-0.21591553718968592,2016-12-12,2017-09-25,10.867170697465921,0,0.0,1858,0.7658697444352844
5Y,no_risk_gate,,,1.0,0,1211,2.9672039590042294,0.3170372681850895,0.18620863123150477,1.7025916902365894,-0.15969322377727624,2024-04-19,2024-09-23,3.9672039590042294,0,0.0,921,0.7605284888521883
3Y,no_risk_gate,,,1.0,0,726,1.325136318428827,0.3247974188312044,0.19189738054386346,1.6925578551967932,-0.15969322377727635,2024-04-19,2024-09-23,2.325136318428827,0,0.0,548,0.7548209366391184
1Y,no_risk_gate,,,1.0,0,243,0.22556458179020922,0.22453915989026152,0.15545002595720928,1.444445946583955,-0.11908504487877813,2025-10-17,2025-12-18,1.2255645817902092,0,0.0,165,0.6790123456790124
10Y,current_15_8_scale50,0.15,0.08,0.5,0,2426,8.4377786627806,0.2509670575803724,0.16504044947819702,1.5206396878695299,-0.1562370103413715,2016-12-12,2017-09-25,9.4377786627806,490,0.2019785655399835,1858,0.7658697444352844
5Y,current_15_8_scale50,0.15,0.08,0.5,0,1211,2.799070803854374,0.3056889905718412,0.1820344046114989,1.6792923910413975,-0.1552605318835888,2024-04-19,2024-09-23,3.799070803854374,13,0.010734929810074319,921,0.7605284888521883
3Y,current_15_8_scale50,0.15,0.08,0.5,0,726,1.2265952528797164,0.30581131132165074,0.18509750099098202,1.6521633716521646,-0.15526053188358913,2024-04-19,2024-09-23,2.2265952528797164,13,0.01790633608815427,548,0.7548209366391184
1Y,current_15_8_scale50,0.15,0.08,0.5,0,243,0.22556458179020922,0.22453915989026152,0.15545002595720928,1.444445946583955,-0.11908504487877813,2025-10-17,2025-12-18,1.2255645817902092,0,0.0,165,0.6790123456790124
10Y,softer_15_8_scale75,0.15,0.08,0.75,0,2426,9.151354558151407,0.26009551400149866,0.17084531756278448,1.5224035268389218,-0.18603275561029076,2016-12-12,2017-09-25,10.151354558151407,490,0.2019785655399835,1858,0.7658697444352844
5Y,softer_15_8_scale75,0.15,0.08,0.75,0,1211,2.8838205145745888,0.3114583799226984,0.18378610937766715,1.6946785639967707,-0.15745214663664153,2024-04-19,2024-09-23,3.8838205145745888,13,0.010734929810074319,921,0.7605284888521883
