case,ma,days,is_current_param,start,end,n_days,annual,vol,sharpe,max_dd,calmar,total_return,annual_delta,sharpe_delta,max_dd_delta,defense_days,defense_days_pct,switch_count,latest_amount,latest_ma_value,latest_streak,latest_below_ma,latest_triggered
volume_only,20,16,False,2015-04-03,2026-04-17,2684,33.253492785748186,20.123726808649582,1.579348865709236,-17.25416285366731,1.927273613201134,2278.6408492562928,0.5476418073379534,0.04324620158616521,2.7520508336840948,96,3.5767511177347244,38,7266.65,5880.030000000001,0,False,False
volume_plus_stirrer,20,16,False,2015-04-03,2026-04-17,2684,33.42619408392231,20.281744462008717,1.5752438413987715,-17.50666660608571,1.9093408720254386,2312.89421863228,0.7203431055120788,0.039141177275700656,2.499547081265696,29,1.0804769001490313,34,7266.65,5880.030000000001,0,False,False
volume_only,21,16,False,2015-04-03,2026-04-17,2684,33.502328747061895,20.187979450815284,1.5845472468131354,-17.25416285366731,1.9416954059837852,2328.1366474155857,0.7964777686516626,0.048444582690064575,2.7520508336840948,87,3.241430700447094,38,7266.65,5839.906666666667,0,False,False
volume_plus_stirrer,21,16,False,2015-04-03,2026-04-17,2684,33.3362002200154,20.31279799923616,1.5697005918835008,-17.50666660608571,1.9042003238027616,2294.9893745385593,0.6303492416051668,0.03359792776042991,2.499547081265696,22,0.819672131147541,30,7266.65,5839.906666666667,0,False,False
volume_only,22,16,False,2015-04-03,2026-04-17,2684,32.887969948077924,20.098786745194317,1.5668804671023566,-17.235675258101324,1.9081335344038532,2207.5974643538134,0.18211896966769103,0.030777802979285784,2.770538429250081,96,3.5767511177347244,40,7266.65,5794.71,0,False,False
volume_plus_stirrer,22,16,False,2015-04-03,2026-04-17,2684,33.23156726641814,20.276195666173628,1.5681473178995886,-17.50666660608571,1.8982235747190217,2274.3239511185516,0.5257162880079065,0.03204465377651777,2.499547081265696,26,0.9687034277198211,32,7266.65,5794.71,0,False,False
volume_only,23,16,False,2015-04-03,2026-04-17,2684,32.93370579567585,20.086931811553566,1.5694657977054651,-18.376679469953107,1.7921467177747912,2216.3798360719634,0.22785481726561585,0.03336313358239429,1.629534217398298,97,3.6140089418777945,34,7266.65,5736.083478260869,0,False,False
volume_plus_stirrer,23,16,False,2015-04-03,2026-04-17,2684,33.080323319797756,20.280337829493256,1.5620574809277032,-17.506666606085762,1.889584354585138,2244.739202128779,0.3744723413875235,0.025954816804632408,2.499547081265643,25,0.9314456035767511,30,7266.65,5736.083478260869,0,False,False
volume_only,24,16,False,2015-04-03,2026-04-17,2684,32.55510432642508,20.0602478159568,1.5565366806581695,-18.376679469953107,1.7715444392255133,2144.585926116798,-0.1507466519851519,0.020434016535098687,1.629534217398298,102,3.8002980625931446,34,7266.65,5680.629166666667,0,False,False
volume_plus_stirrer,24,16,False,2015-04-03,2026-04-17,2684,32.701304276917284,20.253917694180913,1.5492218831752527,-17.506666606085762,1.8679343711012055,2172.066321574176,-0.004546701492948557,0.01311921905218183,2.499547081265643,30,1.1177347242921014,30,7266.65,5680.629166666667,0,False,False
volume_only,25,16,False,2015-04-03,2026-04-17,2684,32.376408060922614,20.016597518190405,1.552500846965665,-17.430924810415704,1.8574119510616192,2111.408034027633,-0.32944291748761856,0.01639818284259409,2.5752888769357014,114,4.247391952309985,36,7266.65,5641.8548,0,False,False
volume_plus_stirrer,25,16,False,2015-04-03,2026-04-17,2684,32.63611858397546,20.251795841192934,1.5468454013753534,-17.50666660608573,1.8642108928167043,2159.776153325003,-0.06973239443477297,0.010742737252282586,2.499547081265675,32,1.1922503725782414,34,7266.65,5641.8548,0,False,False
volume_only,26,16,False,2015-04-03,2026-04-17,2684,32.38897652921639,20.015616211355624,1.553059354459929,-17.3749944912176,1.8641143480988034,2113.7269121738054,-0.3168744491938398,0.016956690336858093,2.631219196133806,117,4.359165424739196,38,7266.65,5636.5634615384615,0,False,False
volume_plus_stirrer,26,16,False,2015-04-03,2026-04-17,2684,32.63611858397546,20.251795841192934,1.5468454013753534,-17.50666660608573,1.8642108928167043,2159.776153325003,-0.06973239443477297,0.010742737252282586,2.499547081265675,32,1.1922503725782414,34,7266.65,5636.5634615384615,0,False,False
volume_only,27,16,False,2015-04-03,2026-04-17,2684,32.239435808592454,20.021430567667412,1.5468091022008252,-17.3749944912176,1.8555076851902466,2086.279524185106,-0.466415169817779,0.010706438077754399,2.631219196133806,113,4.210134128166915,38,7266.65,5624.153333333334,0,False,False
volume_plus_stirrer,27,16,False,2015-04-03,2026-04-17,2684,32.63611858397546,20.251795841192934,1.5468454013753534,-17.50666660608573,1.8642108928167043,2159.776153325003,-0.06973239443477297,0.010742737252282586,2.499547081265675,32,1.1922503725782414,34,7266.65,5624.153333333334,0,False,False
volume_only,28,16,False,2015-04-03,2026-04-17,2684,32.25026695189208,20.023824652554595,1.547072838965088,-17.3749944912176,1.8561310605418244,2088.257075934627,-0.455584026518153,0.010970174842017233,2.631219196133806,116,4.321907600596125,38,7266.65,5663.190714285714,0,False,False
volume_plus_stirrer,28,16,False,2015-04-03,2026-04-17,2684,32.63611858397546,20.251795841192934,1.5468454013753534,-17.50666660608573,1.8642108928167043,2159.776153325003,-0.06973239443477297,0.010742737252282586,2.499547081265675,32,1.1922503725782414,34,7266.65,5663.190714285714,0,False,False
volume_only,29,16,False,2015-04-03,2026-04-17,2684,33.00944741840581,20.11620128310911,1.570408009793712,-17.3749944912176,1.8998249141944095,2230.990905041226,0.30359643999558017,0.03430534567064125,2.631219196133806,114,4.247391952309985,36,7266.65,5680.136896551724,0,False,False
volume_plus_stirrer,29,16,False,2015-04-03,2026-04-17,2684,32.74028390399582,20.288450368117513,1.5484349907276955,-17.50666660608573,1.8701609301575735,2179.44458611022,0.03443292558558397,0.012332326604624688,2.499547081265675,28,1.0432190760059614,32,7266.65,5680.136896551724,0,False,False
volume_only,30,16,False,2015-04-03,2026-04-17,2684,33.155148319380956,20.109043420174512,1.5765448097134878,-17.138761608848117,1.9345124855616267,2259.3335182471296,0.44929734097072327,0.04044214559041692,2.8674520785032875,119,4.433681073025335,38,7266.65,5673.415666666667,0,False,False
volume_plus_stirrer,30,16,False,2015-04-03,2026-04-17,2684,32.76020048169455,20.286627048588805,1.5493233643124371,-17.50666660608573,1.8712985869226715,2183.2229033304666,0.05434950328431398,0.013220700189366275,2.499547081265675,31,1.1549925484351715,34,7266.65,5673.415666666667,0,False,False
volume_only,31,16,False,2015-04-03,2026-04-17,2684,33.60678726929998,20.045275765090757,1.5984372718748603,-16.99904404856921,1.9769810098308807,2349.1921116392937,0.9009362908897458,0.06233460775178945,3.0071696387821945,131,4.8807749627421755,40,7266.65,5659.49064516129,0,False,False
volume_plus_stirrer,31,16,False,2015-04-03,2026-04-17,2684,32.70598832784155,20.275415809292426,1.5479776668486622,-17.50666660608574,1.8682019292280438,2172.9517932385743,0.00013734943131993305,0.011875002725591388,2.499547081265664,35,1.3040238450074515,40,7266.65,5659.49064516129,0,False,False
volume_only,32,16,False,2015-04-03,2026-04-17,2684,34.01228453810501,19.99201252624829,1.6178943925573355,-16.234675873446758,2.0950393345231544,2432.51009878511,1.3064335596947743,0.08179172843426463,3.771537813904647,162,6.0357675111773474,42,7266.65,5663.4134375,0,False,False
volume_plus_stirrer,32,16,False,2015-04-03,2026-04-17,2684,32.8773548402489,20.25977279127443,1.555625007239747,-17.462105980216556,1.8827829173352189,2205.563445529956,0.17150386183866573,0.019522343116676222,2.544107707134849,45,1.6766020864381521,48,7266.65,5663.4134375,0,False,False
volume_only,33,16,False,2015-04-03,2026-04-17,2684,34.21315277311046,19.907626107919146,1.6317207502549713,-16.234675873446758,2.1074121245049975,2474.7300833773456,1.5073017947002256,0.09561808613190048,3.771537813904647,188,7.004470938897168,44,7266.65,5673.249090909091,0,False,False
volume_plus_stirrer,33,16,False,2015-04-03,2026-04-17,2684,32.9638628850452,20.208498525972058,1.562406915986684,-17.46210598021658,1.8877369615320794,2222.187332887648,0.25801190663496953,0.02630425186361318,2.544107707134824,59,2.1982116244411327,52,7266.65,5673.249090909091,0,False,False
volume_only,34,16,False,2015-04-03,2026-04-17,2684,34.06952956863449,19.90358712121772,1.6264292347259746,-16.234675873446758,2.098565430823181,2444.47767097484,1.3636785902242607,0.09032657060290372,3.771537813904647,197,7.339791356184799,44,7266.65,5677.06705882353,0,False,False
volume_plus_stirrer,34,16,False,2015-04-03,2026-04-17,2684,32.9638628850452,20.208498525972058,1.562406915986684,-17.46210598021658,1.8877369615320794,2222.187332887648,0.25801190663496953,0.02630425186361318,2.544107707134824,59,2.1982116244411327,52,7266.65,5677.06705882353,0,False,False
volume_only,35,16,False,2015-04-03,2026-04-17,2684,34.035932822684735,19.908035289736294,1.624804037450955,-16.234675873446804,2.096495987231467,2437.447759353813,1.3300818442745026,0.08870137332788408,3.771537813904601,194,7.228017883755589,42,7266.65,5678.323714285714,0,False,False
volume_plus_stirrer,35,16,False,2015-04-03,2026-04-17,2684,32.96447932293629,20.212159209706616,1.5621845142794502,-17.462105980216514,1.8877722629952542,2222.30618129309,0.2586283445260591,0.026081850156379316,2.5441077071348914,57,2.1236959761549925,50,7266.65,5678.323714285714,0,False,False
