date,top_l1_code,top_l1_name,top_stock_count,top_above_ma_count,top_width_pct,top3_l1_codes,market_stock_count,market_above_ma_count,market_width_industry_mean_pct,market_width_stock_pct,top1_is_stirrer,top3_has_stirrer,volume_risk,official_top1_and_volume,official_top3_and_volume
2010-01-29,370000,370000,91.0,38.0,41.75824175824176,"370000,460000,110000",1146.0,188.0,16.40551319169327,16.404886561954623,False,False,False,False,False
2010-02-01,370000,370000,112.0,51.0,45.535714285714285,"370000,460000,340000",1354.0,228.0,16.56781272178916,16.838995568685377,False,False,False,False,False
2010-02-02,370000,370000,113.0,42.0,37.16814159292036,"370000,330000,340000",1380.0,209.0,15.226942818318648,15.144927536231883,False,False,False,False,False
2010-02-03,460000,460000,21.0,9.0,42.857142857142854,"460000,370000,420000",1378.0,252.0,18.731570028015486,18.287373004354137,False,False,False,False,False
2010-02-04,460000,460000,21.0,17.0,80.95238095238095,"460000,370000,420000",1399.0,310.0,23.363365230975795,22.15868477483917,False,False,False,False,False
2010-02-05,460000,460000,20.0,13.0,65.0,"460000,510000,370000",1395.0,251.0,19.01750591599555,17.99283154121864,False,False,False,False,False
2010-02-08,460000,460000,21.0,15.0,71.42857142857143,"460000,510000,420000",1401.0,243.0,19.00152479104902,17.34475374732334,False,False,False,False,False
2010-02-09,420000,420000,65.0,25.0,38.46153846153847,"420000,460000,510000",1410.0,233.0,17.15055779079505,16.52482269503546,False,False,False,False,False
2010-02-10,460000,460000,21.0,11.0,52.38095238095239,"460000,510000,420000",1416.0,298.0,22.05404565880182,21.045197740112993,False,False,False,False,False
2010-02-11,510000,510000,33.0,15.0,45.45454545454545,"510000,460000,230000",1414.0,303.0,22.68764785574582,21.428571428571427,False,True,False,False,False
2010-02-12,460000,460000,21.0,13.0,61.904761904761905,"460000,510000,330000",1425.0,487.0,36.82134942236104,34.175438596491226,False,False,False,False,False
2010-02-22,460000,460000,21.0,15.0,71.42857142857143,"460000,510000,420000",1416.0,605.0,44.103323856942225,42.72598870056497,False,False,False,False,False
2010-02-23,320000,320000,44.0,35.0,79.54545454545455,"320000,510000,460000",1419.0,761.0,53.49515985711632,53.62931642001409,False,False,False,False,False
2010-02-24,230000,steel,29.0,29.0,100.0,"230000,370000,410000",1425.0,1181.0,80.96507300667345,82.87719298245614,True,True,False,False,False
2010-02-25,420000,420000,64.0,64.0,100.0,"420000,350000,110000",1412.0,1363.0,96.13442466157834,96.52974504249292,False,False,False,False,False
2010-02-26,370000,370000,110.0,110.0,100.0,"370000,420000,470000",1399.0,1339.0,94.92862738768801,95.71122230164403,False,False,False,False,False
2010-03-01,370000,370000,114.0,114.0,100.0,"370000,420000,470000",1419.0,1393.0,98.04847103304378,98.16772374911909,False,False,False,False,False
2010-03-02,370000,370000,116.0,116.0,100.0,"370000,420000,470000",1406.0,1368.0,96.4639518155594,97.2972972972973,False,False,False,False,False
2010-03-03,370000,370000,115.0,115.0,100.0,"370000,310000,420000",1423.0,1398.0,97.83888852842959,98.2431482782853,False,False,False,False,False
2010-03-04,260000,260000,156.0,142.0,91.02564102564102,"260000,110000,410000",1433.0,1140.0,76.32744174133929,79.55338450802513,False,False,False,False,False
2010-03-05,510000,510000,34.0,31.0,91.17647058823529,"510000,310000,230000",1427.0,1122.0,76.00546394078822,78.62648913805185,False,True,False,False,False
