case,ma,days,is_current_param,start,end,n_days,annual,vol,sharpe,max_dd,calmar,total_return,annual_delta,sharpe_delta,max_dd_delta,defense_days,defense_days_pct,switch_count
volume_only,20,16,False,2015-04-03,2026-04-17,2684,33.253492785748186,20.123726808649582,1.579348865709236,-17.25416285366731,1.927273613201134,2278.6408492562928,0.5476418073379534,0.04324620158616521,2.7520508336840948,96,3.5767511177347244,38
volume_plus_stirrer,20,16,False,2015-04-03,2026-04-17,2684,33.42619408392231,20.281744462008717,1.5752438413987715,-17.50666660608571,1.9093408720254386,2312.89421863228,0.7203431055120788,0.039141177275700656,2.499547081265696,29,1.0804769001490313,34
volume_only,25,16,False,2015-04-03,2026-04-17,2684,32.376408060922614,20.016597518190405,1.552500846965665,-17.430924810415704,1.8574119510616192,2111.408034027633,-0.32944291748761856,0.01639818284259409,2.5752888769357014,114,4.247391952309985,36
volume_plus_stirrer,25,16,False,2015-04-03,2026-04-17,2684,32.63611858397546,20.251795841192934,1.5468454013753534,-17.50666660608573,1.8642108928167043,2159.776153325003,-0.06973239443477297,0.010742737252282586,2.499547081265675,32,1.1922503725782414,34
volume_only,30,16,False,2015-04-03,2026-04-17,2684,33.155148319380956,20.109043420174512,1.5765448097134878,-17.138761608848117,1.9345124855616267,2259.3335182471296,0.44929734097072327,0.04044214559041692,2.8674520785032875,119,4.433681073025335,38
volume_plus_stirrer,30,16,False,2015-04-03,2026-04-17,2684,32.76020048169455,20.286627048588805,1.5493233643124371,-17.50666660608573,1.8712985869226715,2183.2229033304666,0.05434950328431398,0.013220700189366275,2.499547081265675,31,1.1549925484351715,34
volume_only,35,16,False,2015-04-03,2026-04-17,2684,34.035932822684735,19.908035289736294,1.624804037450955,-16.234675873446804,2.096495987231467,2437.447759353813,1.3300818442745026,0.08870137332788408,3.771537813904601,194,7.228017883755589,42
volume_plus_stirrer,35,16,False,2015-04-03,2026-04-17,2684,32.96447932293629,20.212159209706616,1.5621845142794502,-17.462105980216514,1.8877722629952542,2222.30618129309,0.2586283445260591,0.026081850156379316,2.5441077071348914,57,2.1236959761549925,50
volume_only,40,16,True,2015-04-03,2026-04-17,2684,33.7039352020716,19.80134753451828,1.619518855047823,-16.23467587344677,2.07604607968782,2368.9228732824818,0.9980842236613654,0.08341619092475216,3.7715378139046365,231,8.60655737704918,50
volume_plus_stirrer,40,16,True,2015-04-03,2026-04-17,2684,32.761116008688184,20.109402952697724,1.5612654031408562,-17.462105980216492,1.8761262842983855,2183.3967221909124,0.055265030277951155,0.02516273901778532,2.5441077071349127,74,2.7570789865871834,62
volume_only,45,16,False,2015-04-03,2026-04-17,2684,33.52118178092498,19.77890780324383,1.6139665298236718,-16.23467587344678,2.0647890997165996,2331.9245927222005,0.8153308025147439,0.077863865700601,3.771537813904626,255,9.50074515648286,52
volume_plus_stirrer,45,16,False,2015-04-03,2026-04-17,2684,32.86072836596765,20.10767330148064,1.5652608921533515,-17.462105980216545,1.8818307713397666,2202.3808326511685,0.15487738755741987,0.029158228030280675,2.5441077071348595,91,3.3904619970193743,66
volume_only,50,16,False,2015-04-03,2026-04-17,2684,33.18977113694446,19.715331176706734,1.6054578378511943,-16.23467587344678,2.044375347907574,2266.114475105774,0.4839201585342252,0.0693551737281235,3.771537813904626,281,10.469448584202683,52
volume_plus_stirrer,50,16,False,2015-04-03,2026-04-17,2684,32.93594837767999,20.099525717106438,1.5687355438918056,-17.462105980216545,1.8861383853124203,2216.8112459365752,0.23009739926975925,0.032632879768734746,2.5441077071348595,98,3.651266766020864,74
volume_only,55,16,False,2015-04-03,2026-04-17,2684,33.47609560467397,19.6537259589838,1.6211827526567084,-16.284590273749544,2.0556916104077128,2322.8748202099696,0.7702446262637395,0.08508008853363758,3.7216234136018613,317,11.810730253353203,54
volume_plus_stirrer,55,16,False,2015-04-03,2026-04-17,2684,33.25213377038001,20.109543058506816,1.5802922952121634,-17.462105980216535,1.9042453303199844,2278.373066439414,0.5462827919697801,0.044189631089092574,2.54410770713487,110,4.098360655737705,86
volume_only,60,16,False,2015-04-03,2026-04-17,2684,32.8437493866194,19.46666947725691,1.6095733183745857,-16.24219182522808,2.0221254458776343,2199.134867579478,0.13789840820916766,0.07347065425151489,3.7640218621233252,339,12.630402384500744,58
volume_plus_stirrer,60,16,False,2015-04-03,2026-04-17,2684,33.25260141413582,20.04137056280738,1.584993392289589,-17.462105980216524,1.9042721108100558,2278.4652087068366,0.5467504357255848,0.04889072816651807,2.5441077071348808,114,4.247391952309985,94
volume_only,65,16,False,2015-04-03,2026-04-17,2684,32.744381871854266,19.430559376331992,1.608204094703295,-16.24219182522809,2.01600758223987,2180.221534988015,0.038530893444033154,0.07210143058022411,3.7640218621233146,357,13.301043219076005,58
volume_plus_stirrer,65,16,False,2015-04-03,2026-04-17,2684,33.44089869650071,19.995032604756418,1.5955277514696584,-17.462105980216535,1.9150553051497419,2315.831336196705,0.7350477180904775,0.05942508734658758,2.54410770713487,127,4.731743666169896,98
volume_only,70,16,False,2015-04-03,2026-04-17,2684,32.65719362027155,19.436659654007702,1.604253383057615,-16.242191825228048,2.0106395720278982,2163.7430295893337,-0.04865735813868355,0.06815071893454405,3.764021862123357,355,13.226527570789868,58
volume_plus_stirrer,70,16,False,2015-04-03,2026-04-17,2684,33.48896313965732,19.993370118983794,1.597512966240884,-17.462105980216524,1.9178078049462204,2325.454485158477,0.7831121612470895,0.061410302117813176,2.5441077071348808,128,4.769001490312966,98
volume_only,75,16,False,2015-04-03,2026-04-17,2684,31.423008440725432,19.25795178704216,1.5669976404027954,-16.24219182522806,1.9346532031420716,1941.8100648866002,-1.2828425376848003,0.030894976279724595,3.7640218621233466,408,15.201192250372578,62
volume_plus_stirrer,75,16,False,2015-04-03,2026-04-17,2684,32.427531979547396,19.918047327566978,1.5612220568129158,-17.462105980216545,1.8570229739921247,2120.854182873891,-0.2783189988628365,0.025119392689844977,2.5441077071348595,145,5.402384500745157,104
volume_only,80,16,False,2015-04-03,2026-04-17,2684,31.718161082163743,19.25581590145921,1.5792383345539382,-16.24219182522806,1.9528251743029998,1993.004433557872,-0.98768989624649,0.04313567043086741,3.7640218621233466,407,15.163934426229508,62
volume_plus_stirrer,80,16,False,2015-04-03,2026-04-17,2684,32.493605287676196,19.919550063524948,1.5637178144605728,-17.462105980216545,1.860806784959923,2133.11688114537,-0.21224569073403643,0.027615150337501948,2.5441077071348595,144,5.365126676602086,102
