window,param,case,ma,days,annual,sharpe,max_dd,annual_delta,sharpe_delta,max_dd_delta,defense_days_pct,switch_count
full,current_MA40_16,volume_only,40,16,33.7039352020716,1.619518855047823,-16.23467587344677,0.9980842236613654,0.08341619092475216,3.7715378139046365,8.60655737704918,50
full,current_MA40_16,volume_plus_stirrer,40,16,32.761116008688184,1.5612654031408562,-17.462105980216492,0.0552650302779511,0.0251627390177853,2.5441077071349127,2.7570789865871834,62
full,recorded_MA60_4,volume_only,60,4,29.77215617713471,1.6135655317985413,-15.133134341455435,-2.9336948012755215,0.0774628676754705,4.87307934589597,37.77943368107303,206
full,recorded_MA60_4,volume_plus_stirrer,60,4,32.829876015047944,1.6260061408018651,-16.43901946272769,0.1240250366377111,0.0899034766787942,3.567194224623716,12.779433681073025,230
full,best_by_sharpe_delta,best_volume_only,65,14,32.80866504800262,1.6331845505722637,-16.239315166142422,0.10281406959238382,0.09708188644919291,3.766898521208983,15.648286140089418,64
full,best_by_sharpe_delta,best_volume_plus_stirrer,65,4,32.939767514056605,1.6308119267591477,-16.439019462727668,0.2339165356463723,0.0947092626360768,3.567194224623737,12.928464977645303,223
last_10y,current_MA40_16,volume_only,40,16,35.5057301051243,1.6763484710146737,-16.234675873446815,1.2182521962592148,0.08449787894550975,3.7715378139046223,6.748971193415638,46
last_10y,current_MA40_16,volume_plus_stirrer,40,16,34.53238519400432,1.6214062993825822,-17.46210598021648,0.2449072851392344,0.0295557073134182,2.544107707134956,2.016460905349794,42
last_10y,recorded_MA60_4,volume_only,60,4,30.45386353196491,1.6272125739976704,-15.133134341455467,-3.833614376900176,0.03536198192850648,4.87307934589597,36.62551440329218,194
last_10y,recorded_MA60_4,volume_plus_stirrer,60,4,33.78031501626402,1.6484047566705562,-16.43901946272771,-0.5071628926010661,0.0565541646013922,3.5671942246237265,11.76954732510288,196
last_10y,best_by_sharpe_delta,best_volume_only,35,16,35.862667143828084,1.6833410768568329,-16.234675873446815,1.5751892349629983,0.09149048478766897,3.7715378139046223,5.679012345679013,38
last_10y,best_by_sharpe_delta,best_volume_plus_stirrer,65,4,34.047698347484136,1.6617741484316195,-16.43901946272773,-0.2397795613809492,0.0699235563624556,3.567194224623705,12.139917695473253,191
last_5y,current_MA40_16,volume_only,40,16,38.719977064690255,1.744300568197479,-15.707665516652868,1.25415999917184,0.08030902576492638,1.664335200890532,5.037159372419488,23
last_5y,current_MA40_16,volume_plus_stirrer,40,16,37.7257470182178,1.6929281763137989,-15.70766551665288,0.2599299526993874,0.028936633881246,1.6643352008905197,1.8166804293971923,15
last_5y,recorded_MA60_4,volume_only,60,4,32.370864808072675,1.6969129113025676,-15.133134341455467,-5.09495225744574,0.032921368870014955,2.238866376087934,38.48059454995871,101
last_5y,recorded_MA60_4,volume_plus_stirrer,60,4,35.79088690087333,1.6982337431429553,-14.378696886953213,-1.6749301646450832,0.0342422007104026,2.993303830590188,15.2766308835673,109
last_5y,best_by_sharpe_delta,best_volume_only,20,10,38.92095367503505,1.7785121750574224,-14.844804352187225,1.4551366095166358,0.11452063262486978,2.5271963653561755,9.16597853014038,40
last_5y,best_by_sharpe_delta,best_volume_plus_stirrer,65,4,36.2299407424445,1.7181747435201606,-13.96235845509165,-1.2358763230739171,0.0541832010876079,3.409642262451751,15.441783649876134,106
last_3y,current_MA40_16,volume_only,40,16,38.28692401514184,1.6844883752642212,-15.707665516652902,3.562774871431394,0.15541444669753668,1.6643352008905339,5.226960110041266,16
last_3y,current_MA40_16,volume_plus_stirrer,40,16,35.86005722199486,1.5800146580659684,-15.707665516652892,1.1359080782844089,0.0509407294992838,1.6643352008905443,0.9628610729023384,10
last_3y,recorded_MA60_4,volume_only,60,4,37.52919998483115,1.8409276416981413,-15.133134341455456,2.8050508411207034,0.3118537131314567,2.23886637608798,40.16506189821183,56
last_3y,recorded_MA60_4,volume_plus_stirrer,60,4,35.598183153964214,1.6456196260678495,-14.378696886953223,0.8740340102537658,0.1165456975011649,2.9933038305902127,16.23108665749656,70
last_3y,best_by_sharpe_delta,best_volume_only,75,4,37.73908538977848,1.8451845124195019,-15.109348344111527,3.0149362460680322,0.3161105838528173,2.2626523734319086,38.92709766162311,52
last_3y,best_by_sharpe_delta,best_volume_plus_stirrer,70,2,35.581746910122945,1.6572692888457348,-15.042225599021952,0.8575977664124963,0.1281953602790502,2.329775118521484,18.982118294360383,86
