scope_new,window,ma,days,start_new,end_new,n_days_new,annual_new,vol_new,sharpe_new,max_dd_new,calmar_new,total_return_new,annual_delta_new,sharpe_delta_new,max_dd_delta_new,signal_days_new,signal_days_pct_new,defense_days_new,defense_days_pct_new,switch_count_new,scope_old,start_old,end_old,n_days_old,annual_old,vol_old,sharpe_old,max_dd_old,calmar_old,total_return_old,annual_delta_old,sharpe_delta_old,max_dd_delta_old,signal_days_old,signal_days_pct_old,defense_days_old,defense_days_pct_old,switch_count_old
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,full,20,13,2010-02-02,2026-04-30,3940,31.01481852672201,11.711747196118392,2.45540082701332,-11.745114420985214,2.640656992775418,7936.586415551763,-0.04075915245280726,0.0010798253557253723,0.4564980201644868,38,0.9644670050761422,38,0.9644670050761422,18,microcap_v1_0_costed_broad_own_volume_only_half,2010-02-02,2026-04-30,3940,31.01481852672201,11.713233741430734,2.455089208149572,-11.745114420985214,2.640656992775418,7936.586415551763,-0.0407591524528072,0.0010796883133541,0.4564980201644868,38,0.9644670050761422,38,0.9644670050761422,18
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_10y,20,13,2016-05-03,2026-04-30,2426,31.92535730346977,13.582224648146008,2.185996067219954,-11.745114420985237,2.7181818890097893,1492.6844789071629,0.08853880149646187,0.008620222917525844,0.4564980201644637,34,1.4014839241549877,34,1.4014839241549877,14,microcap_v1_0_costed_broad_own_volume_only_half,2016-05-03,2026-04-30,2426,31.92535730346977,13.585024818188776,2.185545485731664,-11.745114420985235,2.7181818890097893,1492.6844789071629,0.0885388014964618,0.0086184461014875,0.4564980201644637,34,1.4014839241549877,34,1.4014839241549877,14
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_5y,20,13,2021-04-30,2026-04-30,1208,32.481188813956784,16.296254780098565,1.8825597785085382,-11.745114420985203,2.7655063756485907,308.0256571332894,0.08434643011118936,0.004847441371730099,0.45649802016450813,16,1.3245033112582782,16,1.3245033112582782,6,microcap_v1_0_costed_broad_own_volume_only_half,2021-04-30,2026-04-30,1208,32.481188813956784,16.303004109350493,1.8817804119760653,-11.745114420985203,2.7655063756485907,308.0256571332894,0.0843464301111893,0.0048454345650319,0.4564980201645081,16,1.3245033112582782,16,1.3245033112582782,6
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_3y,20,13,2023-05-04,2026-04-30,723,27.694589215213572,15.488238940936089,1.723316390245681,-11.745114420985193,2.3579667445155907,107.69565892208179,0.13591587229648994,0.008451336786106989,0.45649802016455254,16,2.2130013831258646,16,2.2130013831258646,6,microcap_v1_0_costed_broad_own_volume_only_half,2023-05-04,2026-04-30,723,27.69458921521357,15.49896115678655,1.7221241961284153,-11.745114420985193,2.3579667445155907,107.6956589220818,0.1359158722964899,0.0084454901324941,0.4564980201645525,16,2.2130013831258646,16,2.2130013831258646,6
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,full,25,13,2010-02-02,2026-04-30,3940,30.453425706052293,11.631215043915496,2.433215758274181,-11.678963990527203,2.6075451324923202,7395.291051721865,-0.602151973122524,-0.021105243383413796,0.5226484506224978,91,2.309644670050761,91,2.309644670050761,30,microcap_v1_0_costed_broad_own_volume_only_half,2010-02-02,2026-04-30,3940,30.453425706052293,11.632691367465762,2.432906954953149,-11.678963990527205,2.60754513249232,7395.291051721865,-0.602151973122524,-0.0211025648830687,0.5226484506224978,91,2.309644670050761,91,2.309644670050761,30
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_10y,25,13,2016-05-03,2026-04-30,2426,31.16854314012587,13.473993887404967,2.1581195957645454,-11.678963990527258,2.6687763713807575,1403.7230231268372,-0.6682753618474386,-0.01925624853788266,0.5226484506224427,74,3.0502885408079146,74,3.0502885408079146,26,microcap_v1_0_costed_broad_own_volume_only_half,2016-05-03,2026-04-30,2426,31.16854314012587,13.476771744127069,2.1576747602252926,-11.678963990527258,2.668776371380757,1403.7230231268372,-0.6682753618474386,-0.0192522794048835,0.5226484506224427,74,3.0502885408079146,74,3.0502885408079146,26
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_5y,25,13,2021-04-30,2026-04-30,1208,31.290270821144084,16.17093148844654,1.8376064404537877,-11.67896399052719,2.6791991863767732,290.01543534853914,-1.106571562701511,-0.04010589668302034,0.5226484506225209,31,2.566225165562914,31,2.566225165562914,16,microcap_v1_0_costed_broad_own_volume_only_half,2021-04-30,2026-04-30,1208,31.290270821144084,16.17762891324744,1.8368456842876908,-11.67896399052719,2.679199186376773,290.01543534853914,-1.106571562701511,-0.0400892931233427,0.5226484506225209,31,2.566225165562914,31,2.566225165562914,16
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_3y,25,13,2023-05-04,2026-04-30,723,27.15200134607134,15.41764941724915,1.7016933654463298,-11.678963990527159,2.3248638636179035,105.06829506979835,-0.4066719968457413,-0.013171688013244198,0.5226484506225866,27,3.7344398340248963,27,3.7344398340248963,12,microcap_v1_0_costed_broad_own_volume_only_half,2023-05-04,2026-04-30,723,27.15200134607134,15.428322765303044,1.700516130185783,-11.67896399052716,2.3248638636179035,105.06829506979837,-0.4066719968457413,-0.0131625758101381,0.5226484506225866,27,3.734439834024896,27,3.734439834024896,12
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,full,30,13,2010-02-02,2026-04-30,3940,30.40401225197842,11.565968450810034,2.4428753054283336,-11.380932944868704,2.6714868103749447,7349.3222687688385,-0.6515654271963989,-0.01144569622926106,0.8206794962809969,113,2.868020304568528,113,2.868020304568528,36,microcap_v1_0_costed_broad_own_volume_only_half,2010-02-02,2026-04-30,3940,30.40401225197842,11.567436492759311,2.4425652761986534,-11.380932944868704,2.6714868103749447,7349.3222687688385,-0.6515654271963989,-0.0114442436375643,0.8206794962809969,113,2.868020304568528,113,2.868020304568528,36
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_10y,30,13,2016-05-03,2026-04-30,2426,31.047296362021125,13.384539623585868,2.1644577384120796,-11.380932944868704,2.7280097784970563,1389.8941077047202,-0.789522139952183,-0.012918105890348475,0.8206794962809969,95,3.915910964550701,95,3.915910964550701,32,microcap_v1_0_costed_broad_own_volume_only_half,2016-05-03,2026-04-30,2426,31.047296362021125,13.387299038030934,2.1640115964433275,-11.380932944868704,2.7280097784970563,1389.8941077047202,-0.789522139952183,-0.0129154431868485,0.8206794962809969,95,3.915910964550701,95,3.915910964550701,32
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_5y,30,13,2021-04-30,2026-04-30,1208,31.493259867982637,16.025715208936845,1.8628482490966491,-11.248066086049413,2.7998821865958483,293.03938883318756,-0.9035825158629578,-0.01486408804015893,0.9535463551002987,43,3.5596026490066226,43,3.5596026490066226,22,microcap_v1_0_costed_broad_own_volume_only_half,2021-04-30,2026-04-30,1208,31.49325986798264,16.03235249031851,1.8620770429989757,-11.248066086049413,2.7998821865958483,293.0393888331876,-0.9035825158629578,-0.0148579344120582,0.9535463551002988,43,3.5596026490066226,43,3.5596026490066226,22
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,last_3y,30,13,2023-05-04,2026-04-30,723,27.16980099744766,15.18778267148341,1.7260684058822318,-11.248066086049457,2.415508656296509,105.15413309401751,-0.38887234546942295,0.011203352422657797,0.9535463551002881,37,5.117565698478561,37,5.117565698478561,16,microcap_v1_0_costed_broad_own_volume_only_half,2023-05-04,2026-04-30,723,27.16980099744766,15.198296887122426,1.7248743079144186,-11.248066086049455,2.415508656296509,105.15413309401752,-0.3888723454694229,0.0111956019184975,0.953546355100288,37,5.117565698478561,37,5.117565698478561,16
microcap_v1_0_costed_broad_own_volume_only_half_official_logic,full,35,13,2010-02-02,2026-04-30,3940,30.07072754149498,11.477789300585323,2.4375776713894894,-11.380932944868682,2.6422023297354507,7046.113133576293,-0.9848501376798389,-0.01674333026810526,0.8206794962810182,169,4.289340101522843,169,4.289340101522843,42,microcap_v1_0_costed_broad_own_volume_only_half,2010-02-02,2026-04-30,3940,30.07072754149498,11.479246150156538,2.4372683144910563,-11.380932944868682,2.6422023297354507,7046.113133576293,-0.9848501376798388,-0.0167412053451614,0.8206794962810182,169,4.289340101522843,169,4.289340101522843,42
