scope,window,ma,days,start,end,n_days,annual,vol,sharpe,max_dd,calmar,total_return,annual_delta,sharpe_delta,max_dd_delta,signal_days,signal_days_pct,defense_days,defense_days_pct,switch_count
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,full,20,2,2010-02-02,2026-04-30,3940,28.578598150449185,11.186444590226685,2.3908609336729474,-11.756403225706237,2.4308963891235025,5825.188928878713,-2.476979528725632,-0.06314858616327035,0.44520921544346415,364,9.238578680203045,364,9.238578680203045,286
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_10y,20,2,2016-05-03,2026-04-30,2426,29.137231164939447,12.918547343259801,2.1196833875857353,-11.756403225706158,2.4784137295690023,1186.620764914141,-2.6995873370338614,-0.05724365204444082,0.4452092154435423,285,11.747732893652103,285,11.747732893652103,220
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_5y,20,2,2021-04-30,2026-04-30,1208,29.799550920112083,15.377567471286675,1.8466574329864827,-11.75640322570619,2.534750667189885,268.37353204298233,-2.5972914637335123,-0.030277544424550884,0.445209215443521,172,14.23841059602649,172,14.23841059602649,120
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_3y,20,2,2023-05-04,2026-04-30,723,24.607568556905267,14.26433409114093,1.6793470273199864,-11.756403225706125,2.093120496505194,93.04222584909736,-2.9511047860118147,-0.034331678675934674,0.44520921544362047,131,18.118948824343015,131,18.118948824343015,92
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,full,20,4,2010-02-02,2026-04-30,3940,30.218531194118214,11.417456041737143,2.4601696424002992,-10.785164325935382,2.8018609898646494,7179.120969738728,-0.8370464850566037,0.006160122564081494,1.416448115214319,222,5.634517766497462,222,5.634517766497462,184
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_10y,20,4,2016-05-03,2026-04-30,2426,31.096557441072715,13.190665431764584,2.1972359695409254,-10.785164325935382,2.883271547962785,1395.4987624669056,-0.7402610609005933,0.020308929910749285,1.416448115214319,177,7.295960428689201,177,7.295960428689201,144
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_5y,20,4,2021-04-30,2026-04-30,1208,31.59472420764182,15.726779218740536,1.9002772475343384,-10.785164325935392,2.929461550406338,294.5579303896286,-0.8021181762037735,0.02334227012330481,1.416448115214319,118,9.7682119205298,118,9.7682119205298,86
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_3y,20,4,2023-05-04,2026-04-30,723,27.314116701070624,14.773647372417434,1.778143625027341,-10.78516432593537,2.532563795563842,105.85097219188064,-0.24455664184645798,0.06446491903141993,1.4164481152143757,92,12.72475795297372,92,12.72475795297372,62
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,full,20,6,2010-02-02,2026-04-30,3940,30.863440577872538,11.58306486330332,2.47098373070442,-11.066897700732126,2.7888068917299904,7787.123850395566,-0.19213710130227923,0.016974210868202277,1.134714740417575,126,3.197969543147208,126,3.197969543147208,104
microcap_v1_0_costed_top1_stirrer_broad_own_volume_half,last_10y,20,6,2016-05-03,2026-04-30,2426,31.790819670097182,13.410114022084537,2.2043744166569503,-11.06689770073207,2.8726044578865344,1476.5320128998544,-0.04599883187612619,0.027447377026774245,1.13471474041763,103,4.2456718878812865,103,4.2456718878812865,80
