trade_id,strategy,symbol,holding_code,pair,long_leg,short_leg,entry_date,exit_date,entry_price,exit_price,side,holding_days,is_open_trade,profit_pct,mfe_pct,mae_pct,profit_capture,giveback_pct,max_high,min_low,best_date,worst_date,bar_count,holding_calendar_days,had_profit_then_loss,deep_mae_profit,holding_code_trade,pair_trade,long_leg_trade,short_leg_trade,holding_days_trade,is_open_trade_trade
1,Sub-A-DK,DK_T0001,ZZ1000/CYB_1,ZZ1000/CYB,中证1000,创业板,2015-04-07,2015-04-08,1.0,1.0141213507709759,long,2,False,0.014121350770975871,0.014121350770975871,-0.0017249587891526863,1.0,0.0,1.0141213507709759,0.9982750412108473,2015-04-08,2015-04-07,3,1,False,False,ZZ1000/CYB_1,ZZ1000/CYB,中证1000,创业板,2,False
2,Sub-A-DK,DK_T0002,ZZ500/CYB_1,ZZ500/CYB,中证500,创业板,2015-04-09,2015-04-13,1.0,1.0040250345824513,long,3,False,0.004025034582451292,0.004025034582451292,-0.01046329717691774,1.0,0.0,1.0040250345824513,0.9895367028230823,2015-04-13,2015-04-09,4,4,False,False,ZZ500/CYB_1,ZZ500/CYB,中证500,创业板,3,False
3,Sub-A-DK,DK_T0003,SZ50/CYB_1,SZ50/CYB,上证50,创业板,2015-04-14,2015-04-29,1.0,0.9952334176038703,long,12,False,-0.004766582396129704,0.05151966410532305,-0.004766582396129704,-0.09251967144788154,0.05628624650145275,1.051519664105323,0.9952334176038703,2015-04-17,2015-04-29,13,15,True,False,SZ50/CYB_1,SZ50/CYB,上证50,创业板,12,False
4,Sub-A-DK,DK_T0004,SZ50/ZZ1000_1,SZ50/ZZ1000,上证50,中证1000,2015-04-30,2015-05-07,1.0,0.9815079846386423,long,5,False,-0.018492015361357694,0.0,-0.0203720063585503,,0.018492015361357694,1.0,0.9796279936414497,2015-04-30,2015-05-05,6,7,False,False,SZ50/ZZ1000_1,SZ50/ZZ1000,上证50,中证1000,5,False
5,Sub-A-DK,DK_T0005,ZZ1000/CYB_-1,ZZ1000/CYB,创业板,中证1000,2015-05-08,2015-05-08,1.0,1.0131098706592951,long,1,False,0.013109870659295142,0.013109870659295142,0.0,1.0,0.0,1.0131098706592951,1.0,2015-05-08,2015-05-08,2,0,False,False,ZZ1000/CYB_-1,ZZ1000/CYB,创业板,中证1000,1,False
6,Sub-A-DK,DK_T0006,ZZ500/CYB_-1,ZZ500/CYB,创业板,中证500,2015-05-11,2015-05-12,1.0,1.0209771246283437,long,2,False,0.02097712462834367,0.02097712462834367,0.0,1.0,0.0,1.0209771246283437,1.0,2015-05-12,2015-05-11,3,1,False,False,ZZ500/CYB_-1,ZZ500/CYB,创业板,中证500,2,False
7,Sub-A-DK,DK_T0007,SZ50/CYB_-1,SZ50/CYB,创业板,上证50,2015-05-13,2015-05-25,1.0,1.0062033212729793,long,9,False,0.00620332127297929,0.04503860323640008,-0.007069936079018957,0.13773342926331655,0.03883528196342079,1.0450386032364,0.992930063920981,2015-05-21,2015-05-14,10,12,False,False,SZ50/CYB_-1,SZ50/CYB,创业板,上证50,9,False
8,Sub-A-DK,DK_T0008,SZ50/ZZ1000_-1,SZ50/ZZ1000,中证1000,上证50,2015-05-26,2015-06-08,1.0,1.0371828379731305,long,10,False,0.03718283797313049,0.08709514546289321,0.0,0.4269220491625701,0.04991230748976272,1.0870951454628932,1.0,2015-06-03,2015-05-26,11,13,False,False,SZ50/ZZ1000_-1,SZ50/ZZ1000,中证1000,上证50,10,False
9,Sub-A-DK,DK_T0009,SZ50/ZZ500_-1,SZ50/ZZ500,中证500,上证50,2015-06-09,2015-06-10,1.0,1.0292013070592587,long,2,False,0.02920130705925872,0.02920130705925872,0.0,1.0,0.0,1.0292013070592587,1.0,2015-06-10,2015-06-09,3,1,False,False,SZ50/ZZ500_-1,SZ50/ZZ500,中证500,上证50,2,False
10,Sub-A-DK,DK_T0010,ZZ500/CYB_1,ZZ500/CYB,中证500,创业板,2015-06-11,2015-06-24,1.0,1.0235179128745402,long,9,False,0.023517912874540192,0.03188748893848348,0.0,0.7375279038092446,0.008369576063943285,1.0318874889384835,1.0,2015-06-15,2015-06-11,10,13,False,False,ZZ500/CYB_1,ZZ500/CYB,中证500,创业板,9,False
11,Sub-A-DK,DK_T0011,HS300/CYB_1,HS300/CYB,沪深300,创业板,2015-06-25,2015-06-29,1.0,1.0337184581910648,long,3,False,0.03371845819106478,0.03371845819106478,0.0,1.0,0.0,1.0337184581910648,1.0,2015-06-29,2015-06-25,4,4,False,False,HS300/CYB_1,HS300/CYB,沪深300,创业板,3,False
12,Sub-A-DK,DK_T0012,SZ50/CYB_1,SZ50/CYB,上证50,创业板,2015-06-30,2015-07-06,1.0,1.0380134523279496,long,5,False,0.038013452327949615,0.038013452327949615,-0.0013492731712365647,1.0,0.0,1.0380134523279496,0.9986507268287634,2015-07-06,2015-07-03,6,6,False,False,SZ50/CYB_1,SZ50/CYB,上证50,创业板,5,False
13,Sub-A-DK,DK_T0013,SZ50/ZZ1000_1,SZ50/ZZ1000,上证50,中证1000,2015-07-07,2015-07-07,1.0,1.0313678795355603,long,1,False,0.031367879535560306,0.031367879535560306,0.0,1.0,0.0,1.0313678795355603,1.0,2015-07-07,2015-07-07,2,0,False,False,SZ50/ZZ1000_1,SZ50/ZZ1000,上证50,中证1000,1,False
14,Sub-A-DK,DK_T0014,SZ50/ZZ1000_1,SZ50/ZZ1000,上证50,中证1000,2015-07-09,2015-07-10,1.0,1.017887450346225,long,2,False,0.017887450346224965,0.017887450346224965,0.0,1.0,0.0,1.017887450346225,1.0,2015-07-10,2015-07-09,3,1,False,False,SZ50/ZZ1000_1,SZ50/ZZ1000,上证50,中证1000,2,False
15,Sub-A-DK,DK_T0015,SZ50/ZZ1000_1,SZ50/ZZ1000,上证50,中证1000,2015-07-14,2015-07-22,1.0,0.9317100335177156,long,7,False,-0.06828996648228436,0.0,-0.06828996648228436,,0.06828996648228436,1.0,0.9317100335177156,2015-07-14,2015-07-22,8,8,False,False,SZ50/ZZ1000_1,SZ50/ZZ1000,上证50,中证1000,7,False
16,Sub-A-DK,DK_T0016,ZZ1000/CYB_-1,ZZ1000/CYB,创业板,中证1000,2015-07-27,2015-07-27,1.0,0.9954743490281772,long,1,False,-0.004525650971822781,0.0,-0.004525650971822781,,0.004525650971822781,1.0,0.9954743490281772,2015-07-27,2015-07-27,2,0,False,False,ZZ1000/CYB_-1,ZZ1000/CYB,创业板,中证1000,1,False
17,Sub-A-DK,DK_T0017,SZ50/ZZ500_-1,SZ50/ZZ500,中证500,上证50,2015-07-28,2015-07-30,1.0,1.0042041827013772,long,3,False,0.004204182701377235,0.005022382829612315,-0.005279046360180617,0.8370892550422648,0.0008182001282350804,1.0050223828296123,0.9947209536398194,2015-07-29,2015-07-28,4,2,False,False,SZ50/ZZ500_-1,SZ50/ZZ500,中证500,上证50,3,False
18,Sub-A-DK,DK_T0018,SZ50/ZZ1000_-1,SZ50/ZZ1000,中证1000,上证50,2015-07-31,2015-08-03,1.0,0.96662438050281,long,2,False,-0.033375619497190034,0.0,-0.033375619497190034,,0.033375619497190034,1.0,0.96662438050281,2015-07-31,2015-08-03,3,3,False,False,SZ50/ZZ1000_-1,SZ50/ZZ1000,中证1000,上证50,2,False
19,Sub-A-DK,DK_T0019,SZ50/ZZ500_-1,SZ50/ZZ500,中证500,上证50,2015-08-04,2015-08-07,1.0,1.018012005841114,long,4,False,0.018012005841113954,0.018012005841113954,0.0,1.0,0.0,1.018012005841114,1.0,2015-08-07,2015-08-04,5,3,False,False,SZ50/ZZ500_-1,SZ50/ZZ500,中证500,上证50,4,False
20,Sub-A-DK,DK_T0020,ZZ500/CYB_1,ZZ500/CYB,中证500,创业板,2015-08-10,2015-08-20,1.0,1.0236974645701178,long,9,False,0.023697464570117788,0.05450139853749292,-0.0022112979318656967,0.4348047060446658,0.03080393396737513,1.054501398537493,0.9977887020681343,2015-08-17,2015-08-10,10,10,False,False,ZZ500/CYB_1,ZZ500/CYB,中证500,创业板,9,False
21,Sub-A-DK,DK_T0021,ZZ1000/CYB_1,ZZ1000/CYB,中证1000,创业板,2015-08-21,2015-08-21,1.0,1.0145394738873477,long,1,False,0.014539473887347665,0.014539473887347665,0.0,1.0,0.0,1.0145394738873477,1.0,2015-08-21,2015-08-21,2,0,False,False,ZZ1000/CYB_1,ZZ1000/CYB,中证1000,创业板,1,False
22,Sub-A-DK,DK_T0022,SZ50/ZZ1000_-1,SZ50/ZZ1000,中证1000,上证50,2015-08-24,2015-08-28,1.0,0.9755441172827746,long,5,False,-0.02445588271722543,0.007279857759884711,-0.0364256124001614,-3.3593901864385782,0.03173574047711014,1.0072798577598847,0.9635743875998386,2015-08-24,2015-08-27,6,4,True,False,SZ50/ZZ1000_-1,SZ50/ZZ1000,中证1000,上证50,5,False
23,Sub-A-DK,DK_T0023,ZZ1000/CYB_1,ZZ1000/CYB,中证1000,创业板,2015-08-31,2015-09-01,1.0,0.9901216517936252,long,2,False,-0.009878348206374787,0.0026823237510091857,-0.009878348206374787,-3.6827576099485384,0.012560671957383973,1.0026823237510092,0.9901216517936252,2015-08-31,2015-09-01,3,1,True,False,ZZ1000/CYB_1,ZZ1000/CYB,中证1000,创业板,2,False
24,Sub-A-DK,DK_T0024,SZ50/CYB_1,SZ50/CYB,上证50,创业板,2015-09-02,2015-09-02,1.0,1.011619634484153,long,1,False,0.01161963448415304,0.01161963448415304,0.0,1.0,0.0,1.011619634484153,1.0,2015-09-02,2015-09-02,2,0,False,False,SZ50/CYB_1,SZ50/CYB,上证50,创业板,1,False
25,Sub-A-DK,DK_T0025,SZ50/CYB_1,SZ50/CYB,上证50,创业板,2015-09-08,2015-09-08,1.0,0.9821505328176594,long,1,False,-0.017849467182340595,0.0,-0.017849467182340595,,0.017849467182340595,1.0,0.9821505328176594,2015-09-08,2015-09-08,2,0,False,False,SZ50/CYB_1,SZ50/CYB,上证50,创业板,1,False
26,Sub-A-DK,DK_T0026,SZ50/ZZ500_1,SZ50/ZZ500,上证50,中证500,2015-09-09,2015-09-23,1.0,1.0068606892107501,long,11,False,0.006860689210750115,0.04936120275636924,-0.00631595836383303,0.13898950648776195,0.04250051354561912,1.0493612027563692,0.993684041636167,2015-09-15,2015-09-09,12,14,False,False,SZ50/ZZ500_1,SZ50/ZZ500,上证50,中证500,11,False
27,Sub-A-DK,DK_T0027,ZZ500/CYB_-1,ZZ500/CYB,创业板,中证500,2015-09-24,2015-09-25,1.0,0.9901475780501198,long,2,False,-0.00985242194988023,0.0,-0.00985242194988023,,0.00985242194988023,1.0,0.9901475780501198,2015-09-24,2015-09-25,3,1,False,False,ZZ500/CYB_-1,ZZ500/CYB,创业板,中证500,2,False
28,Sub-A-DK,DK_T0028,HS300/CYB_-1,HS300/CYB,创业板,沪深300,2015-09-28,2015-10-09,1.0,1.0316304135456695,long,5,False,0.03163041354566953,0.03227069479974509,0.0,0.9801590496254015,0.0006402812540755587,1.032270694799745,1.0,2015-10-08,2015-09-28,6,11,False,False,HS300/CYB_-1,HS300/CYB,创业板,沪深300,5,False
