scope,window,start,end,days,base_annual,switch_delay_annual,delta_annual,base_vol,switch_delay_vol,delta_vol,base_sharpe,switch_delay_sharpe,delta_sharpe,base_max_dd,switch_delay_max_dd,delta_max_dd,base_total_return,switch_delay_total_return,delta_total_return
V7.6_combo_with_microcap_v1_6,1Y,2025-04-30,2026-04-30,260,0.5417878392622184,0.5274838073918022,-0.014304031870416178,0.11554321706637292,0.1164987603560583,0.000955543289685376,3.7038377959780537,3.596480350417478,-0.10735744556057591,-0.0734359168440547,-0.07400502003899645,-0.0005691031949417447,0.5413310241607572,0.5270409725831666,-0.014290051577590557
V7.6_combo_with_microcap_v1_6,3Y,2023-05-01,2026-04-30,780,0.4113209520049317,0.40206713580229536,-0.009253816202636322,0.11691590526923946,0.11804135318271715,0.001125447913477684,2.9180300032665274,2.8372043354480634,-0.08082566781846401,-0.0734359168440547,-0.07400502003899645,-0.0005691031949417447,1.80911893478561,1.7542607653963214,-0.05485816938928867
V7.6_combo_with_microcap_v1_6,5Y,2021-04-30,2026-04-30,1300,0.30297158952411385,0.29661724827228886,-0.006354341251824991,0.10912466406514108,0.11019998369000604,0.0010753196248649566,2.4076971982876643,2.342200976978564,-0.06549622130910038,-0.0734359168440547,-0.07400502003899645,-0.0005691031949417447,2.7548800052363966,2.664221824643294,-0.0906581805931026
V7.6_combo_with_microcap_v1_6,10Y,2016-05-03,2026-04-30,2595,0.319032524834727,0.3110115103951798,-0.00802101443954717,0.10595094229195152,0.10683489356637588,0.0008839512744243522,2.590719741202684,2.514696054002033,-0.07602368720065122,-0.0734359168440547,-0.07400502003899645,-0.0005691031949417447,14.900204127613135,13.96022362716361,-0.9399805004495239
V7.6_combo_with_microcap_v1_6,Full,2016-05-03,2026-04-30,2595,0.319032524834727,0.3110115103951798,-0.00802101443954717,0.10595094229195152,0.10683489356637588,0.0008839512744243522,2.590719741202684,2.514696054002033,-0.07602368720065122,-0.0734359168440547,-0.07400502003899645,-0.0005691031949417447,14.900204127613135,13.96022362716361,-0.9399805004495239
Sub-A_only,1Y,2025-04-30,2026-04-30,243,0.9832031112497224,0.8687583998852715,-0.11444471136445089,0.20421555094520827,0.21125866154091733,0.007043110595709057,3.594227869245214,3.187787192435483,-0.4064406768097313,-0.07182450326460965,-0.08414860508428823,-0.012324101819678579,0.982273879672033,0.867958785576098,-0.11431509409593499
Sub-A_only,3Y,2023-05-04,2026-04-30,726,0.44237837186898643,0.3821435734844765,-0.06023479838450996,0.20120303804797243,0.21231440489342526,0.01111136684545283,1.9905837036629745,1.6882307115335882,-0.3023529921293864,-0.12792186195221333,-0.132979102437361,-0.005057240485147663,1.9895398589809559,1.6315790806648418,-0.35796077831611406
Sub-A_only,5Y,2021-04-30,2026-04-30,1211,0.3363601764952062,0.2927252042855797,-0.04363497220962653,0.19183120381411584,0.20218122694807644,0.010350023133960606,1.6683763906402989,1.4220017272205383,-0.24637466341976055,-0.17718418266028935,-0.18104226672686474,-0.0038580840665753957,3.261195267373065,2.6095641104668807,-0.6516311569061841
Sub-A_only,10Y,2016-05-03,2026-04-30,2429,0.29235183902118744,0.25503428728425437,-0.037317551736933074,0.1967973142638936,0.2007160125854228,0.00391869832152919,1.4493272842304723,1.2735390133926994,-0.17578827083777293,-0.19846281242802855,-0.21501639808102546,-0.016553585652996916,11.964039569253737,8.674099350461795,-3.2899402187919424
Sub-A_only,Full,2010-09-29,2026-04-30,3785,0.3118384523338984,0.28084650045510684,-0.030991951878791557,0.21952210577339012,0.22021158656253195,0.0006894807891418275,1.393254476474034,1.2766897433909576,-0.11656473308307636,-0.32525154433746706,-0.3031200575996049,0.02213148673786214,67.7114962015375,46.33889401836243,-21.37260218317507
