overheat_enabled,enter_threshold,exit_threshold,derisk_scale,segment,start,end,rows,trigger_count,overlay_days,avg_weight,avg_turnover,cagr,vol,sharpe,max_dd,calmar,final_nav
True,0.28,0.26,0.0,last_1y,2025-05-06,2026-04-30,242,0,0,0.6903409090909091,0.1890495867768595,0.9879376761573204,0.19620500195838675,3.571552337153125,-0.062068609892664384,15.916864867213345,1.9647017214835085
True,0.28,0.26,0.0,last_3y,2023-05-04,2026-04-30,726,2,10,0.5910684624349081,0.19439115232009901,0.4667964811172287,0.19102001013309663,2.108755565164227,-0.11042852267079417,4.227136883002834,3.1434131727072354
True,0.28,0.26,0.0,last_5y,2021-05-06,2026-04-30,1210,2,10,0.6780398377915233,0.2266553525490842,0.34205635787217803,0.18089659343015166,1.7233592880022972,-0.1667834505756216,2.0509010737674216,4.331790168776122
True,0.28,0.26,0.0,last_10y,2016-05-04,2026-04-30,2428,3,11,0.6809353890683721,0.24646190785558605,0.3102476618404768,0.1843629747451564,1.5629246549032834,-0.19160178344553136,1.6192315972292302,14.862371109760549
True,0.28,0.26,0.0,full_common,2010-09-29,2026-04-30,3785,8,48,0.696718941026816,0.24493592010576273,0.2852870065300792,0.2067427127402427,1.3231700032096965,-0.35391395766378686,0.8060914251963404,49.96214934156326
True,0.28,0.26,0.25,last_1y,2025-05-06,2026-04-30,242,0,0,0.6903409090909091,0.1890495867768595,0.9879376761573204,0.19620500195838675,3.571552337153125,-0.062068609892664384,15.916864867213345,1.9647017214835085
True,0.28,0.26,0.25,last_3y,2023-05-04,2026-04-30,726,2,10,0.5929482932068519,0.19437146682085019,0.4646906615276276,0.19113108026274248,2.1000796775762063,-0.11042852267079417,4.208067356954036,3.129940159444092
True,0.28,0.26,0.25,last_5y,2021-05-06,2026-04-30,1210,2,10,0.6791677362546897,0.2266435412495349,0.3408999845290428,0.1809651748986211,1.7179847858696642,-0.1667834505756216,2.0439676919531933,4.313223641504487
True,0.28,0.26,0.25,last_10y,2016-05-04,2026-04-30,2428,3,11,0.6815848216569947,0.24613868879499637,0.30851034262050225,0.18440913319652463,1.5553502303921702,-0.19160178344553125,1.610164253550416,14.666715375148389
True,0.28,0.26,0.25,full_common,2010-09-29,2026-04-30,3785,8,48,0.6989439062422351,0.24486728210654382,0.2886439358246289,0.20704593044774156,1.3342054364608074,-0.35391395766378686,0.8155765817488229,52.03490471702907
True,0.28,0.26,0.5,last_1y,2025-05-06,2026-04-30,242,0,0,0.6903409090909091,0.1890495867768595,0.9879376761573204,0.19620500195838675,3.571552337153125,-0.062068609892664384,15.916864867213345,1.9647017214835085
True,0.28,0.26,0.5,last_3y,2023-05-04,2026-04-30,726,2,10,0.5945011048503441,0.19431928924453487,0.462241620964015,0.19143810599012218,2.0882282235374734,-0.11042852267079417,4.185889748267613,3.114319625462729
True,0.28,0.26,0.5,last_5y,2021-05-06,2026-04-30,1210,2,10,0.680099423240785,0.22661223470374572,0.3395543007303623,0.1811576937936017,1.7107801821923805,-0.1667834505756216,2.0358992427513325,4.291697716717049
True,0.28,0.26,0.5,last_10y,2016-05-04,2026-04-30,2428,3,11,0.6820722852019483,0.2457909903942991,0.306644267184806,0.1845516925882722,1.5465239449645525,-0.19160178344553125,1.600424910825421,14.45914379210225
True,0.28,0.26,0.5,full_common,2010-09-29,2026-04-30,3785,8,48,0.7007216600537235,0.24490626246144503,0.29149112597665794,0.20785441001104543,1.34050061667382,-0.35391395766378597,0.8236214471472499,53.855710134595874
True,0.28,0.24,0.0,last_1y,2025-05-06,2026-04-30,242,0,0,0.6903409090909091,0.1890495867768595,0.9879376761573204,0.19620500195838675,3.571552337153125,-0.062068609892664384,15.916864867213345,1.9647017214835085
True,0.28,0.24,0.0,last_3y,2023-05-04,2026-04-30,726,2,11,0.5892443265382072,0.19439738883401278,0.4690090609305049,0.19099241325782632,2.1169756661590546,-0.11042852267079417,4.247173190287975,3.1576107600769974
True,0.28,0.24,0.0,last_5y,2021-05-06,2026-04-30,1210,2,11,0.6769453562535028,0.2266590944574325,0.3432706415048732,0.18088099808504432,1.7285226026117837,-0.1667834505756216,2.058181674021849,4.351355197618856
True,0.28,0.24,0.0,last_10y,2016-05-04,2026-04-30,2428,3,12,0.680389951399095,0.24646377264516656,0.3108389795967852,0.18435559181731323,1.5654392473067622,-0.19160178344553136,1.6223177780866045,14.929498719387144
True,0.28,0.24,0.0,full_common,2010-09-29,2026-04-30,3785,8,49,0.6963690539301173,0.244937116330096,0.285658732066294,0.20673857443215785,1.3245991038280307,-0.35391395766378686,0.8071417526224429,50.187809139205115
True,0.28,0.24,0.25,last_1y,2025-05-06,2026-04-30,242,0,0,0.6903409090909091,0.1890495867768595,0.9879376761573204,0.19620500195838675,3.571552337153125,-0.062068609892664384,15.916864867213345,1.9647017214835085
True,0.28,0.24,0.25,last_3y,2023-05-04,2026-04-30,726,2,11,0.5915838201039406,0.19436936759540735,0.46635346277432776,0.19109575335336124,2.1064082099127965,-0.11042852267079417,4.223125072175466,3.140575546230637
True,0.28,0.24,0.25,last_5y,2021-05-06,2026-04-30,1210,2,11,0.6783490523929429,0.2266422817142692,0.34181313742080666,0.18094420178308998,1.7219480589910963,-0.1667834505756216,2.0494427728956506,4.3278797689022745
True,0.28,0.24,0.25,last_10y,2016-05-04,2026-04-30,2428,3,12,0.6811768284639496,0.2461380611023804,0.30895483748652985,0.18439906393399239,1.5572758857929063,-0.19160178344553125,1.6124841425307497,14.716552171686544
