cash_enabled,decay_threshold,recovery_threshold,segment,start,end,rows,trigger_count,overlay_days,avg_weight,avg_turnover,cagr,vol,sharpe,max_dd,calmar,final_nav
True,0.45,0.7,last_1y,2025-05-06,2026-04-30,242,4,25,0.7980371900826446,0.19834710743801653,0.8731547611715675,0.20587280093748955,3.1262116653784866,-0.08523104333511766,10.244562626535425,1.853145408706677
True,0.45,0.7,last_3y,2023-05-04,2026-04-30,726,11,53,0.6789562920068217,0.2005462254667102,0.4104632088933291,0.2002936966470543,1.8234976220357246,-0.12402776997009568,3.3094460135201644,2.796094200060083
True,0.45,0.7,last_5y,2021-05-06,2026-04-30,1210,17,73,0.7842332793363244,0.2201211237097782,0.3120875610007243,0.19341269413984194,1.506465121176861,-0.17287914287505635,1.8052354715009031,3.8707539228638255
True,0.45,0.7,last_10y,2016-05-04,2026-04-30,2428,32,104,0.7928750276604563,0.2373847391146328,0.26535381793985824,0.1983731210653356,1.289627690845138,-0.2589498624837714,1.0247304840970448,10.492053899689036
True,0.45,0.7,full_common,2010-09-29,2026-04-30,3785,50,175,0.79139223096637,0.23832858470510912,0.2849536262432777,0.21989168239740037,1.255643187162876,-0.3231903139617508,0.881689871055361,49.76057541999912
True,0.45,0.75,last_1y,2025-05-06,2026-04-30,242,4,26,0.7918388429752066,0.19834710743801653,0.8888448312500334,0.2056069127001934,3.1702998886135942,-0.0778120580397399,11.422970342155528,1.8684011708064594
True,0.45,0.75,last_3y,2023-05-04,2026-04-30,726,11,54,0.6768901763043423,0.2005462254667102,0.4143363902995112,0.20021870288753177,1.837888341215127,-0.12402776997009568,3.3406743538113424,2.8191126570706793
True,0.45,0.75,last_5y,2021-05-06,2026-04-30,1210,17,74,0.7829936099148368,0.2201211237097782,0.31424819828882766,0.19336872521669002,1.5153236465591926,-0.17287914287505635,1.8177334354089314,3.9026193667283846
True,0.45,0.75,last_10y,2016-05-04,2026-04-30,2428,32,105,0.79225723523871,0.2373847391146328,0.26639294466650765,0.19835237701668854,1.293899892056764,-0.2589498624837714,1.028743333212632,10.57842827564449
True,0.45,0.75,full_common,2010-09-29,2026-04-30,3785,50,176,0.7909959297774664,0.23832858470510912,0.2856298180599861,0.21987948221681575,1.2581070310141562,-0.3231903139617508,0.8837821114087908,50.170222443373014
