case_id,family,volume_enabled,old_enabled,clear_enabled,zz_ma,zz_days,cyb_ma,cyb_days,old_scale,ratio_ma,ratio_days,clear_scale,cagr_last_1y,max_dd_last_1y,sharpe_last_1y,calmar_last_1y,old_signal_days_last_1y,clear_signal_days_last_1y,overlay_days_last_1y,avg_weight_last_1y,avg_turnover_last_1y,cagr_last_3y,max_dd_last_3y,sharpe_last_3y,calmar_last_3y,old_signal_days_last_3y,clear_signal_days_last_3y,overlay_days_last_3y,avg_weight_last_3y,avg_turnover_last_3y,cagr_last_5y,max_dd_last_5y,sharpe_last_5y,calmar_last_5y,old_signal_days_last_5y,clear_signal_days_last_5y,overlay_days_last_5y,avg_weight_last_5y,avg_turnover_last_5y,cagr_last_10y,max_dd_last_10y,sharpe_last_10y,calmar_last_10y,old_signal_days_last_10y,clear_signal_days_last_10y,overlay_days_last_10y,avg_weight_last_10y,avg_turnover_last_10y,cagr_full_common,max_dd_full_common,sharpe_full_common,calmar_full_common,old_signal_days_full_common,clear_signal_days_full_common,overlay_days_full_common,avg_weight_full_common,avg_turnover_full_common,recent_weighted_sharpe,mean_recent_cagr,worst_recent_max_dd
cyb_ma10_d5,cyb_scan,True,True,True,15.0,3.0,10.0,5.0,0.25,30.0,15.0,0.0,1.0598405854594692,-0.06206826712435143,3.668889703345045,17.075401562864943,80,36,96,0.7275309917355371,0.184400826446281,0.4667858130230247,-0.12648504415396622,2.0616497588648426,3.6904427408415272,278,100,334,0.622948164873658,0.19099840181412436,0.36166755931043215,-0.16546350170318813,1.749907091270898,2.1857845119173107,431,111,495,0.7227358410729551,0.2190411898488052,0.3152003655144784,-0.16546350170318913,1.5258522807260488,1.9049540368116313,909,183,999,0.7293869495536729,0.2420244580217627,0.32077697993985077,-0.30674487230346237,1.3985962510052048,1.0457452068587685,1237,240,1357,0.743702195489281,0.2384498188270653,2.113256195158173,0.5508735808268511,-0.16546350170318913
zz_ma18_d3,zz_scan,True,True,True,18.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,1.032429947581397,-0.06840400534657043,3.630423597821009,15.093121263156556,95,36,104,0.6996384297520661,0.1890495867768595,0.4638023838019212,-0.10075687198074679,2.0815403048050394,4.603183630894647,338,100,381,0.5896269016901414,0.18946491727342257,0.3566486568345635,-0.14088338596582328,1.7684350453196933,2.5315167887935517,534,111,584,0.6804290335760682,0.22276985945496264,0.29017799693776314,-0.18636212042342004,1.454362645172171,1.5570653321526418,1072,183,1144,0.698053340663309,0.2433597659316763,0.3020365083714074,-0.33639761045273686,1.3609268395202565,0.8978556891795842,1535,240,1635,0.7127157242398395,0.2426396293800425,2.1102093089926335,0.5357647462889112,-0.18636212042342004
clear_scale_0.00,scale_scan,True,True,True,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,0.9879482118483531,-0.06206826712435154,3.571614035839105,15.917122510751499,93,36,107,0.6903409090909091,0.1890495867768595,0.4563599966111458,-0.11042779049152995,2.0555211872215966,4.132655326886664,318,100,366,0.5966901794533429,0.19412675312549937,0.3571349733237208,-0.1501227635120106,1.7780977730480725,2.3789528314614867,507,111,563,0.6855967523001049,0.22277770476786163,0.2886055907110179,-0.1863621204234216,1.4508216315979918,1.5486279618159278,1034,183,1112,0.6986538640310841,0.24206002883788394,0.2980054000005192,-0.3479082643647007,1.347711829584266,0.8565631533493268,1480,240,1588,0.7128294870322898,0.24235815231422403,2.0951319862099487,0.5225121931235595,-0.1863621204234216
cyb_ma10_d3,cyb_scan,True,True,True,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,0.9879482118483531,-0.06206826712435154,3.571614035839105,15.917122510751499,93,36,107,0.6903409090909091,0.1890495867768595,0.4563599966111458,-0.11042779049152995,2.0555211872215966,4.132655326886664,318,100,366,0.5966901794533429,0.19412675312549937,0.3571349733237208,-0.1501227635120106,1.7780977730480725,2.3789528314614867,507,111,563,0.6855967523001049,0.22277770476786163,0.2886055907110179,-0.1863621204234216,1.4508216315979918,1.5486279618159278,1034,183,1112,0.6986538640310841,0.24206002883788394,0.2980054000005192,-0.3479082643647007,1.347711829584266,0.8565631533493268,1480,240,1588,0.7128294870322898,0.24235815231422403,2.0951319862099487,0.5225121931235595,-0.1863621204234216
default,default,True,True,True,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,0.9879482118483531,-0.06206826712435154,3.571614035839105,15.917122510751499,93,36,107,0.6903409090909091,0.1890495867768595,0.4563599966111458,-0.11042779049152995,2.0555211872215966,4.132655326886664,318,100,366,0.5966901794533429,0.19412675312549937,0.3571349733237208,-0.1501227635120106,1.7780977730480725,2.3789528314614867,507,111,563,0.6855967523001049,0.22277770476786163,0.2886055907110179,-0.1863621204234216,1.4508216315979918,1.5486279618159278,1034,183,1112,0.6986538640310841,0.24206002883788394,0.2980054000005192,-0.3479082643647007,1.347711829584266,0.8565631533493268,1480,240,1588,0.7128294870322898,0.24235815231422403,2.0951319862099487,0.5225121931235595,-0.1863621204234216
old_scale_0.25,scale_scan,True,True,True,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,0.9879482118483531,-0.06206826712435154,3.571614035839105,15.917122510751499,93,36,107,0.6903409090909091,0.1890495867768595,0.4563599966111458,-0.11042779049152995,2.0555211872215966,4.132655326886664,318,100,366,0.5966901794533429,0.19412675312549937,0.3571349733237208,-0.1501227635120106,1.7780977730480725,2.3789528314614867,507,111,563,0.6855967523001049,0.22277770476786163,0.2886055907110179,-0.1863621204234216,1.4508216315979918,1.5486279618159278,1034,183,1112,0.6986538640310841,0.24206002883788394,0.2980054000005192,-0.3479082643647007,1.347711829584266,0.8565631533493268,1480,240,1588,0.7128294870322898,0.24235815231422403,2.0951319862099487,0.5225121931235595,-0.1863621204234216
ratio_ma30_d15,ratio_scan,True,True,True,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,0.9879482118483531,-0.06206826712435154,3.571614035839105,15.917122510751499,93,36,107,0.6903409090909091,0.1890495867768595,0.4563599966111458,-0.11042779049152995,2.0555211872215966,4.132655326886664,318,100,366,0.5966901794533429,0.19412675312549937,0.3571349733237208,-0.1501227635120106,1.7780977730480725,2.3789528314614867,507,111,563,0.6855967523001049,0.22277770476786163,0.2886055907110179,-0.1863621204234216,1.4508216315979918,1.5486279618159278,1034,183,1112,0.6986538640310841,0.24206002883788394,0.2980054000005192,-0.3479082643647007,1.347711829584266,0.8565631533493268,1480,240,1588,0.7128294870322898,0.24235815231422403,2.0951319862099487,0.5225121931235595,-0.1863621204234216
zz_ma15_d3,zz_scan,True,True,True,15.0,3.0,10.0,3.0,0.25,30.0,15.0,0.0,0.9879482118483531,-0.06206826712435154,3.571614035839105,15.917122510751499,93,36,107,0.6903409090909091,0.1890495867768595,0.4563599966111458,-0.11042779049152995,2.0555211872215966,4.132655326886664,318,100,366,0.5966901794533429,0.19412675312549937,0.3571349733237208,-0.1501227635120106,1.7780977730480725,2.3789528314614867,507,111,563,0.6855967523001049,0.22277770476786163,0.2886055907110179,-0.1863621204234216,1.4508216315979918,1.5486279618159278,1034,183,1112,0.6986538640310841,0.24206002883788394,0.2980054000005192,-0.3479082643647007,1.347711829584266,0.8565631533493268,1480,240,1588,0.7128294870322898,0.24235815231422403,2.0951319862099487,0.5225121931235595,-0.1863621204234216
cyb_ma15_d3,cyb_scan,True,True,True,15.0,3.0,15.0,3.0,0.25,30.0,15.0,0.0,1.034788458681402,-0.06206826712435143,3.6115525272186275,16.671779423263782,93,36,105,0.7182334710743802,0.17510330578512398,0.47017118310227857,-0.11293066978041622,2.1047481821045255,4.163361326170165,319,100,366,0.6013389397839214,0.17708129858004484,0.33114715370308545,-0.1525139579654402,1.6651220979655892,2.1712580154671723,509,111,564,0.6902455126306833,0.21317026675133272,0.29558060383839213,-0.16259666958029195,1.477989061148468,1.8178761262538117,1033,183,1114,0.7045997754178224,0.23384107254996384,0.31710196842721317,-0.3127696712359491,1.4141948182654358,1.0138513979764867,1492,240,1603,0.718131365388975,0.2349058999709072,2.0828858362796043,0.5329218498312895,-0.16259666958029195
cyb_ma15_d5,cyb_scan,True,True,True,15.0,3.0,15.0,5.0,0.25,30.0,15.0,0.0,1.0764938774357273,-0.06206826712435143,3.7075012606168825,17.343707619209226,85,36,99,0.7321797520661157,0.184400826446281,0.4788521468593774,-0.12648504415396622,2.1221003586737126,3.785840057710585,290,100,344,0.6136506442125008,0.17860170759924834,0.3262900155662356,-0.1939573576519592,1.6078662747857475,1.682277071188692,449,111,511,0.7171573286762609,0.2109833386091358,0.30221275131613834,-0.1939573576519592,1.4725605525866592,1.5581401756278548,933,183,1022,0.7278999642728613,0.23500384320723688,0.31642740276007175,-0.3067448723034619,1.3847903344654335,1.031565419118175,1293,240,1412,0.7417805987971774,0.23336029930222144,2.0824975936913424,0.5459621977943696,-0.1939573576519592
