rule,overlay_days,total_days,final_holding
broad_low_amount:sh_comp:ma10:lt0.70:scale0.0,0,8545,0.399606
broad_low_amount:sh_comp:ma10:lt0.70:scale0.5,40,8545,0.399606
broad_low_amount:sh_comp:ma10:lt0.80:scale0.0,0,8545,0.399606
broad_low_amount:sh_comp:ma10:lt0.80:scale0.5,200,8545,0.399606
broad_low_amount:sh_comp:ma10:lt0.90:scale0.0,0,8545,0.399606
broad_low_amount:sh_comp:ma10:lt0.90:scale0.5,556,8545,0.399606
broad_low_amount:sh_comp:ma10:lt1.00:scale0.0,0,8545,0.399606
broad_low_amount:sh_comp:ma10:lt1.00:scale0.5,1177,8545,0.399606
broad_low_amount:sh_comp:ma10:lt1.10:scale0.0,0,8545,cash
broad_low_amount:sh_comp:ma10:lt1.10:scale0.5,1717,8545,0.399606
broad_low_amount:sh_comp:ma20:lt0.70:scale0.0,0,8545,0.399606
broad_low_amount:sh_comp:ma20:lt0.70:scale0.5,35,8545,0.399606
broad_low_amount:sh_comp:ma20:lt0.80:scale0.0,0,8545,0.399606
broad_low_amount:sh_comp:ma20:lt0.80:scale0.5,161,8545,0.399606
broad_low_amount:sh_comp:ma20:lt0.90:scale0.0,0,8545,0.399606
broad_low_amount:sh_comp:ma20:lt0.90:scale0.5,475,8545,0.399606
broad_low_amount:sh_comp:ma20:lt1.00:scale0.0,0,8545,0.399606
broad_low_amount:sh_comp:ma20:lt1.00:scale0.5,931,8545,0.399606
broad_low_amount:sh_comp:ma20:lt1.10:scale0.0,0,8545,0.399606
broad_low_amount:sh_comp:ma20:lt1.10:scale0.5,1415,8545,0.399606
broad_low_amount:sh_comp:ma60:lt0.70:scale0.0,0,8545,0.399606
broad_low_amount:sh_comp:ma60:lt0.70:scale0.5,112,8545,0.399606
broad_low_amount:sh_comp:ma60:lt0.80:scale0.0,0,8545,0.399606
broad_low_amount:sh_comp:ma60:lt0.80:scale0.5,274,8545,0.399606
broad_low_amount:sh_comp:ma60:lt0.90:scale0.0,0,8545,0.399606
broad_low_amount:sh_comp:ma60:lt0.90:scale0.5,574,8545,0.399606
broad_low_amount:sh_comp:ma60:lt1.00:scale0.0,0,8545,cash
broad_low_amount:sh_comp:ma60:lt1.00:scale0.5,850,8545,0.399606
broad_low_amount:sh_comp:ma60:lt1.10:scale0.0,0,8545,cash
broad_low_amount:sh_comp:ma60:lt1.10:scale0.5,1169,8545,0.399606
broad_low_amount:hs300:ma10:lt0.70:scale0.0,0,8545,0.399606
broad_low_amount:hs300:ma10:lt0.70:scale0.5,61,8545,0.399606
broad_low_amount:hs300:ma10:lt0.80:scale0.0,0,8545,0.399606
broad_low_amount:hs300:ma10:lt0.80:scale0.5,270,8545,0.399606
broad_low_amount:hs300:ma10:lt0.90:scale0.0,0,8545,0.399606
broad_low_amount:hs300:ma10:lt0.90:scale0.5,675,8545,0.399606
broad_low_amount:hs300:ma10:lt1.00:scale0.0,0,8545,0.399606
broad_low_amount:hs300:ma10:lt1.00:scale0.5,1244,8545,0.399606
broad_low_amount:hs300:ma10:lt1.10:scale0.0,0,8545,cash
broad_low_amount:hs300:ma10:lt1.10:scale0.5,1704,8545,0.399606
broad_low_amount:hs300:ma20:lt0.70:scale0.0,0,8545,0.399606
broad_low_amount:hs300:ma20:lt0.70:scale0.5,59,8545,0.399606
broad_low_amount:hs300:ma20:lt0.80:scale0.0,0,8545,0.399606
broad_low_amount:hs300:ma20:lt0.80:scale0.5,246,8545,0.399606
broad_low_amount:hs300:ma20:lt0.90:scale0.0,0,8545,0.399606
broad_low_amount:hs300:ma20:lt0.90:scale0.5,588,8545,0.399606
broad_low_amount:hs300:ma20:lt1.00:scale0.0,0,8545,0.399606
broad_low_amount:hs300:ma20:lt1.00:scale0.5,1028,8545,0.399606
broad_low_amount:hs300:ma20:lt1.10:scale0.0,0,8545,0.399606
broad_low_amount:hs300:ma20:lt1.10:scale0.5,1445,8545,0.399606
broad_low_amount:hs300:ma60:lt0.70:scale0.0,0,8545,0.399606
broad_low_amount:hs300:ma60:lt0.70:scale0.5,143,8545,0.399606
broad_low_amount:hs300:ma60:lt0.80:scale0.0,0,8545,0.399606
broad_low_amount:hs300:ma60:lt0.80:scale0.5,362,8545,0.399606
broad_low_amount:hs300:ma60:lt0.90:scale0.0,0,8545,0.399606
broad_low_amount:hs300:ma60:lt0.90:scale0.5,630,8545,0.399606
broad_low_amount:hs300:ma60:lt1.00:scale0.0,0,8545,cash
broad_low_amount:hs300:ma60:lt1.00:scale0.5,939,8545,0.399606
broad_low_amount:hs300:ma60:lt1.10:scale0.0,0,8545,cash
broad_low_amount:hs300:ma60:lt1.10:scale0.5,1234,8545,0.399606
broad_low_amount:zz500:ma10:lt0.70:scale0.0,0,8545,0.399606
broad_low_amount:zz500:ma10:lt0.70:scale0.5,42,8545,0.399606
broad_low_amount:zz500:ma10:lt0.80:scale0.0,0,8545,0.399606
broad_low_amount:zz500:ma10:lt0.80:scale0.5,200,8545,0.399606
broad_low_amount:zz500:ma10:lt0.90:scale0.0,0,8545,0.399606
broad_low_amount:zz500:ma10:lt0.90:scale0.5,578,8545,0.399606
broad_low_amount:zz500:ma10:lt1.00:scale0.0,0,8545,0.399606
broad_low_amount:zz500:ma10:lt1.00:scale0.5,1148,8545,0.399606
broad_low_amount:zz500:ma10:lt1.10:scale0.0,0,8545,0.399606
broad_low_amount:zz500:ma10:lt1.10:scale0.5,1668,8545,0.399606
broad_low_amount:zz500:ma20:lt0.70:scale0.0,0,8545,0.399606
broad_low_amount:zz500:ma20:lt0.70:scale0.5,39,8545,0.399606
broad_low_amount:zz500:ma20:lt0.80:scale0.0,0,8545,0.399606
broad_low_amount:zz500:ma20:lt0.80:scale0.5,181,8545,0.399606
broad_low_amount:zz500:ma20:lt0.90:scale0.0,0,8545,0.399606
broad_low_amount:zz500:ma20:lt0.90:scale0.5,476,8545,0.399606
broad_low_amount:zz500:ma20:lt1.00:scale0.0,0,8545,0.399606
broad_low_amount:zz500:ma20:lt1.00:scale0.5,922,8545,0.399606
broad_low_amount:zz500:ma20:lt1.10:scale0.0,0,8545,0.399606
broad_low_amount:zz500:ma20:lt1.10:scale0.5,1371,8545,0.399606
broad_low_amount:zz500:ma60:lt0.70:scale0.0,0,8545,0.399606
broad_low_amount:zz500:ma60:lt0.70:scale0.5,122,8545,0.399606
broad_low_amount:zz500:ma60:lt0.80:scale0.0,0,8545,0.399606
broad_low_amount:zz500:ma60:lt0.80:scale0.5,293,8545,0.399606
broad_low_amount:zz500:ma60:lt0.90:scale0.0,0,8545,0.399606
broad_low_amount:zz500:ma60:lt0.90:scale0.5,565,8545,0.399606
broad_low_amount:zz500:ma60:lt1.00:scale0.0,0,8545,cash
broad_low_amount:zz500:ma60:lt1.00:scale0.5,869,8545,0.399606
broad_low_amount:zz500:ma60:lt1.10:scale0.0,0,8545,cash
broad_low_amount:zz500:ma60:lt1.10:scale0.5,1124,8545,0.399606
broad_low_amount:zz1000:ma10:lt0.70:scale0.0,0,8545,0.399606
broad_low_amount:zz1000:ma10:lt0.70:scale0.5,35,8545,0.399606
broad_low_amount:zz1000:ma10:lt0.80:scale0.0,0,8545,0.399606
broad_low_amount:zz1000:ma10:lt0.80:scale0.5,166,8545,0.399606
broad_low_amount:zz1000:ma10:lt0.90:scale0.0,0,8545,0.399606
broad_low_amount:zz1000:ma10:lt0.90:scale0.5,544,8545,0.399606
broad_low_amount:zz1000:ma10:lt1.00:scale0.0,0,8545,0.399606
broad_low_amount:zz1000:ma10:lt1.00:scale0.5,1122,8545,0.399606
broad_low_amount:zz1000:ma10:lt1.10:scale0.0,0,8545,0.399606
broad_low_amount:zz1000:ma10:lt1.10:scale0.5,1685,8545,0.399606
broad_low_amount:zz1000:ma20:lt0.70:scale0.0,0,8545,0.399606
broad_low_amount:zz1000:ma20:lt0.70:scale0.5,35,8545,0.399606
broad_low_amount:zz1000:ma20:lt0.80:scale0.0,0,8545,0.399606
broad_low_amount:zz1000:ma20:lt0.80:scale0.5,175,8545,0.399606
broad_low_amount:zz1000:ma20:lt0.90:scale0.0,0,8545,0.399606
broad_low_amount:zz1000:ma20:lt0.90:scale0.5,451,8545,0.399606
broad_low_amount:zz1000:ma20:lt1.00:scale0.0,0,8545,0.399606
broad_low_amount:zz1000:ma20:lt1.00:scale0.5,906,8545,0.399606
broad_low_amount:zz1000:ma20:lt1.10:scale0.0,0,8545,0.399606
broad_low_amount:zz1000:ma20:lt1.10:scale0.5,1382,8545,0.399606
broad_low_amount:zz1000:ma60:lt0.70:scale0.0,0,8545,0.399606
broad_low_amount:zz1000:ma60:lt0.70:scale0.5,131,8545,0.399606
broad_low_amount:zz1000:ma60:lt0.80:scale0.0,0,8545,0.399606
broad_low_amount:zz1000:ma60:lt0.80:scale0.5,301,8545,0.399606
broad_low_amount:zz1000:ma60:lt0.90:scale0.0,0,8545,0.399606
broad_low_amount:zz1000:ma60:lt0.90:scale0.5,541,8545,0.399606
broad_low_amount:zz1000:ma60:lt1.00:scale0.0,0,8545,0.399606
broad_low_amount:zz1000:ma60:lt1.00:scale0.5,811,8545,0.399606
broad_low_amount:zz1000:ma60:lt1.10:scale0.0,0,8545,cash
broad_low_amount:zz1000:ma60:lt1.10:scale0.5,1117,8545,0.399606
broad_low_amount:zz2000:ma10:lt0.70:scale0.0,0,8545,0.399606
broad_low_amount:zz2000:ma10:lt0.70:scale0.5,11,8545,0.399606
broad_low_amount:zz2000:ma10:lt0.80:scale0.0,0,8545,0.399606
broad_low_amount:zz2000:ma10:lt0.80:scale0.5,75,8545,0.399606
broad_low_amount:zz2000:ma10:lt0.90:scale0.0,0,8545,0.399606
broad_low_amount:zz2000:ma10:lt0.90:scale0.5,306,8545,0.399606
broad_low_amount:zz2000:ma10:lt1.00:scale0.0,0,8545,0.399606
broad_low_amount:zz2000:ma10:lt1.00:scale0.5,732,8545,0.399606
broad_low_amount:zz2000:ma10:lt1.10:scale0.0,0,8545,0.399606
broad_low_amount:zz2000:ma10:lt1.10:scale0.5,1125,8545,0.399606
broad_low_amount:zz2000:ma20:lt0.70:scale0.0,0,8545,0.399606
broad_low_amount:zz2000:ma20:lt0.70:scale0.5,21,8545,0.399606
broad_low_amount:zz2000:ma20:lt0.80:scale0.0,0,8545,0.399606
broad_low_amount:zz2000:ma20:lt0.80:scale0.5,110,8545,0.399606
broad_low_amount:zz2000:ma20:lt0.90:scale0.0,0,8545,0.399606
broad_low_amount:zz2000:ma20:lt0.90:scale0.5,302,8545,0.399606
broad_low_amount:zz2000:ma20:lt1.00:scale0.0,0,8545,0.399606
broad_low_amount:zz2000:ma20:lt1.00:scale0.5,623,8545,0.399606
broad_low_amount:zz2000:ma20:lt1.10:scale0.0,0,8545,0.399606
broad_low_amount:zz2000:ma20:lt1.10:scale0.5,958,8545,0.399606
broad_low_amount:zz2000:ma60:lt0.70:scale0.0,0,8545,0.399606
broad_low_amount:zz2000:ma60:lt0.70:scale0.5,53,8545,0.399606
broad_low_amount:zz2000:ma60:lt0.80:scale0.0,0,8545,0.399606
broad_low_amount:zz2000:ma60:lt0.80:scale0.5,169,8545,0.399606
broad_low_amount:zz2000:ma60:lt0.90:scale0.0,0,8545,0.399606
broad_low_amount:zz2000:ma60:lt0.90:scale0.5,359,8545,0.399606
broad_low_amount:zz2000:ma60:lt1.00:scale0.0,0,8545,0.399606
broad_low_amount:zz2000:ma60:lt1.00:scale0.5,569,8545,0.399606
broad_low_amount:zz2000:ma60:lt1.10:scale0.0,0,8545,cash
broad_low_amount:zz2000:ma60:lt1.10:scale0.5,788,8545,0.399606
