family,mode,scale,tested,robust_cells,best_score,median_score
cross_candidates,or,0.5,27,23,0.3339950279047018,0.23011122195284828
cross_candidates,or,0.25,30,21,0.4389988024928464,0.2766143852654804
same_params,or,0.5,54,20,0.3123158674933492,0.13857712372106784
cross_candidates,or,0.0,27,12,0.4391538338936129,0.2816911517848055
same_params,and,0.5,54,10,0.16713021448676468,0.03350758748210643
cross_candidates,and,0.5,27,9,0.14276585506391776,0.07140775885542239
cross_candidates,and,0.25,30,8,0.16491022819550763,0.07554348437347563
cross_candidates,and,0.0,27,6,0.19880858103862042,0.09287144714311607
same_params,or,0.0,54,5,0.4076912578039828,0.12011360658588088
same_params,and,0.0,54,4,0.29672681140090107,0.012632488323327388
