rule,full_annual,full_vol,full_sharpe,full_max_dd,full_calmar,full_total_return,full_annual_delta,full_max_dd_delta,full_sharpe_delta,last_10y_annual,last_10y_vol,last_10y_sharpe,last_10y_max_dd,last_10y_calmar,last_10y_total_return,last_10y_annual_delta,last_10y_max_dd_delta,last_10y_sharpe_delta,last_5y_annual,last_5y_vol,last_5y_sharpe,last_5y_max_dd,last_5y_calmar,last_5y_total_return,last_5y_annual_delta,last_5y_max_dd_delta,last_5y_sharpe_delta,last_3y_annual,last_3y_vol,last_3y_sharpe,last_3y_max_dd,last_3y_calmar,last_3y_total_return,last_3y_annual_delta,last_3y_max_dd_delta,last_3y_sharpe_delta,last_1y_annual,last_1y_vol,last_1y_sharpe,last_1y_max_dd,last_1y_calmar,last_1y_total_return,last_1y_annual_delta,last_1y_max_dd_delta,last_1y_sharpe_delta,source,family,zz_ma,zz_days,cyb_ma,cyb_days,mode,scale,trigger_days,robust_pass,combo_score
broad_consec_below:zz2000:ma20:days3:scale0.0,19.370727194029637,15.567179730875038,1.252233286110788,-32.47080884957052,0.5965581973571886,49092.40862627561,-0.5769596870430114,0.0,0.0151654097049047,25.47007043327667,17.710913677684207,1.416436445207753,-16.425546411540324,1.5506376345192274,866.0436175428695,1.5572797510602392,8.140952091392418,0.1763465002449513,35.0679666526849,17.877810479625897,1.8362609821832856,-12.959525896901267,2.70596061396582,348.701566436059,4.063303093436456,1.9398672692255268,0.2969441975257023,43.76993747257565,18.42026995807597,2.1413409332665423,-8.990421288613504,4.868507945007082,197.2433652209106,10.131136405137768,4.164124671735248,0.5630114458098814,96.96513107224776,20.62200090554795,3.512643675778289,-8.49458288099888,11.4149373113004,96.87376684811017,15.967227999292234,-0.2150930597435092,0.5153541976447791,single,,,,,,,,,,
broad_consec_below:zz2000:ma20:days3:scale0.5,19.83420238912308,15.806634373842138,1.2609770971775198,-32.47080884957052,0.6108317929808952,56239.333622069535,-0.113484491949567,0.0,0.0239092207716367,25.04035287735902,18.37712681376236,1.352309862530748,-19.934524235598477,1.2561299472922816,833.476400677471,1.1275621951425876,4.631974267334268,0.1122199175679463,33.21677526118874,18.39627576997882,1.711521854604256,-13.953960528177046,2.380455010899203,318.8198719399769,2.212111701940291,0.9454326379497502,0.1722050699466728,38.74960323979239,19.076155262260563,1.8799780506118693,-10.686400170795318,3.626067021679623,167.17302154928424,5.110802172354511,2.468145789553434,0.3016485631552086,88.84727289767716,20.87470032618783,3.2631387647462717,-8.70643200336525,10.204785710533947,88.76511203987532,7.84936982472162,-0.4269421821098795,0.2658492866127613,single,,,,,,,,,,
broad_consec_below:cyb:ma10:days3:scale0.0,18.59383337465001,15.43628911196576,1.2178861411439224,-32.47080884957052,0.5726322821458126,39040.82612810883,-1.353853506422631,0.0,-0.0191817352619607,24.7229491278008,17.619264841095937,1.3878058809887155,-18.47590810514864,1.33811821249053,810.0592820228296,0.8101584455843636,6.090590397784101,0.1477159360259141,33.40770129659951,17.737736201700162,1.7768732129924207,-12.535647167635268,2.665016081726681,321.826024857375,2.4030377373510667,2.363745998491529,0.2375564283348374,38.43518159293395,18.79991953298329,1.8923573595606324,-7.981742200022901,4.815387496832919,165.3603932631751,4.796380525496069,5.172803760325851,0.3140278721039715,78.99202592167074,20.399171085120443,3.0615417787086714,-7.259470134624024,10.881238500440752,78.92071639335508,-2.0058771512847926,1.020019686631347,0.0642523005751614,single,,,,,,,,,,
broad_consec_below:cyb:ma10:days3:scale0.5,19.471700681853,15.761462448590494,1.2443442944194611,-32.47080884957052,0.5996678669774052,50570.19467053195,-0.4759861992196441,0.0,0.007276418013578,24.787463420750868,18.451551057133397,1.336317583995194,-19.73298849930606,1.2561434078584983,814.7756916200541,0.8746727385344357,4.833510003626682,0.0962276390323924,33.483894025243146,18.48585709772387,1.7154749037773924,-10.673963442825327,3.1369691497069785,323.0304946594485,2.4792304659947,4.225429723301467,0.1761581191198091,36.80755788898422,19.431539225774195,1.7736349544392138,-10.079130011594383,3.6518586273461273,156.10817050428372,3.168756821546338,3.075415948754369,0.1953054669825529,81.95804750459601,20.81582479196707,3.086309536302536,-7.886386560799341,10.39234469078434,81.88351029575252,0.9601444316404724,0.39310326045603,0.0890200581690261,single,,,,,,,,,,
zz2000_cyb:cross_candidates:or:zz_ma15_d3:cyb_ma10_d3:scale0.00,19.20207356927697,15.285231342316848,1.2629651268132898,-32.47080884957052,0.5913641898554354,46716.96732481847,-0.745613311795676,0.0,0.025897250407406647,26.831765373676486,17.042405972255306,1.530974785116678,-16.610771092682754,1.6153232877609278,976.1094371291538,2.918974691460054,7.955727410249988,0.2908848401538764,37.66481315765739,17.05926693877216,2.032094316691426,-10.987746970735834,3.4278922929306437,393.46866016992436,6.660149598408946,3.9116461953909614,0.49277753203384256,42.42522380168765,18.2325495188061,2.1077484238539186,-8.015220954342627,5.293082254794457,188.97871542362194,8.786422734249768,5.139325006006125,0.5294189363972577,89.11261859100567,19.883666833121644,3.4230273950095014,-6.785863353948307,13.132097412358902,89.03016062294806,8.114715518050133,1.493626467307064,0.4257379168759914,combo,cross_candidates,15.0,3.0,10.0,3.0,or,0.0,1244.0,True,0.4391538338936129
zz2000_cyb:cross_candidates:or:zz_ma15_d3:cyb_ma10_d3:scale0.25,19.661508299648233,15.436980909277118,1.2778246405941625,-32.47080884957052,0.6055133517226285,53465.69657043524,-0.2861785814244122,0.0,0.04075676418827934,26.91377350240456,17.457671326736783,1.5025401737549275,-17.449775921720732,1.5423563960442295,983.084856499209,3.0009828201881277,7.116722581212009,0.262450228792126,37.814872947010535,17.47322618602069,1.9945318108280126,-10.990082491030096,3.440817935431726,396.1606964218324,6.8102093877620895,3.9093106750967,0.4552150261704293,41.464010880800984,18.56669611833647,2.0351464967678305,-8.01059439049876,5.176146595311429,183.16593969143318,7.825209813363102,5.1439515698499925,0.45681700931116964,89.04701922450874,20.24314781638373,3.363989674922291,-6.771949201738636,13.149392674364234,88.96463473242488,8.049116151553207,1.5075406195167353,0.3667001967887811,combo,cross_candidates,15.0,3.0,10.0,3.0,or,0.25,1244.0,True,0.4389988024928464
zz2000_cyb:cross_candidates:or:zz_ma20_d3:cyb_ma10_d8:scale0.00,19.612282574944185,15.605462441053236,1.262940931166341,-32.47080884957052,0.6039973523851283,52699.686866042284,-0.33540430612845995,0.0,0.02587305476045798,26.612796738569088,17.807967836363606,1.46255353466249,-14.847454827318195,1.7924147302070623,957.68213111436,2.700006056352656,9.719043675614547,0.2224635896996885,35.47253439669142,17.858664358463923,1.8554629657064512,-12.95952589690118,2.737178402889989,355.4535091394099,4.467870837442977,1.9398672692256156,0.31614618104886794,44.7043675730568,18.408481972513723,2.1792542347987385,-8.990421288613494,4.972444131141615,203.07824392624815,11.065566505618918,4.164124671735259,0.6009247473420776,100.83422500153331,20.577283655111778,3.6180799424341807,-6.942419477005057,14.524363636556423,100.73839322578534,19.836321928577775,1.3370703442503142,0.6207904643006708,combo,cross_candidates,20.0,3.0,10.0,8.0,or,0.0,1058.0,True,0.4161185360291527
zz2000_cyb:cross_candidates:or:zz_ma20_d3:cyb_ma10_d3:scale0.00,19.03912888068504,15.349440034901138,1.2491341950600348,-32.47080884957052,0.5863459998452384,44527.9732417221,-0.9085580003876039,0.0,0.012066318654151642,25.725668249396282,17.19667992321801,1.4659707895120326,-16.812731345698662,1.530130216229137,885.8962493436728,1.81287756717985,7.75376715723408,0.22588084454923107,36.91979428475256,17.175572267649706,1.9866765894678096,-12.384049834677946,2.981237541645655,380.2756134102531,5.915130725504117,2.5153433314488503,0.4473598048102263,44.23076158513582,18.094224280342885,2.1950021487229283,-8.014555218298424,5.518804273024458,200.11144602243363,10.591960517697935,5.139990742050328,0.6166726612662674,94.0976097347082,19.92079089932109,3.5527175283602133,-6.584134882674231,14.291567747544267,94.00952309917162,13.099706661752663,1.69535493858114,0.5554280502267033,combo,cross_candidates,20.0,3.0,10.0,3.0,or,0.0,1318.0,True,0.4125407710067044
zz2000_cyb:same_params:or:zz_ma15_d3:cyb_ma15_d3:scale0.00,19.422544478162518,15.28797137927462,1.275251656549199,-32.47080884957052,0.5981540086710656,49845.46639984402,-0.5251424029101273,0.0,0.038183780143315804,26.322847931489513,16.966563289228866,1.5124515334693929,-16.537083497925266,1.591746690690167,933.7185714232429,2.4100572492730805,8.029415005007476,0.2723615885065913,34.10904182502412,16.934796219252682,1.8850611926078262,-10.987746970735834,3.1042798779284126,333.01718801462874,3.1043782657756758,3.9116461953909614,0.34574440795024297,41.7475006876435,17.972173520877192,2.108089138451376,-8.013231908799645,5.209820602071797,184.87211300397584,8.10869962020562,5.141314051549108,0.5297596509947149,93.29065522641658,20.078100729466676,3.5048801525196205,-6.54043914936916,14.26366840144284,93.20348573936835,12.292752153461038,1.7390506718862113,0.5075906743861105,combo,same_params,15.0,3.0,15.0,3.0,or,0.0,1238.0,True,0.4076912578039828
zz2000_cyb:cross_candidates:or:zz_ma20_d3:cyb_ma10_d3:scale0.25,19.49596280865591,15.472480281654263,1.2660167702659593,-32.47080884957052,0.6004150650812562,50931.65549340499,-0.4517240724167344,0.0,0.028948893860076153,25.750676102806793,17.563483904316833,1.4401934668286334,-17.605876333928762,1.4626182539509247,887.85822615884,1.8378854205903608,6.96062216900398,0.2001035218658318,36.849109620180684,17.56051498651443,1.943878240296399,-11.253325630568566,3.274508427987159,379.03870828017085,5.844446060932238,3.6460675355582293,0.40456145563881574,42.37305928353934,18.45274807419038,2.0827370080587193,-8.010184397304709,5.28989810743897,188.66123617274994,8.734258216101459,5.144361563044043,0.5044075206020584,91.96332603429332,20.32948860611011,3.428796531412475,-6.586774548042018,13.961814749167374,91.87766011575029,10.96542296133778,1.692715273213353,0.4315070532789651,combo,cross_candidates,20.0,3.0,10.0,3.0,or,0.25,1318.0,True,0.4052578205680383
