family,source,scale,tested,robust_cells,best_score,median_score,best_10y_ann,best_5y_ann,best_3y_ann,best_10y_dd,best_5y_dd,best_3y_dd
credit_mom,HYG/LQD,0.75,12,0,-0.0034544836962628472,-0.037927755587851296,-0.015068744835367909,0.0,0.0,0.0,3.375077994860476e-14,0.0
credit_mom,HYG/LQD,0.5,12,0,-0.008618238580532856,-0.07784097186048612,-0.030138851596753113,0.0,0.0,0.0,3.375077994860476e-14,0.0
credit_mom,HYG/LQD,0.25,12,0,-0.01705655199006422,-0.12965699100143502,-0.045210320763700906,0.0,0.0,0.0,3.375077994860476e-14,0.0
vix_abs,^VIX,0.75,4,0,-0.026118060295571045,-0.10147554590215671,-0.4126650656013595,0.058440000165195016,-0.08231305630459218,0.0,0.962418153929745,1.9114468436759573
credit_mom,HYG/LQD,0.0,12,0,-0.03396852127014608,-0.18186294169411224,-0.06028315281638896,0.0,0.0,6.572520305780927e-14,2.3092638912203256e-14,0.0
vix_rel,^VIX,0.75,12,0,-0.050757403787638655,-0.15542656843587355,-0.4379638505353398,-0.7548435883564899,-0.696951452850449,0.2722919560186554,1.9407843319593,2.301690718974603
vix_abs,^VIX,0.5,4,0,-0.054196863876443756,-0.21019903743120089,-0.8279745687121753,0.11248401200851887,-0.16459616007793443,0.0,0.954769541978095,1.8058555547592388
vix_abs,^VIX,0.25,4,0,-0.08425053595134971,-0.3300640752523711,-1.2458743055961286,0.16218402157992529,-0.24684931546161692,0.0,1.4203337856112395,1.5326935160367974
vix_rel,^VIX,0.5,12,0,-0.11736419739343333,-0.33711586144983013,-0.8907857388271481,-1.5244983015395768,-1.4100362735791379,0.5444922953603442,2.33455755175933,3.87941258262674
vix_abs,^VIX,0.0,4,0,-0.1235885059848872,-0.4640341726965873,-1.6663117565082217,0.20758978355908297,-0.32907252659759223,-1.3322676295501878e-13,1.5008605642773283,1.5008605642772963
credit_below_ma,HYG/LQD,0.75,16,0,-0.13756827810442743,-0.28607076291856104,-1.7346637947995198,0.08628297951527486,0.2938640946799964,0.5091620998656339,0.6963336127828281,0.6963336127827837
qqq_spy_below_ma,QQQ/SPY,0.75,12,0,-0.18204414445771766,-0.3004712371594902,-1.8448394713599612,-2.1416172579950867,-2.7821331956615154,0.6685936181053282,1.2647088700040054,2.301690718974603
vix_rel,^VIX,0.25,12,0,-0.20479298353624836,-0.5452548315947255,-1.3582057644826904,-2.3085571646023837,-2.138916930209774,0.8166004793512585,1.5326935160368311,5.08623651678467
rates_below_ma,TLT,0.75,12,0,-0.23126874503756698,-0.32787258530762275,-2.2695882729944827,-1.9998842833357031,-2.4243028139228073,1.0975153313040877,1.3601415894122457,1.6059564890851252
usd_above_ma,UUP,0.75,12,0,-0.24871729150563313,-0.366542565265462,-3.0844454402882775,-3.767776921348773,-3.6050877430138897,1.1864259183452237,2.0453525307212566,2.301690718974614
