trade_id,strategy,symbol,allocation,entry_date,exit_date,entry_price,exit_price,side,holding_days,is_open_trade,profit_pct,mfe_pct,mae_pct,profit_capture,giveback_pct,max_high,min_low,best_date,worst_date,bar_count,holding_calendar_days,had_profit_then_loss,deep_mae_profit,allocation_trade,holding_days_trade,is_open_trade_trade
1,Sub-B,SUBB_T0001,BIL:100.0%(BIL),2008-12-15,2008-12-17,1.0,0.999781406051363,long,3,False,-0.00021859394863699144,0.0004353380190065259,-0.00021859394863710246,-0.5021246458920341,0.0006539319676435174,1.0004353380190065,0.9997814060513629,2008-12-16,2008-12-15,4,2,True,False,BIL:100.0%(BIL),3,False
2,Sub-B,SUBB_T0002,BIL:44.4%(BIL); GLDM:18.1%(黄金); VGLT:37.4%(长期国债),2008-12-18,2008-12-18,1.0,0.9993459250555317,long,1,False,-0.0006540749444683414,0.0,-0.0006540749444683414,,0.0006540749444683414,1.0,0.9993459250555317,2008-12-18,2008-12-18,2,0,False,False,BIL:44.4%(BIL); GLDM:18.1%(黄金); VGLT:37.4%(长期国债),1,False
3,Sub-B,SUBB_T0003,BIL:44.4%(BIL); GLDM:18.1%(黄金); VGLT:37.4%(长期国债),2008-12-19,2008-12-23,1.0,0.9996838577837476,long,3,False,-0.0003161422162524241,0.002947645662133347,-0.0003161422162524241,-0.10725244906934216,0.003263787878385771,1.0029476456621333,0.9996838577837476,2008-12-19,2008-12-23,4,4,True,False,BIL:44.4%(BIL); GLDM:18.1%(黄金); VGLT:37.4%(长期国债),3,False
4,Sub-B,SUBB_T0004,BIL:44.4%(BIL); GLDM:17.3%(黄金); VGLT:38.2%(长期国债),2008-12-24,2008-12-24,1.0,1.0015010860759894,long,1,False,0.0015010860759894218,0.0015010860759894218,0.0,1.0,0.0,1.0015010860759894,1.0,2008-12-24,2008-12-24,2,0,False,False,BIL:44.4%(BIL); GLDM:17.3%(黄金); VGLT:38.2%(长期国债),1,False
5,Sub-B,SUBB_T0005,BIL:44.4%(BIL); GLDM:17.3%(黄金); VGLT:38.2%(长期国债),2008-12-26,2008-12-30,1.0,1.0094602348672317,long,3,False,0.009460234867231687,0.009460234867231687,0.0,1.0,0.0,1.0094602348672317,1.0,2008-12-30,2008-12-26,4,4,False,False,BIL:44.4%(BIL); GLDM:17.3%(黄金); VGLT:38.2%(长期国债),3,False
6,Sub-B,SUBB_T0006,BIL:44.4%(BIL); GLDM:19.7%(黄金); VGLT:35.9%(长期国债),2008-12-31,2008-12-31,1.0,0.9922809579077129,long,1,False,-0.007719042092287132,0.0,-0.007719042092287132,,0.007719042092287132,1.0,0.9922809579077129,2008-12-31,2008-12-31,2,0,False,False,BIL:44.4%(BIL); GLDM:19.7%(黄金); VGLT:35.9%(长期国债),1,False
7,Sub-B,SUBB_T0007,BIL:44.4%(BIL); GLDM:19.7%(黄金); VGLT:35.9%(长期国债),2009-01-02,2009-01-07,1.0,0.9723167386894861,long,4,False,-0.027683261310513907,0.0,-0.027683261310513907,,0.027683261310513907,1.0,0.9723167386894861,2009-01-02,2009-01-07,5,5,False,False,BIL:44.4%(BIL); GLDM:19.7%(黄金); VGLT:35.9%(长期国债),4,False
8,Sub-B,SUBB_T0008,BIL:55.6%(BIL); GLDM:9.9%(黄金); VGLT:34.5%(长期国债),2009-01-08,2009-01-08,1.0,1.0032939676141208,long,1,False,0.0032939676141208185,0.0032939676141208185,0.0,1.0,0.0,1.0032939676141208,1.0,2009-01-08,2009-01-08,2,0,False,False,BIL:55.6%(BIL); GLDM:9.9%(黄金); VGLT:34.5%(长期国债),1,False
9,Sub-B,SUBB_T0009,BIL:55.6%(BIL); GLDM:9.9%(黄金); VGLT:34.5%(长期国债),2009-01-09,2009-01-14,1.0,1.0040058747896201,long,4,False,0.004005874789620112,0.004005874789620112,-0.0017062549750497258,1.0,0.0,1.0040058747896201,0.9982937450249503,2009-01-14,2009-01-12,5,5,False,False,BIL:55.6%(BIL); GLDM:9.9%(黄金); VGLT:34.5%(长期国债),4,False
10,Sub-B,SUBB_T0010,BIL:55.6%(BIL); GLDM:10.1%(黄金); VGLT:34.3%(长期国债),2009-01-15,2009-01-15,1.0,1.0014326780143403,long,1,False,0.0014326780143403273,0.0014326780143403273,0.0,1.0,0.0,1.0014326780143403,1.0,2009-01-15,2009-01-15,2,0,False,False,BIL:55.6%(BIL); GLDM:10.1%(黄金); VGLT:34.3%(长期国债),1,False
11,Sub-B,SUBB_T0011,BIL:55.6%(BIL); GLDM:10.1%(黄金); VGLT:34.3%(长期国债),2009-01-16,2009-01-21,1.0,0.9880867681095676,long,3,False,-0.011913231890432363,0.0,-0.011913231890432363,,0.011913231890432363,1.0,0.9880867681095676,2009-01-16,2009-01-21,4,5,False,False,BIL:55.6%(BIL); GLDM:10.1%(黄金); VGLT:34.3%(长期国债),3,False
12,Sub-B,SUBB_T0012,BIL:55.6%(BIL); GLDM:9.7%(黄金); VGLT:34.8%(长期国债),2009-01-22,2009-01-22,1.0,0.9940384285075364,long,1,False,-0.005961571492463569,0.0,-0.005961571492463569,,0.005961571492463569,1.0,0.9940384285075364,2009-01-22,2009-01-22,2,0,False,False,BIL:55.6%(BIL); GLDM:9.7%(黄金); VGLT:34.8%(长期国债),1,False
13,Sub-B,SUBB_T0013,BIL:55.6%(BIL); GLDM:9.7%(黄金); VGLT:34.8%(长期国债),2009-01-23,2009-01-28,1.0,0.9963014946406586,long,4,False,-0.003698505359341353,0.006348589340381183,-0.003698505359341353,-0.5825712077195541,0.010047094699722536,1.0063485893403812,0.9963014946406586,2009-01-27,2009-01-28,5,5,True,False,BIL:55.6%(BIL); GLDM:9.7%(黄金); VGLT:34.8%(长期国债),4,False
14,Sub-B,SUBB_T0014,BIL:55.6%(BIL); GLDM:9.6%(黄金); VGLT:34.8%(长期国债),2009-01-29,2009-01-29,1.0,0.9942960222532307,long,1,False,-0.00570397774676934,0.0,-0.00570397774676934,,0.00570397774676934,1.0,0.9942960222532307,2009-01-29,2009-01-29,2,0,False,False,BIL:55.6%(BIL); GLDM:9.6%(黄金); VGLT:34.8%(长期国债),1,False
15,Sub-B,SUBB_T0015,BIL:55.6%(BIL); GLDM:9.6%(黄金); VGLT:34.8%(长期国债),2009-01-30,2009-02-04,1.0,0.9962370495961395,long,4,False,-0.0037629504038605432,0.005541986374928198,-0.0037629504038605432,-0.6789894722376136,0.009304936778788742,1.0055419863749282,0.9962370495961395,2009-02-02,2009-02-04,5,5,True,False,BIL:55.6%(BIL); GLDM:9.6%(黄金); VGLT:34.8%(长期国债),4,False
16,Sub-B,SUBB_T0016,BIL:55.6%(BIL); GLDM:9.7%(黄金); VGLT:34.8%(长期国债),2009-02-05,2009-02-05,1.0,1.0010797028965297,long,1,False,0.0010797028965296995,0.0010797028965296995,0.0,1.0,0.0,1.0010797028965297,1.0,2009-02-05,2009-02-05,2,0,False,False,BIL:55.6%(BIL); GLDM:9.7%(黄金); VGLT:34.8%(长期国债),1,False
17,Sub-B,SUBB_T0017,BIL:55.6%(BIL); GLDM:9.7%(黄金); VGLT:34.8%(长期国债),2009-02-06,2009-02-11,1.0,1.0141353357551288,long,4,False,0.01413533575512882,0.01413533575512882,-0.002495294564957784,1.0,0.0,1.0141353357551288,0.9975047054350422,2009-02-11,2009-02-06,5,5,False,False,BIL:55.6%(BIL); GLDM:9.7%(黄金); VGLT:34.8%(长期国债),4,False
