trade_id,strategy,symbol,allocation,entry_date,exit_date,entry_price,exit_price,side,holding_days,is_open_trade,profit_pct,mfe_pct,mae_pct,profit_capture,giveback_pct,max_high,min_low,best_date,worst_date,bar_count,holding_calendar_days,had_profit_then_loss,deep_mae_profit,allocation_trade,holding_days_trade,is_open_trade_trade
1620,Sub-B,SUBB_T1620,IBIT:14.1%(比特币); EMXC:14.7%(新兴市场(除中国)); GLDM:61.7%(黄金); QQQM:29.1%(Nasdaq 100),2024-08-02,2024-08-07,1.0,0.9269380869293875,long,4,False,-0.0730619130706125,0.0,-0.0730619130706125,,0.0730619130706125,1.0,0.9269380869293875,2024-08-02,2024-08-07,5,5,False,False,IBIT:14.1%(比特币); EMXC:14.7%(新兴市场(除中国)); GLDM:61.7%(黄金); QQQM:29.1%(Nasdaq 100),4,False
1226,Sub-B,SUBB_T1226,IBIT:8.2%(比特币); GLDM:80.8%(黄金); QQQM:47.4%(Nasdaq 100); VGLT:16.1%(长期国债),2020-08-07,2020-08-12,1.0,0.9276990464018512,long,4,False,-0.07230095359814881,0.0,-0.07960764963618006,,0.07230095359814881,1.0,0.9203923503638199,2020-08-07,2020-08-11,5,5,False,False,IBIT:8.2%(比特币); GLDM:80.8%(黄金); QQQM:47.4%(Nasdaq 100); VGLT:16.1%(长期国债),4,False
1558,Sub-B,SUBB_T1558,IBIT:10.3%(比特币); VEA:15.1%(发达市场); EMXC:28.4%(新兴市场(除中国)); QQQM:80.1%(Nasdaq 100),2023-12-29,2024-01-03,1.0,0.9314880359903737,long,3,False,-0.06851196400962634,0.0,-0.06851196400962634,,0.06851196400962634,1.0,0.9314880359903737,2023-12-29,2024-01-03,4,5,False,False,IBIT:10.3%(比特币); VEA:15.1%(发达市场); EMXC:28.4%(新兴市场(除中国)); QQQM:80.1%(Nasdaq 100),3,False
1362,Sub-B,SUBB_T1362,IBIT:10.7%(比特币); PDBC:37.5%(大宗商品); QQQM:96.2%(Nasdaq 100),2021-11-26,2021-12-01,1.0,0.9394561298666142,long,4,False,-0.0605438701333858,0.0,-0.0605438701333858,,0.0605438701333858,1.0,0.9394561298666142,2021-11-26,2021-12-01,5,5,False,False,IBIT:10.7%(比特币); PDBC:37.5%(大宗商品); QQQM:96.2%(Nasdaq 100),4,False
1679,Sub-B,SUBB_T1679,IBIT:18.3%(比特币); GLDM:74.7%(黄金); QQQM:62.0%(Nasdaq 100),2025-02-21,2025-02-26,1.0,0.9409625363419322,long,4,False,-0.059037463658067835,0.0,-0.059037463658067835,,0.059037463658067835,1.0,0.9409625363419322,2025-02-21,2025-02-26,5,5,False,False,IBIT:18.3%(比特币); GLDM:74.7%(黄金); QQQM:62.0%(Nasdaq 100),4,False
91,Sub-B,SUBB_T0091,VEA:21.5%(发达市场); EMXC:19.4%(新兴市场(除中国)); GLDM:22.8%(黄金); QQQM:51.6%(Nasdaq 100); VGLT:10.8%(长期国债),2009-10-23,2009-10-28,1.0,0.9420571124793786,long,4,False,-0.05794288752062138,0.0,-0.05794288752062138,,0.05794288752062138,1.0,0.9420571124793786,2009-10-23,2009-10-28,5,5,False,False,VEA:21.5%(发达市场); EMXC:19.4%(新兴市场(除中国)); GLDM:22.8%(黄金); QQQM:51.6%(Nasdaq 100); VGLT:10.8%(长期国债),4,False
145,Sub-B,SUBB_T0145,VEA:18.8%(发达市场); EMXC:24.8%(新兴市场(除中国)); GLDM:22.4%(黄金); QQQM:77.8%(Nasdaq 100),2010-04-30,2010-05-05,1.0,0.9424870939660557,long,4,False,-0.05751290603394432,0.0,-0.05751290603394432,,0.05751290603394432,1.0,0.9424870939660557,2010-04-30,2010-05-05,5,5,False,False,VEA:18.8%(发达市场); EMXC:24.8%(新兴市场(除中国)); GLDM:22.4%(黄金); QQQM:77.8%(Nasdaq 100),4,False
203,Sub-B,SUBB_T0203,PDBC:11.5%(大宗商品); EMXC:29.7%(新兴市场(除中国)); GLDM:38.7%(黄金); QQQM:46.6%(Nasdaq 100),2010-11-12,2010-11-17,1.0,0.9447357068051458,long,4,False,-0.05526429319485415,0.0,-0.05548410909497503,,0.05526429319485415,1.0,0.944515890905025,2010-11-12,2010-11-16,5,5,False,False,PDBC:11.5%(大宗商品); EMXC:29.7%(新兴市场(除中国)); GLDM:38.7%(黄金); QQQM:46.6%(Nasdaq 100),4,False
1178,Sub-B,SUBB_T1178,IBIT:4.8%(比特币); VEA:13.2%(发达市场); EMXC:9.2%(新兴市场(除中国)); GLDM:28.5%(黄金); QQQM:62.0%(Nasdaq 100); VGLT:27.5%(长期国债),2020-02-21,2020-02-26,1.0,0.9455554667267324,long,4,False,-0.05444453327326759,0.0,-0.055084135843587845,,0.05444453327326759,1.0,0.9449158641564122,2020-02-21,2020-02-25,5,5,False,False,IBIT:4.8%(比特币); VEA:13.2%(发达市场); EMXC:9.2%(新兴市场(除中国)); GLDM:28.5%(黄金); QQQM:62.0%(Nasdaq 100); VGLT:27.5%(长期国债),4,False
1034,Sub-B,SUBB_T1034,BIL:0.4%(BIL); IBIT:11.7%(比特币); PDBC:38.2%(大宗商品); QQQM:76.1%(Nasdaq 100),2018-10-05,2018-10-10,1.0,0.9488488278990533,long,4,False,-0.05115117210094666,0.0,-0.05115117210094666,,0.05115117210094666,1.0,0.9488488278990533,2018-10-05,2018-10-10,5,5,False,False,BIL:0.4%(BIL); IBIT:11.7%(比特币); PDBC:38.2%(大宗商品); QQQM:76.1%(Nasdaq 100),4,False
