trade_id,strategy,symbol,allocation,entry_date,exit_date,entry_price,exit_price,side,holding_days,is_open_trade
1,Sub-B,SUBB_T0001,BIL:100.0%(BIL),2008-12-15,2008-12-17,1.0,0.999781406051363,long,3,False
2,Sub-B,SUBB_T0002,BIL:44.4%(BIL); GLDM:18.1%(黄金); VGLT:37.4%(长期国债),2008-12-18,2008-12-18,1.0,0.9993459250555317,long,1,False
3,Sub-B,SUBB_T0003,BIL:44.4%(BIL); GLDM:18.1%(黄金); VGLT:37.4%(长期国债),2008-12-19,2008-12-23,1.0,0.9996838577837476,long,3,False
4,Sub-B,SUBB_T0004,BIL:44.4%(BIL); GLDM:17.3%(黄金); VGLT:38.2%(长期国债),2008-12-24,2008-12-24,1.0,1.0015010860759894,long,1,False
5,Sub-B,SUBB_T0005,BIL:44.4%(BIL); GLDM:17.3%(黄金); VGLT:38.2%(长期国债),2008-12-26,2008-12-30,1.0,1.0094602348672317,long,3,False
6,Sub-B,SUBB_T0006,BIL:44.4%(BIL); GLDM:19.7%(黄金); VGLT:35.9%(长期国债),2008-12-31,2008-12-31,1.0,0.9922809579077129,long,1,False
7,Sub-B,SUBB_T0007,BIL:44.4%(BIL); GLDM:19.7%(黄金); VGLT:35.9%(长期国债),2009-01-02,2009-01-07,1.0,0.9723167386894861,long,4,False
8,Sub-B,SUBB_T0008,BIL:55.6%(BIL); GLDM:9.9%(黄金); VGLT:34.5%(长期国债),2009-01-08,2009-01-08,1.0,1.0032939676141208,long,1,False
9,Sub-B,SUBB_T0009,BIL:55.6%(BIL); GLDM:9.9%(黄金); VGLT:34.5%(长期国债),2009-01-09,2009-01-14,1.0,1.0040058747896201,long,4,False
10,Sub-B,SUBB_T0010,BIL:55.6%(BIL); GLDM:10.1%(黄金); VGLT:34.3%(长期国债),2009-01-15,2009-01-15,1.0,1.0014326780143403,long,1,False
11,Sub-B,SUBB_T0011,BIL:55.6%(BIL); GLDM:10.1%(黄金); VGLT:34.3%(长期国债),2009-01-16,2009-01-21,1.0,0.9880867681095676,long,3,False
12,Sub-B,SUBB_T0012,BIL:55.6%(BIL); GLDM:9.7%(黄金); VGLT:34.8%(长期国债),2009-01-22,2009-01-22,1.0,0.9940384285075364,long,1,False
13,Sub-B,SUBB_T0013,BIL:55.6%(BIL); GLDM:9.7%(黄金); VGLT:34.8%(长期国债),2009-01-23,2009-01-28,1.0,0.9963014946406586,long,4,False
14,Sub-B,SUBB_T0014,BIL:55.6%(BIL); GLDM:9.6%(黄金); VGLT:34.8%(长期国债),2009-01-29,2009-01-29,1.0,0.9942960222532307,long,1,False
15,Sub-B,SUBB_T0015,BIL:55.6%(BIL); GLDM:9.6%(黄金); VGLT:34.8%(长期国债),2009-01-30,2009-02-04,1.0,0.9962370495961395,long,4,False
16,Sub-B,SUBB_T0016,BIL:55.6%(BIL); GLDM:9.7%(黄金); VGLT:34.8%(长期国债),2009-02-05,2009-02-05,1.0,1.0010797028965297,long,1,False
17,Sub-B,SUBB_T0017,BIL:55.6%(BIL); GLDM:9.7%(黄金); VGLT:34.8%(长期国债),2009-02-06,2009-02-11,1.0,1.0141353357551288,long,4,False
18,Sub-B,SUBB_T0018,BIL:1.6%(BIL); GLDM:63.4%(黄金); VGLT:35.0%(长期国债),2009-02-12,2009-02-12,1.0,0.9976506501998645,long,1,False
19,Sub-B,SUBB_T0019,BIL:1.6%(BIL); GLDM:63.4%(黄金); VGLT:35.0%(长期国债),2009-02-13,2009-02-18,1.0,1.0271168306669183,long,3,False
20,Sub-B,SUBB_T0020,BIL:0.6%(BIL); GLDM:65.5%(黄金); VGLT:33.9%(长期国债),2009-02-19,2009-02-19,1.0,0.9865964914009796,long,1,False
21,Sub-B,SUBB_T0021,BIL:0.6%(BIL); GLDM:65.5%(黄金); VGLT:33.9%(长期国债),2009-02-20,2009-02-25,1.0,0.9837968077285887,long,4,False
22,Sub-B,SUBB_T0022,BIL:28.8%(BIL); GLDM:36.3%(黄金); VGLT:34.8%(长期国债),2009-02-26,2009-02-26,1.0,0.9957999420740109,long,1,False
23,Sub-B,SUBB_T0023,BIL:28.8%(BIL); GLDM:36.3%(黄金); VGLT:34.8%(长期国债),2009-02-27,2009-03-04,1.0,0.9875461019356561,long,4,False
24,Sub-B,SUBB_T0024,BIL:27.8%(BIL); GLDM:36.9%(黄金); VGLT:35.3%(长期国债),2009-03-05,2009-03-05,1.0,1.021994091663342,long,1,False
25,Sub-B,SUBB_T0025,BIL:27.8%(BIL); GLDM:36.9%(黄金); VGLT:35.3%(长期国债),2009-03-06,2009-03-11,1.0,0.9814875730400974,long,4,False
26,Sub-B,SUBB_T0026,BIL:32.7%(BIL); GLDM:31.6%(黄金); VGLT:35.7%(长期国债),2009-03-12,2009-03-12,1.0,1.0093383353957273,long,1,False
