combo,segment,label,cagr,vol,sharpe,maxdd,calmar,final_nav,monthly_win_rate
120+240+360,last_10y,最近10年,0.2696042185336567,0.1439710194982109,1.7336810943803989,-0.1381974962830399,1.950861815770417,10.863605758643388,0.7107438016528925
120+240+360,last_5y,最近5年,0.3055309178330179,0.156807410545159,1.7846932606287293,-0.13302264521172746,2.2968338762675713,3.7918971975979314,0.7049180327868853
120+240+360,full_common,全样本公共区间,0.19628106434928672,0.14244904705955644,1.3321518560430001,-0.13819749628303957,1.4202939244810002,22.418211566525407,0.6698564593301436
120+240+390,last_10y,最近10年,0.2755756586946301,0.1441948762851946,1.763832247218074,-0.15729481297909564,1.7519691430082558,11.385148828015266,0.7107438016528925
120+240+390,last_5y,最近5年,0.3236562471544948,0.15680836810503512,1.8729787942584821,-0.10743427032932296,3.0125978066624106,4.062493862565021,0.7213114754098361
120+240+390,full_common,全样本公共区间,0.1974205362453687,0.142317386242244,1.3399555267343017,-0.15729481297909564,1.2550988332438255,22.79164994643822,0.6602870813397129
120+240+420,last_10y,最近10年,0.266382708914076,0.14517651979011073,1.7029146794500116,-0.15704559240993932,1.696212576400946,10.591261763094812,0.7024793388429752
120+240+420,last_5y,最近5年,0.3163893516449028,0.1589464944851394,1.8150832768394676,-0.10696055026467033,2.958000411011423,3.952210693214426,0.7213114754098361
120+240+420,full_common,全样本公共区间,0.19949715415167013,0.14230157120659753,1.3519856676478832,-0.15704559240993943,1.2703136146025575,22.966821741682985,0.6586538461538461
120+260+360,last_10y,最近10年,0.2658245313956351,0.1431661944324724,1.7217411081585732,-0.14955230728289148,1.7774686076411004,10.5447034620114,0.6776859504132231
120+260+360,last_5y,最近5年,0.30150433386182396,0.1549295559404329,1.7844196162752388,-0.12887783961133892,2.3394583178231443,3.733788891070749,0.6557377049180327
120+260+360,full_common,全样本公共区间,0.1956586163502867,0.14198767978431617,1.3323445898713864,-0.1495523072828916,1.3082955382305195,22.216659985533017,0.6507177033492823
120+260+390,last_10y,最近10年,0.27106146846274237,0.14344131962040166,1.74756528717062,-0.16249971963976884,1.6680734530720078,10.988857812783188,0.6776859504132231
120+260+390,last_5y,最近5年,0.31808589040933666,0.1550135901895731,1.865546894386241,-0.10894534239496745,2.919683241309728,3.9777406038135967,0.6721311475409836
120+260+390,full_common,全样本公共区间,0.1960483647615412,0.14182894407307214,1.3359779859552623,-0.16249971963976861,1.2064535569423973,22.342661512478756,0.645933014354067
120+260+420,last_10y,最近10年,0.262332196845912,0.14426905830677733,1.6904517316260066,-0.16223244900558087,1.6170143424074654,10.257560757806548,0.6776859504132231
120+260+420,last_5y,最近5年,0.3126828322732518,0.156615975260477,1.8216691667235667,-0.10741143482151472,2.9110758346430803,3.896890038455395,0.6721311475409836
120+260+420,full_common,全样本公共区间,0.1982737164703079,0.14168829072519049,1.3500060440867288,-0.16223244900558043,1.2221581914447197,22.566545057416953,0.6442307692307693
120+280+360,last_10y,最近10年,0.2676694818849725,0.1442166546123922,1.720336842556014,-0.14654372723891973,1.8265502517796182,10.699298738947126,0.7107438016528925
120+280+360,last_5y,最近5年,0.29995610133465966,0.15658806760577526,1.7594934293559623,-0.13142642353160228,2.282311983195171,3.711636643065842,0.7049180327868853
120+280+360,full_common,全样本公共区间,0.20115492748146502,0.1429760107205815,1.356249160892145,-0.14654372723891962,1.3726614661131777,24.0570285599805,0.6746411483253588
120+280+390,last_10y,最近10年,0.2730434839562266,0.14460310386612915,1.7454444269795233,-0.17105114077441486,1.5962681261291378,11.16129971078781,0.7024793388429752
120+280+390,last_5y,最近5年,0.31749780226653446,0.15666451959669225,1.8445967217896124,-0.10814951630829173,2.935730210401248,3.968876022081633,0.7049180327868853
120+280+390,full_common,全样本公共区间,0.20061680534362192,0.14288237767256773,1.3538939028678922,-0.1710511407744143,1.1728469300780602,23.87069300013301,0.6698564593301436
120+280+420,last_10y,最近10年,0.2639443148487297,0.14543638114974497,1.6868121922558554,-0.17068026945137726,1.5464254638051245,10.389224195386857,0.7107438016528925
120+280+420,last_5y,最近5年,0.311493403354959,0.15839021654736485,1.797230483752962,-0.10628832640397301,2.930645480022494,3.879269446706651,0.7213114754098361
120+280+420,full_common,全样本公共区间,0.20223133923189374,0.14269626322154427,1.3646089320875465,-0.17068026945137715,1.1848548158608616,23.885680576726806,0.6682692307692307
130+240+360,last_10y,最近10年,0.28055834849061023,0.14271970498771377,1.8079696052131757,-0.13945660659122783,2.011796754190189,11.837462322232716,0.71900826446281
130+240+360,last_5y,最近5年,0.3165735281240787,0.1547306025621408,1.8612269865383546,-0.11256507013021222,2.812360244238066,3.954975863918971,0.7213114754098361
130+240+360,full_common,全样本公共区间,0.20040781669180951,0.14178431013500267,1.3620851179162425,-0.13945660659122816,1.4370621915334572,23.798693855384606,0.6746411483253588
130+240+390,last_10y,最近10年,0.2863203221104984,0.1430743337219316,1.8352970909268893,-0.16456103405618272,1.7399035181849059,12.38063315860604,0.7272727272727273
130+240+390,last_5y,最近5年,0.33489931925322614,0.15469795556706797,1.9513107280936377,-0.0908059171557295,3.6880781533089255,4.23795843676888,0.7213114754098361
130+240+390,full_common,全样本公共区间,0.20127486006712858,0.14173106206002048,1.3676469836288476,-0.16456103405618228,1.2231015757862336,24.098743992358358,0.6698564593301436
130+240+420,last_10y,最近10年,0.27685016082045144,0.14451801173386333,1.7671007957164662,-0.1649081948316632,1.6788138461103015,11.499338729538044,0.71900826446281
130+240+420,last_5y,最近5年,0.3273157138239433,0.1574700212945825,1.8833087170623053,-0.10197440293141213,3.2097830868801016,4.118954631991715,0.7377049180327869
130+240+420,full_common,全样本公共区间,0.2030264090371734,0.1419697119576282,1.3755503363816033,-0.16490819483166264,1.2311480896654143,24.159304793189083,0.6682692307692307
130+260+360,last_10y,最近10年,0.2761103126582829,0.1416905700337955,1.7954454421712633,-0.14257544702741654,1.9365908956623386,11.432926676541287,0.6776859504132231
130+260+360,last_5y,最近5年,0.3116875072629657,0.15233403977396434,1.8635920374172894,-0.11330337756347753,2.7509109963499956,3.882140605381489,0.6557377049180327
130+260+360,full_common,全样本公共区间,0.19930682434496894,0.1412199344620569,1.3604479594100962,-0.14257544702741665,1.3979042570116795,23.4227552942484,0.6411483253588517
130+260+390,last_10y,最近10年,0.2814278881648402,0.14207756582459194,1.8202758917701365,-0.1696731440622582,1.6586472168015924,11.918033125540276,0.6859504132231405
130+260+390,last_5y,最近5年,0.329037186988703,0.15233771135420465,1.950153496836065,-0.0928704711084859,3.5429688582535652,4.145730891517228,0.6557377049180327
130+260+390,full_common,全样本公共区间,0.1995494061228411,0.14112461295522813,1.3627019220232122,-0.16967314406225853,1.176081266282306,23.5051020028774,0.6411483253588517
130+260+420,last_10y,最近10年,0.2725636780834133,0.14337862207603988,1.7564799792474097,-0.17003426651205877,1.6029926418630633,11.119333106660012,0.6859504132231405
130+260+420,last_5y,最近5年,0.323389247966579,0.15467515683851604,1.8952886440363588,-0.10134875442661995,3.1908556725354145,4.058398778540794,0.6721311475409836
130+260+420,full_common,全样本公共区间,0.2013985476886313,0.14124856724629736,1.372240211147081,-0.17003426651205866,1.1844585907297005,23.60220612758823,0.6394230769230769
130+280+360,last_10y,最近10年,0.27770563428777684,0.14351982860890827,1.7830929543299587,-0.14910828526949071,1.8624426790628423,11.57656247423292,0.71900826446281
130+280+360,last_5y,最近5年,0.31021804207210946,0.15536982906245356,1.8229304994310123,-0.11415371523541584,2.7175466118851754,3.860446695658155,0.7213114754098361
130+280+360,full_common,全样本公共区间,0.2044758608557049,0.14259038985704708,1.3789576441831173,-0.1491082852694906,1.3713246080601478,25.237649411580076,0.6794258373205742
130+280+390,last_10y,最近10年,0.28323662438876784,0.14398188200776596,1.8079007339658926,-0.17813634312902105,1.589999095151653,12.087212082040129,0.71900826446281
130+280+390,last_5y,最近5年,0.32828235485679946,0.1553120165507757,1.9120527034275616,-0.09256205369610604,3.546619178681964,4.133972939915122,0.7049180327868853
130+280+390,full_common,全样本公共区间,0.20381511751375236,0.142544570130035,1.3754890637621757,-0.1781363431290207,1.1441523606787696,24.99848377512345,0.6794258373205742
130+280+420,last_10y,最近10年,0.27368373436823545,0.1451908227768355,1.7424252337820036,-0.17838529661161717,1.534228098205332,11.217521722719667,0.71900826446281
130+280+420,last_5y,最近5年,0.3210481652596948,0.15764198764129447,1.8512693597224545,-0.10177439022654633,3.1545083644819933,4.022633785300745,0.7213114754098361
130+280+420,full_common,全样本公共区间,0.20498776670633334,0.1425708486443895,1.381790143278081,-0.17838529661161728,1.1491292757868676,24.846988457430136,0.6730769230769231
140+240+360,last_10y,最近10年,0.2706586889123277,0.14372024798861902,1.7422402270833783,-0.15002717554067335,1.8040644165759845,10.954109212881955,0.71900826446281
140+240+360,last_5y,最近5年,0.29290701941958686,0.15621933705342242,1.728399605977793,-0.14123450451250896,2.0739055263485167,3.6121028097719514,0.7377049180327869
140+240+360,full_common,全样本公共区间,0.19492480925774425,0.14242789638785053,1.3243466761089646,-0.15002717554067324,1.2992633404932628,21.9812431145088,0.6746411483253588
140+240+390,last_10y,最近10年,0.27642005260675573,0.14372226201186422,1.7737564345277068,-0.1723740300885206,1.6036061375649426,11.46068818792394,0.7107438016528925
140+240+390,last_5y,最近5年,0.31076781063823833,0.15589355080087505,1.8200327078509944,-0.12244123309765431,2.5380976879772366,3.8685516175953625,0.7213114754098361
140+240+390,full_common,全样本公共区间,0.19635267847203575,0.14217377325460223,1.334869799247205,-0.17237403008852037,1.1391082425305104,22.44151076632042,0.6698564593301436
140+240+420,last_10y,最近10年,0.2668543240217165,0.1447375346955864,1.7102170625316848,-0.17371403482100078,1.5361702023483006,10.630743881809606,0.7024793388429752
140+240+420,last_5y,最近5年,0.30317237926054097,0.15802121646838876,1.7606981344702652,-0.10963706003358209,2.765236309398287,3.7577736619160103,0.7213114754098361
140+240+420,full_common,全样本公共区间,0.1979266752136446,0.1421446854153803,1.3440881707572565,-0.17371403482100078,1.1393821772523625,22.454204312111816,0.6634615384615384
140+260+360,last_10y,最近10年,0.2682957708335929,0.1423686719182543,1.7443262757770055,-0.15303642613708457,1.7531497409202639,10.752239680400377,0.6942148760330579
