segment,metric,winner,winner_value
full_common,cagr,formal_v71_1p05x,0.27611851616503613
full_common,sharpe,formal_v71_1p05x,1.3304603986897272
full_common,calmar,legacy_no_buffer_1p00x,1.4976937797118397
full_common,max_dd,legacy_no_buffer_1p00x,-0.18390957987807066
last_10y,cagr,formal_v71_1p05x,0.28370526399680807
last_10y,sharpe,formal_v71_1p05x,1.35410308073484
last_10y,calmar,legacy_no_buffer_1p00x,1.535987103573093
last_10y,max_dd,legacy_no_buffer_1p00x,-0.18390957987807055
last_1y,cagr,candidate_1p02x,0.4131155582954982
last_1y,sharpe,candidate_1p02x,1.644383265372266
last_1y,calmar,candidate_1p02x,3.6138662970379345
last_1y,max_dd,legacy_no_buffer_1p00x,-0.1143140128438348
last_3y,cagr,formal_v71_1p05x,0.35016103631918094
last_3y,sharpe,formal_v71_1p05x,1.4579105033960786
last_3y,calmar,formal_v71_1p05x,3.056296064271062
last_3y,max_dd,legacy_no_buffer_1p00x,-0.11431401284383491
last_5y,cagr,formal_v71_1p05x,0.2508725475858957
last_5y,sharpe,formal_v71_1p05x,1.1696806589562356
last_5y,calmar,formal_v71_1p05x,1.3520912849777653
last_5y,max_dd,legacy_no_buffer_1p00x,-0.18390957987807044
