metric,value,unit
latest_date,2026-04-17,date
latest_nav,14.055136689978024,nav
current_drawdown,-0.028249685524628476,return
days_since_peak,65,calendar_days
worst_1d_return,-0.02853735541941438,return
best_1d_return,0.03614616205853083,return
rolling_20d_vol,0.04570428576473511,annual_vol
rolling_20d_var_95,0.0028333679485132374,daily_loss
rolling_20d_cvar_95,0.0034988303059122483,daily_loss
rolling_20d_var_99,0.003365737834432446,daily_loss
rolling_20d_cvar_99,0.0034988303059122483,daily_loss
rolling_60d_vol,0.06890392878920355,annual_vol
rolling_60d_var_95,0.007949752570449452,daily_loss
rolling_60d_cvar_95,0.009379202292474131,daily_loss
rolling_60d_var_99,0.009888933752087794,daily_loss
rolling_60d_cvar_99,0.010590215163020611,daily_loss
rolling_120d_vol,0.08663984780914885,annual_vol
rolling_120d_var_95,0.007949752570449452,daily_loss
rolling_120d_cvar_95,0.011389542689974164,daily_loss
rolling_120d_var_99,0.013176877617289574,daily_loss
rolling_120d_cvar_99,0.015823007869490202,daily_loss
rolling_252d_vol,0.08598620775484571,annual_vol
rolling_252d_var_95,0.00818091532341088,daily_loss
rolling_252d_cvar_95,0.012404437309483433,daily_loss
rolling_252d_var_99,0.014750469095756415,daily_loss
rolling_252d_cvar_99,0.017333147938638677,daily_loss
full_var_95,0.006917450331277774,daily_loss
full_cvar_95,0.010891609629123134,daily_loss
full_var_99,0.01371478503261457,daily_loss
full_cvar_99,0.017697420211132586,daily_loss
