metric,value,unit
latest_date,2026-04-17,date
latest_nav,24.036762421113792,nav
current_drawdown,-0.02366618356391237,return
days_since_peak,38,calendar_days
worst_1d_return,-0.03198326686163355,return
best_1d_return,0.03213205589592505,return
rolling_20d_vol,0.044509608773439235,annual_vol
rolling_20d_var_95,0.002347438508876992,daily_loss
rolling_20d_cvar_95,0.008596674333686716,daily_loss
rolling_20d_var_99,0.007346827168724771,daily_loss
rolling_20d_cvar_99,0.008596674333686716,daily_loss
rolling_60d_vol,0.08934301668032822,annual_vol
rolling_60d_var_95,0.008669714154556526,daily_loss
rolling_60d_cvar_95,0.010665152194207125,daily_loss
rolling_60d_var_99,0.010870246380466584,daily_loss
rolling_60d_cvar_99,0.011517584778561463,daily_loss
rolling_120d_vol,0.0782481165630867,annual_vol
rolling_120d_var_95,0.006168870334525424,daily_loss
rolling_120d_cvar_95,0.009293035817240725,daily_loss
rolling_120d_var_99,0.010351444295617076,daily_loss
rolling_120d_cvar_99,0.010968992915769193,daily_loss
rolling_252d_vol,0.08608731178093373,annual_vol
rolling_252d_var_95,0.008158284441955042,daily_loss
rolling_252d_cvar_95,0.013205827865994514,daily_loss
rolling_252d_var_99,0.017788235485335,daily_loss
rolling_252d_cvar_99,0.0223964561081282,daily_loss
full_var_95,0.006466890905091398,daily_loss
full_cvar_95,0.011019870869488255,daily_loss
full_var_99,0.014101095766351894,daily_loss
full_cvar_99,0.018722897570307945,daily_loss
