candidate,label,source,window,first_weight_gt1pct,subb_annual,subb_sharpe,subb_max_dd,subb_delta_annual,subb_delta_sharpe,subb_delta_max_dd,v72_annual,v72_sharpe,v72_max_dd,v72_delta_annual,v72_delta_sharpe,v72_delta_max_dd
DBMF,CTA/managed futures ETF,US local ETF close,full_common,2019-10-03,0.2527044310496955,1.2675437652160435,-0.1440360773565367,0.0046656287998974,0.0255498561665976,0.0139369765059024,0.2892030604145807,2.3386240288357243,-0.0720543799613349,0.0021092894705683,0.0191884758522205,0.0
DBMF,CTA/managed futures ETF,US local ETF close,high_inflation_2021_2022,2019-10-03,0.1284051061330493,0.7176652509458139,-0.1064583326360361,0.0305503291537563,0.1519796302588882,0.0386632542854002,0.2719215063912739,2.0942267811637416,-0.044675142972245,0.0149935616291638,0.1273160580087864,0.0052151309064526
DBMF,CTA/managed futures ETF,US local ETF close,inflation_shock_2022,2019-10-03,0.0634789830405091,0.4805323470390396,-0.0917202878705689,0.1044785224792218,0.698238876523614,0.0534012990508672,0.2670100182188517,2.227060041383671,-0.039706001155658,0.0574027679740951,0.4891392095398286,0.0101842727230395
DBMF,CTA/managed futures ETF,US local ETF close,latest_3y,2019-10-03,0.3639742083181261,1.529987969815319,-0.123578803637064,-0.0006521477733785,0.0097509660775017,-0.0065866758164222,0.3447683984853658,2.594192058983862,-0.0599600957025033,5.692739624674204e-05,-0.009556224269609,-0.0016234283907251
DBMF,CTA/managed futures ETF,US local ETF close,latest_1y,2019-10-03,0.5545526943095125,2.041204451548188,-0.1235788036370644,0.0113529910605234,0.0368034557758649,-0.0065866758164231,0.4349681916314483,3.048698094907373,-0.0564043124045626,0.0061195853891911,-0.0051186846150734,-0.0029989568512156
VNQ,US REIT ETF,US local ETF close,full_common,2015-10-15,0.2269093354211113,1.1687418478997695,-0.1623508069088999,-0.0211294668286867,-0.0732520611496765,-0.0043777530464607,0.2780672983001468,2.296169537057415,-0.0700201100025529,-0.0090264726438655,-0.0232660159260889,0.0020342699587819
VNQ,US REIT ETF,US local ETF close,high_inflation_2021_2022,2015-10-15,0.0816692664493261,0.5090150651496846,-0.1377250427188405,-0.0161855105299668,-0.0566705555372409,0.0073965442025958,0.2544159589459769,2.012397836154397,-0.0513564612374362,-0.0025119858161331,0.0454871129994416,-0.0014661873587384
VNQ,US REIT ETF,US local ETF close,inflation_shock_2022,2015-10-15,-0.0525241769106439,-0.3416399292707888,-0.1377250427188405,-0.0115246374719312,-0.1239333997862142,0.0073965442025956,0.2143789835620018,1.8305157750170256,-0.0513564612374362,0.0047717333172452,0.0925949431731834,-0.0014661873587386
VNQ,US REIT ETF,US local ETF close,latest_3y,2015-10-15,0.3390866860346102,1.4431169723151192,-0.1169921278206412,-0.0255396700568943,-0.077120031422698,5.551115123125784e-16,0.3336432058094398,2.5876532939525787,-0.0594198884238321,-0.0110682652796791,-0.0160949893008921,-0.0010832211120539
VNQ,US REIT ETF,US local ETF close,latest_1y,2015-10-15,0.5370984889572121,1.987821623054132,-0.1169921278206415,-0.0061012142917769,-0.0165793727181908,-2.220446049250313e-16,0.4187405286817074,3.082330144225134,-0.0501094401934676,-0.0101080775605497,0.0285133647026873,0.0032959153598793
VGIT,intermediate Treasury ETF,US local ETF close,full_common,2015-10-15,0.2443622581504734,1.2274231245339746,-0.1579730538624397,-0.0036765440993247,-0.0145707845154714,-5.551115123125784e-16,0.2854612396357987,2.31497869715728,-0.071920898633404,-0.0016325313082137,-0.0044568558262239,0.0001334813279308
VGIT,intermediate Treasury ETF,US local ETF close,high_inflation_2021_2022,2015-10-15,0.097854776979293,0.5656856206869256,-0.1451215869214364,0.0,0.0,0.0,0.2585015791437675,1.9823122939233704,-0.0489882209725137,0.0015736343816574,0.0154015707684154,0.0009020529061839
VGIT,intermediate Treasury ETF,US local ETF close,inflation_shock_2022,2015-10-15,-0.0409995394387127,-0.2177065294845745,-0.1451215869214361,0.0,0.0,0.0,0.2121625246860061,1.7551100353259843,-0.0489882209725125,0.0025552744412495,0.0171892034821421,0.000902052906185
VGIT,intermediate Treasury ETF,US local ETF close,latest_3y,2015-10-15,0.3592019991943223,1.4994016997476924,-0.1169921278206412,-0.0054243568971823,-0.0208353039901247,5.551115123125784e-16,0.3422623850112127,2.5937722993986174,-0.0585114354267449,-0.0024490860779062,-0.0099759838548534,-0.0001747681149667
VGIT,intermediate Treasury ETF,US local ETF close,latest_1y,2015-10-15,0.5248535716815999,1.9433239348684568,-0.1169921278206418,-0.0183461315673891,-0.061077060903866,-5.551115123125784e-16,0.4206860549666713,3.0132257775353244,-0.05282839664797,-0.0081625512755858,-0.040591001987122,0.000576958905377
VTI,total US equity ETF,US local ETF close,full_common,2015-10-22,0.2235001495584014,1.1402162524293948,-0.1653886803946367,-0.0245386526913966,-0.1017776566200512,-0.0074156265321975,0.2766914748777769,2.284061947382125,-0.0745172862981961,-0.0104022960662355,-0.0353736056013782,-0.0024629063368611
VTI,total US equity ETF,US local ETF close,high_inflation_2021_2022,2015-10-22,0.0837963057992194,0.5082825394907577,-0.1286083759039192,-0.0140584711800735,-0.0574030811961678,0.0165132110175171,0.2594513960408855,2.0502806678486696,-0.0461328297504388,0.0025234512787755,0.0833699446937143,0.0037574441282588
VTI,total US equity ETF,US local ETF close,inflation_shock_2022,2015-10-22,-0.0487122345059436,-0.3076589076128116,-0.1286083759039188,-0.0077126950672309,-0.0899523781282371,0.0165132110175173,0.2222446246557299,1.9015670444058947,-0.0461328297504384,0.0126373744109733,0.1636462125620523,0.0037574441282591
VTI,total US equity ETF,US local ETF close,latest_3y,2015-10-22,0.331913488255239,1.4229973167304064,-0.1168477332668458,-0.0327128678362655,-0.0972396870074108,0.000144394553796,0.3308568870567956,2.583824921662179,-0.0565524698352223,-0.0138545840323234,-0.0199233615912919,0.0017841974765558
VTI,total US equity ETF,US local ETF close,latest_1y,2015-10-22,0.5170479095413087,1.9368062843999867,-0.1168477332668457,-0.0261517937076802,-0.067594711372336,0.0001443945537955,0.4109006000400281,3.055839187929918,-0.0495325394260041,-0.017948006202229,0.0020224084074715,0.0038728161273429
SPY,S&P 500 ETF,US local ETF close,full_common,2015-10-22,0.2274785126091967,1.156471516908428,-0.167953704768019,-0.0205602896406014,-0.0855223921410179,-0.0099806509055798,0.2782991723713326,2.2900701214190486,-0.0750942529444594,-0.0087945985726798,-0.0293654315644551,-0.0030398729831245
SPY,S&P 500 ETF,US local ETF close,high_inflation_2021_2022,2015-10-22,0.10055150173195,0.5926073818768597,-0.1323761722827682,0.002696724752657,0.026921761189934,0.0127454146386681,0.2671552109665618,2.103987481776177,-0.0460882572389759,0.0102272662044518,0.137076758621222,0.0038020166397217
SPY,S&P 500 ETF,US local ETF close,inflation_shock_2022,2015-10-22,-0.0443573569256601,-0.2763500970824026,-0.1323761722827683,-0.0033578174869474,-0.0586435675978281,0.0127454146386678,0.2211579586134622,1.89674057299348,-0.0460882572389756,0.0115507083687056,0.1588197411496374,0.0038020166397219
SPY,S&P 500 ETF,US local ETF close,latest_3y,2015-10-22,0.3333151961884859,1.434230229575523,-0.1168424176292677,-0.0313111599030186,-0.0860067741622943,0.0001497101913741,0.3314173986361617,2.587727679684631,-0.0574881500309767,-0.0132940724529573,-0.0160206035688399,0.0008485172808014
SPY,S&P 500 ETF,US local ETF close,latest_1y,2015-10-22,0.5165190981631418,1.936075164337484,-0.1168424176292678,-0.0266806050858472,-0.0683258314348387,0.0001497101913734,0.4120194863583748,3.049113547588575,-0.0501432720644641,-0.0168291198838823,-0.0047032319338713,0.0032620834888829
