weight_label,window,w_suba,w_adk,w_microcap,w_subb,annual,vol,sharpe,max_dd,calmar,total_return
10.0%/15.0%/15.0%/60.0%,last_1y,0.1,0.15,0.15,0.6,42.76093817915934,8.129151688800453,3.0634400053879274,-5.298436233590076,8.070482741317374,42.72615591644329
10.0%/15.0%/15.0%/60.0%,last_3y,0.1,0.15,0.15,0.6,34.390451847451246,7.945285888200658,2.6073921740852146,-5.853843325880714,5.87485006566642,142.768930887459
10.0%/15.0%/15.0%/60.0%,last_5y,0.1,0.15,0.15,0.6,28.495457900739286,7.711742579626374,2.2824252026766443,-5.853843325880714,4.867820389855092,250.2388773605852
10.0%/15.0%/15.0%/60.0%,last_10y,0.1,0.15,0.15,0.6,29.154665255032963,7.578785610166927,2.3677420239625167,-6.984444006523427,4.174228503772482,1191.0672955204236
10.0%/15.0%/15.0%/60.0%,since_2019_05_09,0.1,0.15,0.15,0.6,30.091938523381433,7.8601739689518055,2.3492684521468568,-5.853843325880714,5.1405438868410585,520.7965370089705
10.0%/15.0%/15.0%/60.0%,full_common,0.1,0.15,0.15,0.6,28.590025757054583,7.624242125997482,2.314405692627428,-7.195612762456561,3.9732579699430675,1305.5136689978028
0.0%/0.0%/100.0%/0.0%,last_1y,0.0,0.0,1.0,0.0,31.641114842184525,11.54868603204206,1.7004514645497693,-9.532879360995473,3.3191561168440504,31.616346909325888
0.0%/0.0%/100.0%/0.0%,last_3y,0.0,0.0,1.0,0.0,32.007852446922634,12.304907578143604,1.6191825552667412,-10.60637683306862,3.0177932531237603,130.08157603691993
0.0%/0.0%/100.0%/0.0%,last_5y,0.0,0.0,1.0,0.0,34.23794851363715,13.142271870246539,1.6120006539166358,-10.77628791341657,3.1771560660522637,335.80178662024605
0.0%/0.0%/100.0%/0.0%,last_10y,0.0,0.0,1.0,0.0,33.63824376234135,11.022275292319636,1.8707772360204278,-11.292247369176167,2.9788794615110743,1716.08096486321
0.0%/0.0%/100.0%/0.0%,since_2019_05_09,0.0,0.0,1.0,0.0,30.989269785993613,12.165907221002097,1.5921593205972484,-11.292247369176167,2.7442960442562865,551.1317390447726
0.0%/0.0%/100.0%/0.0%,full_common,0.0,0.0,1.0,0.0,37.68588589196244,10.901113325806792,2.0793594773754296,-11.292247369176177,3.337323799231632,2782.786275339792
