version,window,requested_years,start,end,rows,elapsed_years,annual_return,max_drawdown,total_return
V7.5,10Y,10,2016-05-05,2026-05-05,2596,9.998631074606434,0.29430034958576723,-0.10369407876093917,12.18855810622949
V7.5,8Y,8,2018-05-07,2026-05-05,2078,7.994524298425736,0.29732749056646623,-0.10369407876093906,7.012682635093238
V7.5,6Y,6,2020-05-05,2026-05-05,1559,5.9986310746064335,0.32129488704323217,-0.10369407876093895,4.319035475821212
V7.5,4Y,4,2022-05-05,2026-05-05,1039,4.0,0.2825042516620988,-0.10369407876093895,1.7054234751302753
V7.5,2Y,2,2024-05-06,2026-05-05,519,1.995893223819302,0.37872865655607657,-0.10369407876093895,0.8983871982669895
V7.6,10Y,10,2016-05-05,2026-05-05,2596,9.998631074606434,0.3132808160135381,-0.08890362187551426,14.25506210435426
V7.6,8Y,8,2018-05-07,2026-05-05,2078,7.994524298425736,0.3207286491471415,-0.08890362187551415,8.243729959754898
V7.6,6Y,6,2020-05-05,2026-05-05,1559,5.9986310746064335,0.3450623502342769,-0.08890362187551415,4.919407796021355
V7.6,4Y,4,2022-05-05,2026-05-05,1039,4.0,0.3240221380262571,-0.08890362187551426,2.0731303858732577
V7.6,2Y,2,2024-05-06,2026-05-05,519,1.995893223819302,0.4403480498029466,-0.08890362187551415,1.0714960405141647
