variant,holding,days,share
official_total_return,cash,1834,0.482124079915878
official_total_return,0.399606,700,0.18401682439537329
official_total_return,1.H00016,409,0.10751840168243953
official_total_return,1.H00852,393,0.10331230283911672
official_total_return,1.H20955,281,0.07386961093585699
official_total_return,1.H00905,121,0.031808622502628815
official_total_return,1.H11077,66,0.017350157728706624
all_price_index,cash,1292,0.47067395264116574
all_price_index,0.399006,455,0.1657559198542805
all_price_index,1.H30269,337,0.12276867030965391
all_price_index,1.000852,329,0.11985428051001822
all_price_index,1.000016,231,0.08415300546448087
all_price_index,1.000905,70,0.025500910746812388
all_price_index,1.H11077,31,0.011293260473588343
