mode,bias_n,mom_day,r2_window,window,start,end,total,cagr,valid,maxdd,dd_date,sharpe,avg_weight,avg_turnover,signal_days,cash_days,top_holds
core_1x,60,5,20,10Y,2016-05-03,2026-04-30,0.8349095785332428,0.06264144897152168,True,-0.4325256767303499,2023-10-16,0.4334629532378086,0.5479621243310004,0.4273363524083985,995,865,cash:865; 0.399606:481; NASDAQ_159941:459; GOLD_518880:356; 1.H00016:268
core_1x,60,5,20,5Y,2021-04-30,2026-04-30,0.5898085039855199,0.0971713952180433,True,-0.3637445274729133,2023-10-16,0.597859530740721,0.5660611065235343,0.4227910817506193,467,422,cash:422; NASDAQ_159941:249; 0.399606:237; GOLD_518880:188; 1.H00016:115
core_1x,60,5,20,3Y,2023-05-04,2026-04-30,1.2855023524630407,0.3184737260539301,True,-0.1822455387952483,2025-01-15,1.4965087016911143,0.581267217630854,0.4049586776859504,261,245,cash:245; NASDAQ_159941:151; 0.399606:143; GOLD_518880:133; 1.H00016:54
a_style_volscale,60,5,20,10Y,2016-05-03,2026-04-30,0.9050687769197263,0.06664011770179323,True,-0.5725005412781612,2023-10-16,0.3850442198799327,0.7798303277935957,0.6086976569933162,995,865,cash:865; 0.399606:481; NASDAQ_159941:459; GOLD_518880:356; 1.H00016:268
a_style_volscale,60,5,20,5Y,2021-04-30,2026-04-30,0.7239477486772059,0.1150935308413048,True,-0.5185239252988103,2023-10-16,0.5471133981498982,0.8079561512327396,0.6030941531590019,467,422,cash:422; NASDAQ_159941:249; 0.399606:237; GOLD_518880:188; 1.H00016:115
a_style_volscale,60,5,20,3Y,2023-05-04,2026-04-30,2.11557725791201,0.4624390990593352,True,-0.24250700606482523,2026-02-06,1.5018408043822926,0.8094630532469999,0.5594677864643435,261,245,cash:245; NASDAQ_159941:151; 0.399606:143; GOLD_518880:133; 1.H00016:54
core_1x,60,10,20,10Y,2016-05-03,2026-04-30,0.2720847746436994,0.024381272738794202,True,-0.5031976194058323,2022-11-30,0.22383744052305055,0.5660765747221078,0.25133799917661587,637,902,cash:902; 0.399606:516; NASDAQ_159941:432; GOLD_518880:342; 1.H00016:237
core_1x,60,10,20,5Y,2021-04-30,2026-04-30,0.10224856500932122,0.019663952215262848,True,-0.3983041935296545,2022-11-30,0.19849662211791175,0.55532617671346,0.24525185796862098,308,468,cash:468; 0.399606:244; NASDAQ_159941:238; GOLD_518880:176; 1.H00016:85
core_1x,60,10,20,3Y,2023-05-04,2026-04-30,0.6484567562020382,0.1819733170445892,True,-0.24226011698929406,2025-06-26,0.9143774991792063,0.5785123966942148,0.22589531680440772,171,267,cash:267; 0.399606:152; NASDAQ_159941:147; GOLD_518880:126; 1.H00016:34
a_style_volscale,60,10,20,10Y,2016-05-03,2026-04-30,0.2335880769802492,0.02123516560598504,True,-0.6436547782148297,2022-11-30,0.20955033915725377,0.8030114359598847,0.3579350268066,637,902,cash:902; 0.399606:516; NASDAQ_159941:432; GOLD_518880:342; 1.H00016:237
a_style_volscale,60,10,20,5Y,2021-04-30,2026-04-30,0.027459744324999757,0.00543334682032226,True,-0.5484371330178817,2022-11-30,0.14882063601076329,0.7877545573074233,0.35085120475319564,308,468,cash:468; 0.399606:244; NASDAQ_159941:238; GOLD_518880:176; 1.H00016:85
