mode,bias_n,mom_day,r2_window,window,start,end,total,cagr,valid,maxdd,dd_date,sharpe,avg_weight,avg_turnover,signal_days,cash_days,top_holds
core_1x,20,10,10,10Y,2016-05-03,2026-04-30,-0.6946026121435787,-0.11195060692296377,True,-0.7385095863422964,2025-08-14,-0.40939370470706654,0.6416220666941128,0.3264717990942775,779,692,cash:692; 0.399606:535; NASDAQ_159941:480; GOLD_518880:427; 1.H00016:295
core_1x,20,10,10,5Y,2021-04-30,2026-04-30,-0.4908570002377295,-0.12630484372058226,True,-0.5736968923913826,2025-08-14,-0.372206783755597,0.6255161023947151,0.3051197357555739,373,367,cash:367; 0.399606:260; NASDAQ_159941:240; GOLD_518880:229; 1.H00016:115
core_1x,20,10,10,3Y,2023-05-04,2026-04-30,-0.07289677055746391,-0.024998980387241243,True,-0.3911848639960174,2025-08-14,-0.0015289475493255114,0.6453168044077136,0.32300275482093666,229,203,cash:203; 0.399606:172; GOLD_518880:157; NASDAQ_159941:132; 1.H00016:62
a_style_volscale,20,10,10,10Y,2016-05-03,2026-04-30,-0.8092558461161323,-0.15281919559363444,True,-0.8552671789474702,2025-08-14,-0.33913726187820514,0.8910674065218392,0.45296825373864263,779,692,cash:692; 0.399606:535; NASDAQ_159941:480; GOLD_518880:427; 1.H00016:295
a_style_volscale,20,10,10,5Y,2021-04-30,2026-04-30,-0.6032924000756639,-0.16884291872099966,True,-0.7076960185076062,2025-08-14,-0.2643476259521641,0.8438563361891016,0.41305330943423224,373,367,cash:367; 0.399606:260; NASDAQ_159941:240; GOLD_518880:229; 1.H00016:115
a_style_volscale,20,10,10,3Y,2023-05-04,2026-04-30,0.06892228762002572,0.022543624175837218,True,-0.4324344036945672,2025-08-14,0.22321044909755713,0.8726746853240205,0.4406793153058559,229,203,cash:203; 0.399606:172; GOLD_518880:157; NASDAQ_159941:132; 1.H00016:62
core_1x,20,15,15,10Y,2016-05-03,2026-04-30,0.2815090847570305,0.02513839871642287,True,-0.43465221569503554,2022-12-23,0.2251970052476871,0.6226842321943187,0.22334293948126802,580,767,cash:767; 0.399606:505; NASDAQ_159941:425; GOLD_518880:422; 1.H00016:310
core_1x,20,15,15,5Y,2021-04-30,2026-04-30,-0.07887285116490994,-0.016299392661473622,True,-0.3038715611610934,2022-12-23,0.020840721265106565,0.6028075970272502,0.22295623451692817,295,409,cash:409; 0.399606:241; GOLD_518880:235; NASDAQ_159941:216; 1.H00016:110
core_1x,20,15,15,3Y,2023-05-04,2026-04-30,0.12291933176683556,0.039538279603890114,True,-0.22167034544988262,2024-12-20,0.28232808074408966,0.6287878787878788,0.2396694214876033,181,228,cash:228; GOLD_518880:160; 0.399606:157; NASDAQ_159941:119; 1.H00016:62
a_style_volscale,20,15,15,10Y,2016-05-03,2026-04-30,0.32546860857717475,0.02860512047171926,True,-0.5422394927565621,2022-12-23,0.23839867370851597,0.8756765575252996,0.31468600252820617,580,767,cash:767; 0.399606:505; NASDAQ_159941:425; GOLD_518880:422; 1.H00016:310
a_style_volscale,20,15,15,5Y,2021-04-30,2026-04-30,-0.14493398961255732,-0.030834230531386564,True,-0.4410201408315677,2022-12-23,0.02765804623460003,0.8422976217717437,0.31275113494109275,295,409,cash:409; 0.399606:241; GOLD_518880:235; NASDAQ_159941:216; 1.H00016:110
a_style_volscale,20,15,15,3Y,2023-05-04,2026-04-30,0.20623732682296336,0.0647250444700993,True,-0.28591542707807815,2024-08-29,0.35472263176041646,0.8399321475379309,0.32336922218525627,181,228,cash:228; GOLD_518880:160; 0.399606:157; NASDAQ_159941:119; 1.H00016:62
core_1x,20,20,20,10Y,2016-05-03,2026-04-30,0.47213994374192514,0.0394677478644303,True,-0.32337232445553366,2022-05-24,0.30097770221988335,0.630712227254014,0.19925895430218196,513,773,cash:773; 0.399606:492; NASDAQ_159941:441; GOLD_518880:433; 1.H00016:290
core_1x,20,20,20,5Y,2021-04-30,2026-04-30,0.23584958703693748,0.04326741156968228,True,-0.27854363399122073,2022-05-24,0.3195287780712251,0.5945499587118084,0.19405450041288191,262,424,cash:424; GOLD_518880:236; NASDAQ_159941:225; 0.399606:221; 1.H00016:105
core_1x,20,20,20,3Y,2023-05-04,2026-04-30,0.4061857226391947,0.12077135901975034,True,-0.18079175349770826,2024-02-01,0.6449847010521643,0.6225895316804407,0.19421487603305784,143,240,cash:240; GOLD_518880:160; 0.399606:150; NASDAQ_159941:124; 1.H00016:52
a_style_volscale,20,20,20,10Y,2016-05-03,2026-04-30,0.5658611953574104,0.04590925566589443,True,-0.4235564467555515,2022-05-24,0.30359991681745896,0.8898293026151319,0.28296588159566227,513,773,cash:773; 0.399606:492; NASDAQ_159941:441; GOLD_518880:433; 1.H00016:290
a_style_volscale,20,20,20,5Y,2021-04-30,2026-04-30,0.28953272924323814,0.05217868045102447,True,-0.39793443875714163,2022-05-24,0.3261274308674841,0.8340764709297117,0.2766045627216821,262,424,cash:424; GOLD_518880:236; NASDAQ_159941:225; 0.399606:221; 1.H00016:105
