date,nav,hold
2016-05-03,100000.0,CASH
2016-05-04,99900.09990009991,GOLD_518880
2016-05-05,99825.4605526755,GOLD_518880
2016-05-06,100012.0544725926,GOLD_518880
2016-05-09,99638.87553004624,GOLD_518880
2016-05-10,99153.74201500717,GOLD_518880
2016-05-11,99601.55140769013,GOLD_518880
2016-05-12,99265.69658749986,GOLD_518880
2016-05-13,100086.68492272918,GOLD_518880
2016-05-16,100571.81843776825,GOLD_518880
2016-05-17,100086.68492272918,GOLD_518880
2016-05-18,100049.36969766089,GOLD_518880
2016-05-19,98519.33870240713,GOLD_518880
2016-05-20,98444.69935498273,GOLD_518880
2016-05-23,98332.74478249003,GOLD_518880
2016-05-24,97884.92649251927,GOLD_518880
2016-05-25,96317.58027219721,GOLD_518880
2016-05-26,96594.06845552883,CASH
2016-05-27,96497.5708846442,NASDAQ_159941
2016-05-30,97194.66666963392,NASDAQ_159941
2016-05-31,97393.83350208208,NASDAQ_159941
2016-06-01,97393.83350208208,NASDAQ_159941
2016-06-02,97095.08325340983,NASDAQ_159941
2016-06-03,98389.67953574404,NASDAQ_159941
2016-06-06,97194.66666963392,NASDAQ_159941
2016-06-07,97493.41691830616,NASDAQ_159941
2016-06-08,97199.24042815185,0.399606
2016-06-13,91340.22121360883,0.399606
2016-06-14,91322.56932645373,NASDAQ_159941
2016-06-15,91417.59678866291,NASDAQ_159941
2016-06-16,90942.4538134659,NASDAQ_159941
2016-06-17,91140.10665047681,GOLD_518880
2016-06-20,91207.24799008112,GOLD_518880
2016-06-21,91039.39864281905,GOLD_518880
2016-06-22,89797.34388636994,GOLD_518880
2016-06-23,89998.75990168545,GOLD_518880
2016-06-24,94161.33087321467,GOLD_518880
2016-06-27,94933.42026292587,GOLD_518880
2016-06-28,94564.1549003483,GOLD_518880
2016-06-29,95000.55359903278,GOLD_518880
2016-06-30,94597.72957189915,GOLD_518880
2016-07-01,95940.49233600602,GOLD_518880
2016-07-04,97316.82176816635,GOLD_518880
2016-07-05,97014.70574869048,GOLD_518880
2016-07-06,98928.14188719304,GOLD_518880
2016-07-07,98558.88452811286,GOLD_518880
2016-07-08,97887.49514256204,GOLD_518880
2016-07-11,98760.29253993099,GOLD_518880
2016-07-12,97988.2031502198,GOLD_518880
2016-07-13,97081.8390847974,GOLD_518880
2016-07-14,96410.45770274395,GOLD_518880
2016-07-15,96318.33620848285,0.399606
2016-07-18,95540.87245789591,1.H00016
2016-07-19,95004.86371052686,1.H00016
2016-07-20,94643.15855957668,1.H00016
2016-07-21,94918.61258775873,NASDAQ_159941
2016-07-22,93628.46227730458,NASDAQ_159941
2016-07-25,94457.84305036621,NASDAQ_159941
2016-07-26,95010.77088948216,NASDAQ_159941
2016-07-27,94734.30696992418,NASDAQ_159941
2016-07-28,95932.30996426722,NASDAQ_159941
2016-07-29,95471.54042687468,NASDAQ_159941
2016-08-01,95932.30996426722,NASDAQ_159941
2016-08-02,96761.69073732883,NASDAQ_159941
2016-08-03,95195.07650731671,NASDAQ_159941
2016-08-04,95655.84604470924,NASDAQ_159941
2016-08-05,95379.38212515126,NASDAQ_159941
2016-08-08,96669.54342121772,NASDAQ_159941
2016-08-09,97038.1546568868,NASDAQ_159941
2016-08-10,96577.38511949428,NASDAQ_159941
2016-08-11,96577.38511949428,NASDAQ_159941
2016-08-12,97038.1546568868,NASDAQ_159941
2016-08-15,96761.69073732883,NASDAQ_159941
2016-08-16,96946.00734077569,NASDAQ_159941
2016-08-17,96577.38511949428,NASDAQ_159941
2016-08-18,96476.3974803162,1.H00016
2016-08-19,96776.18774076855,1.H00016
2016-08-22,96250.48292761006,1.H00016
2016-08-23,96458.25835564637,1.H00016
2016-08-24,96039.07967463983,1.H00016
2016-08-25,95606.37910069758,1.H00016
2016-08-26,95484.02245974289,1.H00016
2016-08-29,95266.6827659716,1.H00016
2016-08-30,95688.49986511192,1.H00016
2016-08-31,95868.5877174375,0.399606
2016-09-01,95412.31025978424,0.399606
2016-09-02,94954.34131943344,0.399606
2016-09-05,95471.93502487145,0.399606
2016-09-06,97033.43293788386,NASDAQ_159941
2016-09-07,97388.22983626409,0.399606
2016-09-08,97695.31616167446,NASDAQ_159941
2016-09-09,97511.842215724,NASDAQ_159941
2016-09-12,95126.7902722516,NASDAQ_159941
2016-09-13,95493.72722876417,NASDAQ_159941
2016-09-14,95760.67715548526,GOLD_518880
2016-09-19,95188.06804076562,GOLD_518880
2016-09-20,95261.13025105181,CASH
2016-09-21,95261.13025105181,CASH
2016-09-22,95261.13025105181,CASH
2016-09-23,95165.96428676505,NASDAQ_159941
2016-09-26,94193.97809793452,NASDAQ_159941
2016-09-27,94900.87618675845,NASDAQ_159941
2016-09-28,94900.87618675845,NASDAQ_159941
2016-09-29,94989.24239795432,NASDAQ_159941
2016-09-30,94635.78808675185,NASDAQ_159941
