date,cyb_hs300_return,hs300_cyb_return,return,nav,cost,turnover,gross_exposure
2010-06-01,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-06-02,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-06-03,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-06-04,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-06-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-06-08,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-06-09,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-06-10,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-06-11,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-06-17,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-06-18,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-06-21,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-06-22,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-06-23,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-06-24,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-06-25,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-06-28,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-06-29,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-06-30,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-07-01,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-07-02,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-07-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-07-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-07-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-07-08,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-07-09,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-07-12,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-07-13,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-07-14,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-07-15,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-07-16,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-07-19,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-07-20,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-07-21,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-07-22,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-07-23,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-07-26,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-07-27,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-07-28,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-07-29,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-07-30,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-08-02,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-08-03,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-08-04,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-08-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-08-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-08-09,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-08-10,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-08-11,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-08-12,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-08-13,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-08-16,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-08-17,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-08-18,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-08-19,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-08-20,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-08-23,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-08-24,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-08-25,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-08-26,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-08-27,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-08-30,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-08-31,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-09-01,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-09-02,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-09-03,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-09-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-09-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-09-08,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-09-09,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-09-10,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-09-13,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-09-14,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-09-15,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-09-16,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-09-17,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-09-20,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-09-21,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-09-27,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-09-28,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-09-29,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-09-30,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-10-08,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-10-11,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-10-12,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-10-13,0.0,0.0021039348269335,0.00105196741346675,1.0010519674134668,0.0,0.0,0.5
2010-10-14,0.0,0.0064754944692311,0.00323774723461555,1.0042931206526662,0.0,0.0,0.5
2010-10-15,0.0,0.0476810167495103,0.02384050837475515,1.028235979206295,0.0,0.0,0.5
2010-10-18,0.0,0.0062075808275028,0.0031037904137514,1.0314274081816297,0.0,0.0,0.5
2010-10-19,0.0,-0.0005,-0.00025,1.0311695513295844,0.0,0.0,0.0
2010-10-20,0.0,0.0,0.0,1.0311695513295844,0.0,0.0,0.0
2010-10-21,0.0,0.0,0.0,1.0311695513295844,0.0,0.0,0.0
2010-10-22,0.0,0.0,0.0,1.0311695513295844,0.0,0.0,0.0
2010-10-25,0.0,0.0,0.0,1.0311695513295844,0.0,0.0,0.0
2010-10-26,0.0,-0.0018797153744981,-0.00093985768724905,1.0302003986999102,0.0,0.0,0.5
2010-10-27,0.0,-0.0127897899027706,-0.0063948949513853,1.023612375371349,0.0,0.0,0.5
2010-10-28,0.0,-0.0005,-0.00025,1.0233564722775064,0.0,0.0,0.0
2010-10-29,0.0,0.0,0.0,1.0233564722775064,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0,1.0233564722775064,0.0,0.0,0.0
2010-11-02,0.0,0.0,0.0,1.0233564722775064,0.0,0.0,0.0
2010-11-03,0.0,0.0149371834738446,0.0074685917369223,1.0309995039702842,0.0,0.0,0.375
2010-11-04,0.0,0.0010204748539261,0.00051023742696305,1.03152555850439,0.0,0.0,0.5
2010-11-05,0.0,-0.0005,-0.00025,1.031267677114764,0.0,0.0,0.0
2010-11-08,0.0,0.0,0.0,1.031267677114764,0.0,0.0,0.0
2010-11-09,0.0142949470818773,0.0,0.00714747354093865,1.038638635550567,0.0,0.0,0.5
2010-11-10,0.0305105263559457,0.0,0.01525526317797285,1.0544833412827015,0.0,0.0,0.5
2010-11-11,-0.0108323160783877,0.0,-0.00541615803919385,1.0487720928566173,0.0,0.0,0.5
2010-11-12,0.0187473089937399,0.0,0.00937365449686995,1.0586029201010143,0.0,0.0,0.5
2010-11-15,0.053878258855142,0.0,0.026939129427571,1.08712076117802,0.0,0.0,0.5
2010-11-16,0.0254953301495581,0.0,0.01274766507477905,1.1009790125373564,0.0,0.0,0.5
2010-11-17,-0.0043433725207454,0.0,-0.0021716862603727,1.0985880315428704,0.0,0.0,0.125
2010-11-18,0.0015244710458306,0.0,0.0007622355229153,1.099425414365562,0.0,0.0,0.5
2010-11-19,0.035474065311662,0.0,0.017737032655831,1.1189259588428144,0.0,0.0,0.5
2010-11-22,0.0048984423469303,0.0,0.00244922117346515,1.121666455992752,0.0,0.0,0.125
2010-11-23,0.0070711270997058,0.0,0.0035355635498529,1.1256321790296526,0.0,0.0,0.125
2010-11-24,-0.0003437404829516,0.0,-0.0001718702414758,1.12543871635523,0.0,0.0,0.125
2010-11-25,-0.0081062430402539,0.0,-0.00405312152012695,1.1208771764743866,0.0,0.0,0.125
2010-11-26,0.0042944975031066,0.0,0.0021472487515533,1.1232839785922157,0.0,0.0,0.125
2010-11-29,0.0054196506994869,0.0,0.00270982534974345,1.1263278819923657,0.0,0.0,0.125
2010-11-30,-0.003815182252724,0.0,-0.001907591126362,1.124179308919303,0.0,0.0,0.125
2010-12-01,-0.000125,0.0,-6.25e-05,1.1241090477124958,0.0,0.0,0.0
2010-12-02,-0.0014929160330781,0.0,-0.00074645801653905,1.1232699475023666,0.0,0.0,0.125
2010-12-03,-0.0182352493812813,0.0,-0.00911762469064065,1.1130283936947645,0.0,0.0,0.5
2010-12-06,-0.0005,0.0,-0.00025,1.1127501365963408,0.0,0.0,0.0
2010-12-07,0.0124481757116123,0.0,0.00622408785580615,1.1196759912080767,0.0,0.0,0.5
2010-12-08,0.0077096620140009,0.0,0.00385483100700045,1.1239921529367793,0.0,0.0,0.5
2010-12-09,0.0017843539341551,0.0,0.00089217696707755,1.1249949528468055,0.0,0.0,0.5
2010-12-10,0.0070091212131946,0.0,0.0035045606065973,1.1289375658411733,0.0,0.0,0.5
2010-12-13,0.0049087536319141,0.0,0.00245437681595705,1.131708404029437,0.0,0.0,0.5
2010-12-14,0.0050555320090499,0.0,0.00252776600452495,1.1345690980601777,0.0,0.0,0.5
2010-12-15,0.0011731437420705,0.0,0.00058657187103525,1.1352346043788455,0.0,0.0,0.5
2010-12-16,0.016227241538433,0.0,0.0081136207692165,1.144445467442867,0.0,0.0,0.5
2010-12-17,0.0016381623803095,0.0,0.00081908119015475,1.1453828611984074,0.0,0.0,0.125
2010-12-20,-0.0005510452516644,0.0,-0.0002755226258322,1.1450672823049068,0.0,0.0,0.125
2010-12-21,-0.0049093671294347,0.0,-0.00245468356471735,1.1422565044665374,0.0,0.0,0.125
2010-12-22,-0.000125,0.0,-6.25e-05,1.1421851134350083,0.0,0.0,0.0
2010-12-23,0.0,0.0,0.0,1.1421851134350083,0.0,0.0,0.0
2010-12-24,-0.0196946807239655,0.0,-0.00984734036198275,1.1309376278666239,0.0,0.0,0.5
2010-12-27,-0.0005,0.0,-0.00025,1.1306548934596572,0.0,0.0,0.0
2010-12-28,0.0,0.0,0.0,1.1306548934596572,0.0,0.0,0.0
2010-12-29,0.0,0.0,0.0,1.1306548934596572,0.0,0.0,0.0
2010-12-30,0.0,0.0,0.0,1.1306548934596572,0.0,0.0,0.0
2010-12-31,0.0,0.0,0.0,1.1306548934596572,0.0,0.0,0.0
2011-01-04,0.0,0.0,0.0,1.1306548934596572,0.0,0.0,0.0
2011-01-05,0.0,0.0,0.0,1.1306548934596572,0.0,0.0,0.0
2011-01-06,0.0,0.0,0.0,1.1306548934596572,0.0,0.0,0.0
2011-01-07,0.0,0.0,0.0,1.1306548934596572,0.0,0.0,0.0
2011-01-10,0.0,0.0,0.0,1.1306548934596572,0.0,0.0,0.0
2011-01-11,0.0,0.0,0.0,1.1306548934596572,0.0,0.0,0.0
2011-01-12,0.0,0.0,0.0,1.1306548934596572,0.0,0.0,0.0
2011-01-13,0.0,-0.0046579059930968,-0.0023289529965484,1.1280216513574721,0.0,0.0,0.5
2011-01-14,0.0,0.0063590821125999,0.00317954105629995,1.1316082425103586,0.0,0.0,0.375
2011-01-17,0.0,-0.0014012769309704,-0.0007006384654852,1.1308153942477959,0.0,0.0,0.5
2011-01-18,0.0,0.0034951575218884,0.0017475787609442,1.1327915832133322,0.0,0.0,0.5
2011-01-19,0.0,-0.0005,-0.00025,1.1325083853175288,0.0,0.0,0.0
2011-01-20,0.0,0.0,0.0,1.1325083853175288,0.0,0.0,0.0
2011-01-21,0.0,0.0,0.0,1.1325083853175288,0.0,0.0,0.0
2011-01-24,0.0,0.0,0.0,1.1325083853175288,0.0,0.0,0.0
2011-01-25,0.0,0.0,0.0,1.1325083853175288,0.0,0.0,0.0
2011-01-26,0.0,0.0,0.0,1.1325083853175288,0.0,0.0,0.0
2011-01-27,0.0,0.0,0.0,1.1325083853175288,0.0,0.0,0.0
2011-01-28,0.0,0.0,0.0,1.1325083853175288,0.0,0.0,0.0
2011-01-31,0.0,0.0,0.0,1.1325083853175288,0.0,0.0,0.0
2011-02-01,0.0,0.0,0.0,1.1325083853175288,0.0,0.0,0.0
2011-02-09,0.0,0.0,0.0,1.1325083853175288,0.0,0.0,0.0
2011-02-10,0.0,0.0,0.0,1.1325083853175288,0.0,0.0,0.0
2011-02-11,0.0,0.0,0.0,1.1325083853175288,0.0,0.0,0.0
2011-02-14,0.0,0.0,0.0,1.1325083853175288,0.0,0.0,0.0
2011-02-15,0.0,0.0,0.0,1.1325083853175288,0.0,0.0,0.0
2011-02-16,0.0,0.0,0.0,1.1325083853175288,0.0,0.0,0.0
2011-02-17,0.0,0.0,0.0,1.1325083853175288,0.0,0.0,0.0
2011-02-18,0.0,0.0,0.0,1.1325083853175288,0.0,0.0,0.0
2011-02-21,0.0,0.0,0.0,1.1325083853175288,0.0,0.0,0.0
2011-02-22,0.0,0.0,0.0,1.1325083853175288,0.0,0.0,0.0
2011-02-23,0.0,0.0,0.0,1.1325083853175288,0.0,0.0,0.0
2011-02-24,0.0,0.0,0.0,1.1325083853175288,0.0,0.0,0.0
2011-02-25,0.0,0.0,0.0,1.1325083853175288,0.0,0.0,0.0
2011-02-28,0.0,0.0,0.0,1.1325083853175288,0.0,0.0,0.0
2011-03-01,0.0,0.0,0.0,1.1325083853175288,0.0,0.0,0.0
2011-03-02,-0.0052478220347463,0.0,-0.00262391101737315,1.1295367840880268,0.0,0.0,0.5
2011-03-03,-0.0160354593207806,0.0,-0.0080177296603903,1.1204804635117425,0.0,0.0,0.5
2011-03-04,-0.0005,0.0,-0.00025,1.1202003433958645,0.0,0.0,0.0
2011-03-07,0.0,0.0,0.0,1.1202003433958645,0.0,0.0,0.0
2011-03-08,0.0,0.0,0.0,1.1202003433958645,0.0,0.0,0.0
2011-03-09,0.0,0.0,0.0,1.1202003433958645,0.0,0.0,0.0
2011-03-10,0.0,0.0,0.0,1.1202003433958645,0.0,0.0,0.0
2011-03-11,0.0,0.0,0.0,1.1202003433958645,0.0,0.0,0.0
2011-03-14,0.0,0.0,0.0,1.1202003433958645,0.0,0.0,0.0
2011-03-15,0.0015828987632979,0.0,0.00079144938164895,1.1210869252649682,0.0,0.0,0.125
2011-03-16,-0.0074520015752218,0.0066274424970004,-0.00041227953911069986,1.120624724064117,0.0,0.0,1.0
2011-03-17,-0.0005,0.0060330397847343,0.00276651989236715,1.123724954655119,0.0,0.0,0.5
2011-03-18,0.0,0.000962218928566,0.000481109464283,1.1242655893660545,0.0,0.0,0.5
2011-03-21,0.0,0.0094399892355594,0.0047199946177797,1.1295721168968171,0.0,0.0,0.5
2011-03-22,0.0,0.0080647608795267,0.00403238043976335,1.134126981406294,0.0,0.0,0.5
2011-03-23,0.0,0.0042902540987177,0.00214512704935885,1.1365598278715163,0.0,0.0,0.5
2011-03-24,0.0,-0.0054711798117218,-0.0027355899058609,1.133450666278984,0.0,0.0,0.5
2011-03-25,0.0,0.0185970541527318,0.0092985270763659,1.143990087989104,0.0,0.0,0.5
2011-03-28,0.0,0.0180173918665851,0.00900869593329255,1.1542959468424985,0.0,0.0,0.5
2011-03-29,0.0,0.022228935355179,0.0111144676775895,1.1671253318340518,0.0,0.0,0.5
2011-03-30,0.0,0.0120036103591583,0.00600180517957915,1.1741301906958714,0.0,0.0,0.5
2011-03-31,0.0,-0.0119658489651996,-0.0059829244825998,1.1671054584321974,0.0,0.0,0.5
2011-04-01,0.0,0.0085569306642012,0.0042784653321006,1.1720988786750048,0.0,0.0,0.5
2011-04-06,0.0,0.0328947718355425,0.01644738591777125,1.1913768412663595,0.0,0.0,0.5
2011-04-07,0.0,-0.0061146280470465,-0.00305731402352325,1.187734428142255,0.0,0.0,0.5
2011-04-08,0.0,-0.0058741705298753,-0.00293708526493765,1.1842459508546994,0.0,0.0,0.5
2011-04-11,0.0,0.0102518869732548,0.0051259434866274,1.1903163286730478,0.0,0.0,0.5
2011-04-12,0.0,0.0006365522075175,0.00031827610375875,1.1906951779163784,0.0,0.0,0.5
2011-04-13,0.0,-0.0068332030100884,-0.0034166015050442,1.1866270469794604,0.0,0.0,0.5
2011-04-14,0.0,-0.0014364850141848,-0.0007182425070924,1.1857747609942542,0.0,0.0,0.5
2011-04-15,0.0,0.008108578291377,0.0040542891456885,1.1905822347369845,0.0,0.0,0.5
2011-04-18,0.0,0.0069259844047202,0.0034629922023601,1.1947052117321473,0.0,0.0,0.5
2011-04-19,0.0,-0.0100997609312335,-0.00504988046561675,1.1886720932212507,0.0,0.0,0.5
2011-04-20,0.0,-0.0137845335377222,-0.0068922667688611,1.1804794480540692,0.0,0.0,0.5
2011-04-21,0.0,0.0041860385454699,0.00209301927273495,1.1829502142899138,0.0,0.0,0.5
2011-04-22,0.0,-0.0005,-0.00025,1.1826544767363414,0.0,0.0,0.0
2011-04-25,0.0,0.0,0.0,1.1826544767363414,0.0,0.0,0.0
2011-04-26,0.0,0.0,0.0,1.1826544767363414,0.0,0.0,0.0
2011-04-27,0.0,0.0,0.0,1.1826544767363414,0.0,0.0,0.0
2011-04-28,0.0,0.0,0.0,1.1826544767363414,0.0,0.0,0.0
2011-04-29,0.0,0.0,0.0,1.1826544767363414,0.0,0.0,0.0
2011-05-03,0.0,0.0,0.0,1.1826544767363414,0.0,0.0,0.0
2011-05-04,0.0,0.0,0.0,1.1826544767363414,0.0,0.0,0.0
2011-05-05,0.0,0.0,0.0,1.1826544767363414,0.0,0.0,0.0
2011-05-06,0.0,0.0,0.0,1.1826544767363414,0.0,0.0,0.0
2011-05-09,0.0,0.0,0.0,1.1826544767363414,0.0,0.0,0.0
2011-05-10,0.0,0.007607712960129,0.0038038564800645,1.187153124631352,0.0,0.0,0.5
2011-05-11,0.0,-0.001237387928979,-0.0006186939644895,1.1864186401582177,0.0,0.0,0.5
2011-05-12,0.0,0.0086235929310447,0.00431179646552235,1.1915342358574819,0.0,0.0,0.5
2011-05-13,0.0,0.0079654013006031,0.00398270065030155,1.196279760033488,0.0,0.0,0.5
2011-05-16,0.0,-0.0050741657704328,-0.0025370828852164,1.1932446991283763,0.0,0.0,0.5
2011-05-17,0.0,0.0175814409382362,0.0087907204691181,1.2037341797296706,0.0,0.0,0.5
2011-05-18,0.0,0.0124193685590856,0.0062096842795428,1.2112089889422861,0.0,0.0,0.5
2011-05-19,0.0,0.0006628548187559,0.00033142740937795,1.2116104167997066,0.0,0.0,0.5
2011-05-20,0.0,0.0111160999877215,0.00555804999386075,1.2183446080693618,0.0,0.0,0.5
2011-05-23,0.0,0.0081767647446264,0.0040883823723132,1.2233256666883956,0.0,0.0,0.5
2011-05-24,0.0,-0.0334568774081265,-0.01672843870406325,1.2028613382580915,0.0,0.0,0.5
2011-05-25,0.0,0.0216808103599062,0.0108404051799531,1.2159008425401099,0.0,0.0,0.5
2011-05-26,0.0,0.0096993854994891,0.00484969274974455,1.221797588040585,0.0,0.0,0.5
2011-05-27,0.0,0.0045833888708457,0.00229169443542285,1.2245975747743105,0.0,0.0,0.5
2011-05-30,0.0,-0.0165601696660855,-0.00828008483304275,1.2144578029688409,0.0,0.0,0.5
2011-05-31,0.0,0.0015211107364934,0.0007605553682467,1.2153814653703978,0.0,0.0,0.5
2011-06-01,0.0,-0.0048323287489246,-0.0024161643744623,1.212444903972388,0.0,0.0,0.5
2011-06-02,0.0,0.0044338487840613,0.00221692439203065,1.2151328026539976,0.0,0.0,0.5
2011-06-03,0.0,-0.0060929227167161,-0.00304646135835805,1.2114309475254388,0.0,0.0,0.5
2011-06-07,0.0,0.0058036711774065,0.00290183558870325,1.2149463209622244,0.0,0.0,0.5
2011-06-08,0.0,0.0046980170217383,0.00234900851086915,1.2178002402104138,0.0,0.0,0.5
2011-06-09,0.0,0.0012320384683679,0.00061601923418395,1.2185504285817772,0.0,0.0,0.5
2011-06-10,0.0,0.008255887996204,0.004127943998102,1.2235805365098258,0.0,0.0,0.5
2011-06-13,0.0,-0.0103112753868104,-0.0051556376934052,1.2172721985748787,0.0,0.0,0.5
2011-06-14,0.0,-0.0005,-0.00025,1.216967880525235,0.0,0.0,0.0
