date,sz50,zz1000,spread_close,score,base_gross_exposure,base_nav,base_target_vol_scale,base_realized_vol,base_nav_defense_gate,base_decay_gate,return,gross_return,cost,turnover,gross_exposure,nav,nav_defense_gate,decay_gate,overheat_gate,overheat_indicator,overheat_scale
2014-10-17,1608.516,6058.668,1.0,,0.0,1.0,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,1.0
2014-10-20,1612.402,6154.52,0.9868040211137953,,0.0,1.0,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,1.0
2014-10-21,1600.844,6103.008,0.987999768952643,,0.0,1.0,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,1.0
2014-10-22,1597.125,6027.51,0.9980510086877028,,0.0,1.0,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,1.0
2014-10-23,1586.557,5930.483,1.0076678069452734,,0.0,1.0,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,1.0
2014-10-24,1583.419,5941.926,1.0037380381751195,,0.0,1.0,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,1.0
2014-10-27,1559.906,6006.838,0.9781473410795694,,0.0,1.0,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,1.0
2014-10-28,1585.744,6163.672,0.969048083179491,,0.0,1.0,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,1.0
2014-10-29,1608.402,6246.699,0.9698304024826524,,0.0,1.0,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,1.0
2014-10-30,1619.096,6241.588,0.977078082705073,,0.0,1.0,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,1.0
2014-10-31,1657.286,6208.61,1.0054369723901122,,0.0,1.0,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,1.0
2014-11-03,1651.052,6275.993,0.9909005529719356,,0.0,1.0,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,1.0
2014-11-04,1645.624,6231.816,0.9946442132753085,,0.0,1.0,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,1.0
2014-11-05,1637.625,6227.245,0.9905360286742468,,0.0,1.0,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,1.0
2014-11-06,1635.964,6289.192,0.9797847126649919,,0.0,1.0,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,1.0
2014-11-07,1640.323,6228.167,0.9920210668311639,,0.0,1.0,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,1.0
2014-11-10,1689.024,6246.612,1.0184578482122169,,0.0,1.0,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,1.0
2014-11-11,1710.882,6023.004,1.0699381552484504,,0.0,1.0,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,1.0
2014-11-12,1731.021,6120.058,1.065365351485916,,0.0,1.0,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,1.0
2014-11-13,1726.337,6023.782,1.0794638477562422,,0.0,1.0,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,1.0
2014-11-14,1728.805,6009.446,1.0835858934588167,,0.0,1.0,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,1.0
2014-11-17,1708.096,6100.833,1.054568775513486,,0.0,1.0,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.2617808973278414,1.0
