target_vol,year,return
1x_no_stop,2020,0.5742059192527234
1x_no_stop,2021,0.2149395644132781
1x_no_stop,2022,0.7488888939795371
1x_no_stop,2023,0.33488305876820323
1x_no_stop,2024,0.7799157253260447
1x_no_stop,2025,0.6168364687329557
1x_no_stop,2026,0.05909290120225896
15%,2020,0.260241468142427
15%,2021,0.1098077035271634
15%,2022,0.43448511623736685
15%,2023,0.22557248164755173
15%,2024,0.4471448775593372
15%,2025,0.3274058121098369
15%,2026,0.040175833313556675
17%,2020,0.29676195195632094
17%,2021,0.12349913377815813
17%,2022,0.5023597137366989
17%,2023,0.2567794236852734
17%,2024,0.5143775344468133
17%,2025,0.37628828316952245
17%,2026,0.04486548562358239
19%,2020,0.33362127882139503
19%,2021,0.13692202604460535
19%,2022,0.5727620430604998
19%,2023,0.2881859696636764
19%,2024,0.5833675723382477
19%,2025,0.42643416030909775
19%,2026,0.049389610607663004
21%,2020,0.37078657873435095
21%,2021,0.15006232373492834
21%,2022,0.6457512191688946
21%,2023,0.3190504949304487
21%,2024,0.6540946798553378
21%,2025,0.47785111777887357
21%,2026,0.053745660243286864
23%,2020,0.4082232620551265
23%,2021,0.16285086715046138
23%,2022,0.7213860284355278
23%,2023,0.347548320158519
23%,2024,0.7214235749579643
23%,2025,0.5305456298076714
23%,2026,0.05793114971076019
25%,2020,0.4458950301058884
25%,2021,0.18354863202063498
25%,2022,0.799724827757585
25%,2023,0.36872676172074925
25%,2024,0.7766153105432796
25%,2025,0.5845229142872261
25%,2026,0.061943659293332676
