scenario,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,trades,stop_exits,stop_day_return_sum,stop_day_count
stop_zero_article,10Y,2016-05-09,2026-05-08,2427,130.50237249248104,0.6596361340583257,-0.12971058495149335,2.400734121492537,0.22114368250313474,105,293,44,-1.7149656728858305,44
stop_zero_article,article_2020,2020-01-02,2026-05-08,1535,56.35159953140233,0.9440137488393134,-0.12584842625796033,2.767010468932829,0.25164582555164744,69,211,34,-1.421853997418836,34
stop_zero_article,5Y,2021-05-10,2026-05-08,1211,19.669150331892947,0.8780569348562164,-0.12584842625796022,2.6063978683815963,0.25402509691445196,55,143,21,-0.8177696578608928,21
stop_zero_article,3Y,2023-05-08,2026-05-08,727,7.590856242154148,1.1074876698390987,-0.1258484262579601,2.764135796679571,0.2840322658375652,41,96,14,-0.6087020041827185,14
stop_close_exec,10Y,2016-05-09,2026-05-08,2427,21.631014567163827,0.38248835195361397,-0.25973663329395336,1.459482535782485,0.2417562707929898,105,293,44,-1.7149656728858305,44
stop_close_exec,article_2020,2020-01-02,2026-05-08,1535,12.302405704001247,0.5293782991302316,-0.2597366332939536,1.670346358322298,0.27711722223174673,69,211,34,-1.421853997418836,34
stop_close_exec,5Y,2021-05-10,2026-05-08,1211,7.926970677745201,0.5770097591084369,-0.16739372354841686,1.808268512033637,0.27203855352714806,55,143,21,-0.8177696578608928,21
stop_close_exec,3Y,2023-05-08,2026-05-08,727,3.5893524628490896,0.6958322228822584,-0.16739372354841742,1.8734720852034352,0.30644138795066034,41,96,14,-0.6087020041827185,14
no_stop,10Y,2016-05-09,2026-05-08,2427,23.564502917173954,0.3943066765767653,-0.2872357068491933,1.442304062896429,0.2523626946407651,57,211,0,0.0,0
no_stop,article_2020,2020-01-02,2026-05-08,1535,12.608844474471288,0.5351072862685056,-0.2872357068491931,1.6229460631310257,0.28971603241990623,34,148,0,0.0,0
no_stop,5Y,2021-05-10,2026-05-08,1211,6.596793778244081,0.5249392955559817,-0.1914589933819003,1.638826219080742,0.2812246983012354,34,106,0,0.0,0
no_stop,3Y,2023-05-08,2026-05-08,727,3.0611999711289295,0.6254658790310723,-0.19145899338189998,1.6847963261593348,0.31767215997120846,28,71,0,0.0,0
