kind,year,return,target,error
log_ols_ann_r2,2020,0.3251760060559583,0.832,-0.5068239939440417
log_ols_ann_r2,2021,0.20759912767495692,0.018,0.18959912767495693
log_ols_ann_r2,2022,0.8079814957400653,0.6562,0.15178149574006528
log_ols_ann_r2,2023,0.430633073671258,0.3715,0.05913307367125803
log_ols_ann_r2,2024,0.7141612171337148,0.9425,-0.22833878286628517
log_ols_ann_r2,2025,0.6491164082327314,0.7212,-0.07208359176726853
log_ols_ann_r2,2026,0.13686426251653772,0.2329,-0.09603573748346228
log_wls_ann,2020,0.70460160165822,0.832,-0.12739839834178002
log_wls_ann,2021,0.05073942317316016,0.018,0.032739423173160156
log_wls_ann,2022,0.4729003465540307,0.6562,-0.18329965344596932
log_wls_ann,2023,0.5094065525107949,0.3715,0.13790655251079492
log_wls_ann,2024,0.9108908029836358,0.9425,-0.03160919701636422
log_wls_ann,2025,0.7802447926780551,0.7212,0.05904479267805518
log_wls_ann,2026,0.22563732125178282,0.2329,-0.007262678748217177
log_wls_ann_r2,2020,0.7929935729769351,0.832,-0.039006427023064894
log_wls_ann_r2,2021,-0.01807688465942059,0.018,-0.03607688465942059
log_wls_ann_r2,2022,0.5286043619949194,0.6562,-0.12759563800508056
log_wls_ann_r2,2023,0.6151742064146,0.3715,0.24367420641459997
log_wls_ann_r2,2024,0.8795195507225826,0.9425,-0.06298044927741742
log_wls_ann_r2,2025,0.5180402269381212,0.7212,-0.2031597730618787
log_wls_ann_r2,2026,0.4923377379873497,0.2329,0.2594377379873497
norm_wls_ann_slope,2020,0.5743932275074308,0.832,-0.25760677249256914
norm_wls_ann_slope,2021,-0.11206234033990958,0.018,-0.13006234033990957
norm_wls_ann_slope,2022,0.5010881129379616,0.6562,-0.15511188706203838
norm_wls_ann_slope,2023,0.43375628545901823,0.3715,0.062256285459018235
norm_wls_ann_slope,2024,0.8801895682410097,0.9425,-0.062310431758990314
norm_wls_ann_slope,2025,0.5685191843783273,0.7212,-0.15268081562167268
norm_wls_ann_slope,2026,0.17029832642754994,0.2329,-0.06260167357245006
norm_wls_ann_slope_r2,2020,0.8028109990077654,0.832,-0.029189000992234537
norm_wls_ann_slope_r2,2021,-0.10299394978733623,0.018,-0.12099394978733623
norm_wls_ann_slope_r2,2022,0.5336641569863458,0.6562,-0.12253584301365417
norm_wls_ann_slope_r2,2023,0.6080813141998394,0.3715,0.23658131419983935
norm_wls_ann_slope_r2,2024,0.573645636944937,0.9425,-0.36885436305506303
norm_wls_ann_slope_r2,2025,0.4826882548774827,0.7212,-0.23851174512251727
norm_wls_ann_slope_r2,2026,0.2017526508319929,0.2329,-0.0311473491680071
price_rel_wls_ann_slope,2020,0.5939888136115365,0.832,-0.2380111863884634
price_rel_wls_ann_slope,2021,-0.11206234033990958,0.018,-0.13006234033990957
price_rel_wls_ann_slope,2022,0.48517838376395916,0.6562,-0.17102161623604084
price_rel_wls_ann_slope,2023,0.4312638365933985,0.3715,0.05976383659339851
price_rel_wls_ann_slope,2024,1.1463670371720611,0.9425,0.20386703717206112
price_rel_wls_ann_slope,2025,0.6197274135882855,0.7212,-0.10147258641171442
price_rel_wls_ann_slope,2026,0.17029832642754994,0.2329,-0.06260167357245006
