signal,cost,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,trades,stop_exits,cost_sum,turnover_sum
weighted_slope,article_cost_0p015pct,10Y,2016-05-09,2026-05-08,2427,19.71370506875581,0.36983902795713086,-0.1921796475932145,1.4957693052465983,0.22761816236101973,101,326,35,0.08399999999999999,560.0
weighted_slope,article_cost_0p015pct,max_all6_etf,2019-12-05,2026-05-08,1554,15.401006306801566,0.5740047053689301,-0.19217964759321415,1.8942133521161013,0.2568333938819249,64,235,27,0.060899999999999996,406.0
weighted_slope,article_cost_0p015pct,5Y,2021-05-10,2026-05-08,1211,7.593884469283195,0.5645801547425453,-0.1921796475932146,1.8960843381882557,0.2527416942304214,52,164,15,0.04335,289.0
weighted_slope,article_cost_0p015pct,3Y,2023-05-08,2026-05-08,727,5.202991181369179,0.8825188366562942,-0.14985409551538142,2.431376531847845,0.27568860591693295,37,107,10,0.028499999999999998,190.0
weighted_slope,article_cost_0p015pct,1Y,2025-05-08,2026-05-08,243,0.6299467056639081,0.6597079671646715,-0.14985409551538165,2.150021168491512,0.250401561292184,11,44,4,0.011699999999999999,78.0
weighted_slope,our_cost_0p1pct,10Y,2016-05-09,2026-05-08,2427,11.862196091417916,0.30371387478478784,-0.20716181793316624,1.2750281430964798,0.22831243061429948,101,326,35,0.56,560.0
weighted_slope,our_cost_0p1pct,max_all6_etf,2019-12-05,2026-05-08,1554,10.610114196354676,0.48825101632515033,-0.20716181793316635,1.672968574040241,0.2573477326131342,64,235,27,0.406,406.0
weighted_slope,our_cost_0p1pct,5Y,2021-05-10,2026-05-08,1211,5.720335236341975,0.48653054272943264,-0.2071618179331668,1.6906128306484982,0.253224206762066,52,164,15,0.28900000000000003,289.0
weighted_slope,our_cost_0p1pct,3Y,2023-05-08,2026-05-08,727,4.277003300730692,0.7799226216054234,-0.15849056926970018,2.2270520305431396,0.2757836503748813,37,107,10,0.19,190.0
weighted_slope,our_cost_0p1pct,1Y,2025-05-08,2026-05-08,243,0.5252767470203612,0.5493136249992396,-0.15849056926970007,1.8747149758902393,0.25039467480918465,11,44,4,0.078,78.0
weighted_slope_r2,article_cost_0p015pct,10Y,2016-05-09,2026-05-08,2427,19.74197153556357,0.37003300423849383,-0.20956039418263306,1.496879105516216,0.22757924030002438,96,322,31,0.08399999999999999,560.0
weighted_slope_r2,article_cost_0p015pct,max_all6_etf,2019-12-05,2026-05-08,1554,17.300132126572446,0.6022205837063455,-0.19244045563596324,1.9624506759779092,0.25705111085214327,59,228,23,0.06,400.0
weighted_slope_r2,article_cost_0p015pct,5Y,2021-05-10,2026-05-08,1211,8.201930348936088,0.5869964846227904,-0.16924700890689848,1.9558134831528091,0.2523106811865927,49,159,13,0.04245,283.0
weighted_slope_r2,article_cost_0p015pct,3Y,2023-05-08,2026-05-08,727,5.252512054059635,0.8877147681207818,-0.11721732890305991,2.430849981553601,0.277124604527194,35,101,8,0.0273,182.0
weighted_slope_r2,article_cost_0p015pct,1Y,2025-05-08,2026-05-08,243,0.910537038951438,0.9568999713122188,-0.11721732890305991,2.7392384557590974,0.2574282119529574,10,43,3,0.011699999999999999,78.0
weighted_slope_r2,our_cost_0p1pct,10Y,2016-05-09,2026-05-08,2427,11.87969771995517,0.30389795696149013,-0.2740347525639957,1.2755933440517788,0.22838325018009403,96,322,31,0.56,560.0
weighted_slope_r2,our_cost_0p1pct,max_all6_etf,2019-12-05,2026-05-08,1554,12.020749148696385,0.5161835459952173,-0.21010876409437618,1.7431618542687055,0.2577905892809839,59,228,23,0.4,400.0
weighted_slope_r2,our_cost_0p1pct,5Y,2021-05-10,2026-05-08,1211,6.2326420207722455,0.5094309210211316,-0.185717679314238,1.7533792349080672,0.2529102842257132,49,159,13,0.28300000000000003,283.0
weighted_slope_r2,our_cost_0p1pct,3Y,2023-05-08,2026-05-08,727,4.355456452870568,0.7890509877472132,-0.12915554099114068,2.234792357502512,0.2774070184225293,35,101,8,0.182,182.0
weighted_slope_r2,our_cost_0p1pct,1Y,2025-05-08,2026-05-08,243,0.7878467163126937,0.8267362503646623,-0.12915554099114046,2.464989808850061,0.25815593755044336,10,43,3,0.078,78.0
