signal,cost,year,return
weighted_slope,article_cost_0p015pct,2020,0.6822457233784327
weighted_slope,article_cost_0p015pct,2021,0.042261684618392525
weighted_slope,article_cost_0p015pct,2022,0.46057809316718235
weighted_slope,article_cost_0p015pct,2023,0.49947582090299614
weighted_slope,article_cost_0p015pct,2024,0.8949044585750268
weighted_slope,article_cost_0p015pct,2025,0.7627047841462253
weighted_slope,article_cost_0p015pct,2026,0.21867010133603237
weighted_slope,our_cost_0p1pct,2020,0.5608839872066698
weighted_slope,our_cost_0p1pct,2021,-0.00454357779061787
weighted_slope,our_cost_0p1pct,2022,0.39261241022283233
weighted_slope,our_cost_0p1pct,2023,0.4443703826257357
weighted_slope,our_cost_0p1pct,2024,0.806733396756379
weighted_slope,our_cost_0p1pct,2025,0.6664353009499866
weighted_slope,our_cost_0p1pct,2026,0.17989556015975916
weighted_slope_r2,article_cost_0p015pct,2020,0.7694783528767275
weighted_slope_r2,article_cost_0p015pct,2021,-0.026291589004272753
weighted_slope_r2,article_cost_0p015pct,2022,0.5158160899839761
weighted_slope_r2,article_cost_0p015pct,2023,0.6074388620640501
weighted_slope_r2,article_cost_0p015pct,2024,0.8637955296075566
weighted_slope_r2,article_cost_0p015pct,2025,0.5017312410413635
weighted_slope_r2,article_cost_0p015pct,2026,0.48429973107093693
weighted_slope_r2,our_cost_0p1pct,2020,0.6418202036083605
weighted_slope_r2,our_cost_0p1pct,2021,-0.07159974545059256
weighted_slope_r2,our_cost_0p1pct,2022,0.44527999454631484
weighted_slope_r2,our_cost_0p1pct,2023,0.5642598610414926
weighted_slope_r2,our_cost_0p1pct,2024,0.77706676335329
weighted_slope_r2,our_cost_0p1pct,2025,0.4124843247352854
weighted_slope_r2,our_cost_0p1pct,2026,0.4395215480025696
