year,position,name,days,pct,compound_return,sum_return
2020,CASH,??,1,0.00411522633744856,0.0,0.0
2020,ETF_159915,???100ETF,61,0.25102880658436216,-0.02114479875187758,-0.005949089055102875
2020,ETF_159941,??ETF,51,0.20987654320987653,0.5355366870191776,0.4401904456017105
2020,ETF_159985,??ETF,47,0.1934156378600823,0.01057214640982762,0.017626923226818195
2020,ETF_513030,??ETF,20,0.0823045267489712,0.15581491938598968,0.14890418094338712
2020,ETF_513520,??ETF,40,0.1646090534979424,0.020378058024495438,0.023388730029302807
2020,ETF_518880,??ETF,23,0.09465020576131687,-0.02669683712765214,-0.02291619110676471
2021,CASH,??,3,0.012345679012345678,0.02100292936642023,0.0210029293664202
2021,ETF_159915,???100ETF,63,0.25925925925925924,-0.11478317440451291,-0.1144627181693916
2021,ETF_159941,??ETF,84,0.345679012345679,0.04154640382834951,0.044493693608782095
2021,ETF_159985,??ETF,33,0.13580246913580246,0.020323096174026833,0.023129021896181108
2021,ETF_513030,??ETF,32,0.13168724279835392,0.07088298733468923,0.0708104413792989
2021,ETF_513520,??ETF,23,0.09465020576131687,-0.13635592412647024,-0.1430266644221352
2021,ETF_518880,??ETF,5,0.0205761316872428,0.006018134593735125,0.0060327225381023
2022,CASH,??,6,0.024793388429752067,-0.004633453251741915,-0.004633006009202841
2022,ETF_159915,???100ETF,30,0.12396694214876033,0.06377909914605695,0.06575626084140121
2022,ETF_159941,??ETF,22,0.09090909090909091,-0.10894712618425062,-0.1123018579232664
2022,ETF_159985,??ETF,94,0.3884297520661157,0.3031797846158226,0.27818384163416654
2022,ETF_513030,??ETF,45,0.1859504132231405,0.10366674391366493,0.10244213033574649
2022,ETF_513520,??ETF,12,0.049586776859504134,0.03233363114748178,0.032809262837316194
2022,ETF_518880,??ETF,33,0.13636363636363635,-0.023842621954247134,-0.022003484535216986
2023,CASH,??,11,0.045454545454545456,-0.01392693696819236,-0.0139269369681924
2023,ETF_159915,???100ETF,13,0.05371900826446281,0.018192679675919754,0.018602331919814967
2023,ETF_159941,??ETF,44,0.18181818181818182,0.011647676403649276,0.015104441890347686
2023,ETF_159985,??ETF,69,0.28512396694214875,0.1465369305308728,0.1441431225598555
2023,ETF_513030,??ETF,43,0.17768595041322313,0.0991646538118991,0.09614746968975128
2023,ETF_513520,??ETF,20,0.08264462809917356,0.03924779340353335,0.05135940162874592
2023,ETF_518880,??ETF,42,0.17355371900826447,-0.011342472631803657,-0.009610324220049496
2024,CASH,??,9,0.0371900826446281,-0.008260721771125468,-0.0082607217711255
2024,ETF_159915,???100ETF,22,0.09090909090909091,-0.021830924575827138,-0.01817573702988715
2024,ETF_159941,??ETF,74,0.30578512396694213,0.06760125935410466,0.07512272866774956
2024,ETF_159985,??ETF,32,0.1322314049586777,0.09038207869165626,0.0894498326149007
2024,ETF_513030,??ETF,11,0.045454545454545456,-0.03609705573395494,-0.03619869207767
2024,ETF_513520,??ETF,34,0.14049586776859505,0.30653505736085895,0.2746535379615076
2024,ETF_518880,??ETF,60,0.24793388429752067,0.24621645032753614,0.240920549674681
2025,ETF_159915,???100ETF,64,0.26337448559670784,0.2438989449576905,0.22639206561467307
2025,ETF_159941,??ETF,30,0.12345679012345678,-0.0321470954847628,-0.030962277453001907
2025,ETF_159985,??ETF,32,0.13168724279835392,-0.02722408055364589,-0.02386713016987499
2025,ETF_513030,??ETF,28,0.11522633744855967,0.16335080355651366,0.15593845034833853
2025,ETF_513520,??ETF,24,0.09876543209876543,0.01254863312436072,0.017582157667204987
2025,ETF_518880,??ETF,65,0.2674897119341564,0.1095611877579008,0.1118535519050042
2026,CASH,??,7,0.09090909090909091,-0.014995673796841302,-0.0149956737968413
2026,ETF_159915,???100ETF,18,0.23376623376623376,-0.0066638045690242675,-0.005738506015470199
2026,ETF_159941,??ETF,8,0.1038961038961039,0.07816246026043716,0.0760305774838323
2026,ETF_159985,??ETF,15,0.19480519480519481,0.011387282016633415,0.015853562898607496
2026,ETF_513030,??ETF,1,0.012987012987012988,-0.05809734497271246,-0.0580973449727125
2026,ETF_513520,??ETF,14,0.18181818181818182,0.0038864586609086427,0.007408833728754196
2026,ETF_518880,??ETF,14,0.18181818181818182,0.17408826626484064,0.1648138068434597
