case,position,name,days,pct,comp,sum_ret
four,0.399606,?????,343,0.22389033942558748,0.3808571886184051,0.3738004843474836
four,1.H00016,??50,165,0.1077023498694517,0.08807371108903128,0.11013789509795957
four,CASH,??,103,0.06723237597911227,-0.08140118678393804,-0.0823669331288619
four,GOLD_518880,??ETF,444,0.2898172323759791,0.6032844155608155,0.5091347432736701
four,NASDAQ_159941,??ETF,477,0.3113577023498694,0.9059811589640763,0.689053274558445
four_soy,0.399606,?????,278,0.1814621409921671,0.2871959320260917,0.2948200034346685
four_soy,1.H00016,??50,111,0.07245430809399478,-0.03784173788184442,-0.016137263133277346
four_soy,CASH,??,53,0.034595300261096605,-0.04544742782299682,-0.04596699501095347
four_soy,ETF_159985,??ETF,367,0.239556135770235,0.5615363241731888,0.4908363635613544
four_soy,GOLD_518880,??ETF,299,0.19516971279373369,0.1692193160334905,0.18508395789175813
four_soy,NASDAQ_159941,??ETF,424,0.27676240208877284,0.7311515182634867,0.5885743340431704
six_no_soy,CASH,??,81,0.05287206266318538,-0.06464516472535253,-0.06481241493434076
six_no_soy,ETF_159915,???100ETF,352,0.2297650130548303,0.15439226258201222,0.1933654982069115
six_no_soy,ETF_159941,??ETF,361,0.23563968668407312,0.781621283696013,0.6147506735990618
six_no_soy,ETF_513030,??ETF,197,0.12859007832898173,0.5779095192860915,0.4760072198084567
six_no_soy,ETF_513520,??ETF,185,0.12075718015665797,0.1676487755504279,0.19323763782927272
six_no_soy,ETF_518880,??ETF,356,0.23237597911227154,1.0157541160097026,0.748473562842322
six_soy,CASH,??,37,0.024151436031331592,-0.021062927368225015,-0.020813409178942033
six_soy,ETF_159915,???100ETF,271,0.1768929503916449,0.13434412264424878,0.1664246081060382
six_soy,ETF_159941,??ETF,313,0.20430809399477806,0.6061060790885557,0.5076777518761546
six_soy,ETF_159985,??ETF,322,0.21018276762402088,0.6527471937572504,0.5445191746606561
six_soy,ETF_513030,??ETF,180,0.1174934725848564,0.5859191671696957,0.47994663564614093
six_soy,ETF_513520,??ETF,167,0.10900783289817233,0.2556154518760998,0.26417525943069664
six_soy,ETF_518880,??ETF,242,0.15796344647519583,0.5341405415458762,0.4690906310992159
