case,year,return
four,2020,0.23908208174078216
four,2021,0.15349191370669346
four,2022,0.07153048546273189
four,2023,0.05651100896721584
four,2024,0.2963721877117671
four,2025,0.6178618044617907
four,2026,0.2427902015754555
four_soy,2020,0.4907886299952853
four_soy,2021,-0.17610947480127337
four_soy,2022,0.14552780868276094
four_soy,2023,0.11003181273236007
four_soy,2024,0.26369384504804083
four_soy,2025,0.38731645641532286
four_soy,2026,0.36467780248731474
six_no_soy,2020,0.5870590928586206
six_no_soy,2021,0.07333240683968723
six_no_soy,2022,0.04386775569045609
six_no_soy,2023,0.17321732653278388
six_no_soy,2024,0.6910084667012604
six_no_soy,2025,0.7961895697793595
six_no_soy,2026,0.12752928855639856
six_soy,2020,0.7435865719346779
six_soy,2021,-0.10633321566174958
six_soy,2022,0.3674774604078266
six_soy,2023,0.3151768161637536
six_soy,2024,0.7723401616486778
six_soy,2025,0.5306824794136262
six_soy,2026,0.18447925302403667
