rank_by_sharpe,rule,target_vol,vol_window,max_lev,signal,window,start,end,rows,total_return,annual_return,annual_vol,sharpe,max_drawdown,max_drawdown_date,turnover,trade_count,cash_days,cash_ratio,avg_weight,max_weight
1,target_vol,0.2,40.0,1.0,orig_tv20_w40_max1p0,FULL_COMMON,2010-09-28,2026-05-08,3789,11.777292459623034,0.1772996084765972,0.1900507583765162,0.9582358167170434,-0.3893428340094356,2018-10-11,547.583439839054,1325,922,0.24333597255212458,0.6914935959533614,1.0
2,target_vol,0.1,120.0,1.0,orig_tv10_w120_max1p0,FULL_COMMON,2010-09-28,2026-05-08,3789,4.0791053306957155,0.1097321523663286,0.1165946137433044,0.9557973316273382,-0.21828395865315853,2018-10-11,328.2494328877035,2793,922,0.24333597255212458,0.41544607634429465,1.0
3,target_vol,0.1,120.0,1.5,orig_tv10_w120_max1p5,FULL_COMMON,2010-09-28,2026-05-08,3789,4.080494202381854,0.1097515914903111,0.11669288971773224,0.9552408883017591,-0.21828395865315853,2018-10-11,329.73409981386294,2846,922,0.24333597255212458,0.4162330992682634,1.1019174964042002
4,target_vol,0.1,40.0,1.0,orig_tv10_w40_max1p0,FULL_COMMON,2010-09-28,2026-05-08,3789,4.213160321209298,0.11158588196756303,0.12014876398528562,0.9451069225073955,-0.2746622810693241,2024-02-02,370.9653308073951,2749,922,0.24333597255212458,0.44077640566981036,1.0
5,target_vol,0.15,40.0,1.0,orig_tv15_w40_max1p0,FULL_COMMON,2010-09-28,2026-05-08,3789,7.798565328200276,0.14949292590094387,0.16263674907021033,0.9423960516722698,-0.3305305158549877,2018-10-11,492.68154638170415,2229,922,0.24333597255212458,0.602737466330684,1.0
6,target_vol,0.2,60.0,1.0,orig_tv20_w60_max1p0,FULL_COMMON,2010-09-28,2026-05-08,3789,11.577252250675967,0.1761099914760702,0.1940955582666463,0.9368217779592249,-0.3925474391101156,2018-10-11,543.7478185830585,1359,922,0.24333597255212458,0.6963967039011658,1.0
7,target_vol,0.25,40.0,1.0,orig_tv25_w40_max1p0,FULL_COMMON,2010-09-28,2026-05-08,3789,13.003859213713124,0.1842338331867388,0.20481763867161182,0.9320016282257664,-0.4382224005906342,2019-01-14,567.1162995056204,815,922,0.24333597255212458,0.7247083212902801,1.0
8,target_vol,0.1,60.0,1.0,orig_tv10_w60_max1p0,FULL_COMMON,2010-09-28,2026-05-08,3789,3.9961690880590917,0.10856223387488173,0.11896287872234708,0.9303166833412244,-0.25679941670370343,2024-09-23,353.60261318954514,2804,922,0.24333597255212458,0.43427092933928996,1.0
9,target_vol,0.25,60.0,1.0,orig_tv25_w60_max1p0,FULL_COMMON,2010-09-28,2026-05-08,3789,13.273906356648391,0.18568387356267846,0.20763658191628492,0.9279589862193712,-0.427539259357806,2019-01-14,565.9903377456872,783,922,0.24333597255212458,0.7291456355302453,1.0
10,target_vol,0.2,120.0,1.0,orig_tv20_w120_max1p0,FULL_COMMON,2010-09-28,2026-05-08,3789,11.553652064621108,0.1759684777952164,0.19630475520700294,0.9275951947766076,-0.3884559275511331,2019-01-14,534.3052195534829,1400,922,0.24333597255212458,0.6936051947399028,1.0
11,target_vol,0.1,60.0,1.5,orig_tv10_w60_max1p5,FULL_COMMON,2010-09-28,2026-05-08,3789,3.967332149423064,0.1081511910070947,0.11949776085703634,0.9235656311880714,-0.2713429532858068,2024-09-23,357.1348387377169,2878,922,0.24333597255212458,0.43670524496812096,1.3779977193222117
12,target_vol,0.25,20.0,1.0,orig_tv25_w20_max1p0,FULL_COMMON,2010-09-28,2026-05-08,3789,11.750701248107251,0.1771424822092753,0.19926811391959853,0.9222430263469595,-0.41345806174364963,2019-01-14,571.5817514803015,919,922,0.24333597255212458,0.7191873714077425,1.0
13,target_vol,0.25,120.0,1.0,orig_tv25_w120_max1p0,FULL_COMMON,2010-09-28,2026-05-08,3789,13.2521588756624,0.18556805343135374,0.2092615514940772,0.9217393988936384,-0.43119468425066354,2019-01-14,560.311884436825,758,922,0.24333597255212458,0.7282349142267378,1.0
14,target_vol,0.3,40.0,1.0,orig_tv30_w40_max1p0,FULL_COMMON,2010-09-28,2026-05-08,3789,13.633095092515346,0.18757328225138692,0.2128717538560882,0.917860343586965,-0.4669987301133204,2019-01-14,575.9562516602589,660,922,0.24333597255212458,0.7387325658393917,1.0
15,target_vol,0.15,60.0,1.0,orig_tv15_w60_max1p0,FULL_COMMON,2010-09-28,2026-05-08,3789,7.444835450634034,0.14647495884246875,0.16462976414061703,0.9168150052045639,-0.3276449035610878,2024-09-23,482.8418645136943,2283,922,0.24333597255212458,0.604263355717775,1.0
16,target_vol,0.3,60.0,1.0,orig_tv30_w60_max1p0,FULL_COMMON,2010-09-28,2026-05-08,3789,13.922563122513326,0.18906461996996948,0.21506596819903664,0.9164042632379639,-0.460800913948358,2019-01-14,574.8735388680294,592,922,0.24333597255212458,0.7416921507030022,1.0
17,target_vol,0.25,80.0,1.0,orig_tv25_w80_max1p0,FULL_COMMON,2010-09-28,2026-05-08,3789,12.951259843174721,0.1839483542931286,0.20902047004068502,0.9159901536086122,-0.4265470775812127,2019-01-14,565.4193304845755,793,922,0.24333597255212458,0.7301608046389211,1.0
18,target_vol,0.3,20.0,1.0,orig_tv30_w20_max1p0,FULL_COMMON,2010-09-28,2026-05-08,3789,12.735207875307859,0.18276508303740924,0.20818807609808934,0.9143123362709491,-0.4259628258757666,2019-01-14,577.786513530967,655,922,0.24333597255212458,0.7345331814282289,1.0
19,target_vol,0.15,120.0,1.0,orig_tv15_w120_max1p0,FULL_COMMON,2010-09-28,2026-05-08,3789,7.319997879843248,0.14538155481034876,0.16457342657844057,0.9109621385765736,-0.30891908221101805,2018-10-11,461.70218510841346,2468,922,0.24333597255212458,0.5892049508970005,1.0
20,target_vol,0.1,40.0,1.5,orig_tv10_w40_max1p5,FULL_COMMON,2010-09-28,2026-05-08,3789,4.096879166620196,0.10998054637715993,0.12353684727444943,0.9107447046069211,-0.29747714802254854,2024-09-23,387.2955181102024,2875,922,0.24333597255212458,0.4501074048626442,1.5
1,target_vol,0.2,60.0,1.0,orig_tv20_w60_max1p0,10Y,2016-05-09,2026-05-08,2428,2.4941355129522833,0.13332977127230183,0.1875715473020759,0.7633631068168274,-0.34045493204058086,2018-10-11,368.49365380799566,789,549,0.22611202635914332,0.7369762299652937,1.0
2,target_vol,0.25,40.0,1.0,orig_tv25_w40_max1p0,10Y,2016-05-09,2026-05-08,2428,2.56960147115693,0.13575505220346984,0.19322442798029887,0.7575822159360018,-0.35257472779499044,2019-01-14,375.4150846318805,396,549,0.22611202635914332,0.7577063098449082,1.0
3,target_vol,0.3,40.0,1.0,orig_tv30_w40_max1p0,10Y,2016-05-09,2026-05-08,2428,2.654378583712411,0.13842513719221206,0.197582399545774,0.7569265756450929,-0.35122931288509285,2019-01-14,377.6106195076129,329,549,0.22611202635914332,0.7646507193096802,1.0
4,target_vol,0.25,60.0,1.0,orig_tv25_w60_max1p0,10Y,2016-05-09,2026-05-08,2428,2.639101277662986,0.1379481195010377,0.19684852904790362,0.7569129201455708,-0.35030847303896917,2019-01-14,375.93983343133925,377,549,0.22611202635914332,0.7610013800872961,1.0
5,target_vol,0.2,40.0,1.0,orig_tv20_w40_max1p0,10Y,2016-05-09,2026-05-08,2428,2.342977059850578,0.12832672166279502,0.18202424012416143,0.75689671685669,-0.34059875931462325,2018-10-11,369.7622995893078,749,549,0.22611202635914332,0.732882157520346,1.0
6,target_vol,0.3,60.0,1.0,orig_tv30_w60_max1p0,10Y,2016-05-09,2026-05-08,2428,2.644705353826147,0.13812330977227805,0.20077675902707492,0.7465288107013204,-0.35122931288509285,2019-01-14,377.7310033259437,294,549,0.22611202635914332,0.7663037637781572,1.0
7,target_vol,0.35,40.0,1.0,orig_tv35_w40_max1p0,10Y,2016-05-09,2026-05-08,2428,2.6380576821865156,0.13791546861669968,0.20070698020374866,0.7457991625046552,-0.35122931288509285,2019-01-14,378.70019942273325,277,549,0.22611202635914332,0.7672570382020207,1.0
8,target_vol,0.25,80.0,1.0,orig_tv25_w80_max1p0,10Y,2016-05-09,2026-05-08,2428,2.5982071761475614,0.1366623190213947,0.19903939707543,0.74481925798556,-0.35122931288509307,2019-01-14,376.6978571363909,376,549,0.22611202635914332,0.7617731436742566,1.0
9,target_vol,0.2,120.0,1.0,orig_tv20_w120_max1p0,10Y,2016-05-09,2026-05-08,2428,2.4103815408374607,0.13058231274708043,0.18989921511236912,0.7430401800909527,-0.3474002671000641,2019-01-14,358.59233445571095,790,549,0.22611202635914332,0.7292514470182109,1.0
10,target_vol,0.25,120.0,1.0,orig_tv25_w120_max1p0,10Y,2016-05-09,2026-05-08,2428,2.561117511295579,0.13548471434960851,0.1993353971481689,0.738771118465081,-0.3512293128850926,2019-01-14,371.4235866492777,408,549,0.22611202635914332,0.7574846455060786,1.0
11,target_vol,0.2,80.0,1.0,orig_tv20_w80_max1p0,10Y,2016-05-09,2026-05-08,2428,2.339735411775995,0.12821721632017047,0.18904344255121103,0.7346288208413285,-0.3453590553786239,2018-10-11,368.41209843723084,764,549,0.22611202635914332,0.7366830100979378,1.0
12,target_vol,0.4,40.0,1.0,orig_tv40_w40_max1p0,10Y,2016-05-09,2026-05-08,2428,2.559496571669517,0.13543299784228058,0.2016138966918303,0.7324958157902519,-0.35122931288509285,2019-01-14,379.12702452101615,268,549,0.22611202635914332,0.7684627130688286,1.0
13,target_vol,0.35,60.0,1.0,orig_tv35_w60_max1p0,10Y,2016-05-09,2026-05-08,2428,2.5630033444043514,0.13554485569905617,0.20189479456154757,0.7322608409910957,-0.35122931288509285,2019-01-14,378.3330228820376,270,549,0.22611202635914332,0.7682330570778888,1.0
14,target_vol,0.25,20.0,1.0,orig_tv25_w20_max1p0,10Y,2016-05-09,2026-05-08,2428,2.28114435105097,0.12622129384149505,0.18675992934948146,0.7322152912548879,-0.34750164580177645,2019-01-14,376.8406688135265,446,549,0.22611202635914332,0.7523186548642671,1.0
15,target_vol,0.3,20.0,1.0,orig_tv30_w20_max1p0,10Y,2016-05-09,2026-05-08,2428,2.3883698949283634,0.12985017164584045,0.19267383728165535,0.7320610829940556,-0.35179834113013875,2019-01-14,379.2098526709586,331,549,0.22611202635914332,0.7609781270325318,1.0
16,target_vol,0.3,80.0,1.0,orig_tv30_w80_max1p0,10Y,2016-05-09,2026-05-08,2428,2.5466528965902784,0.13502246602718437,0.2014640417335301,0.7310976530725787,-0.35122931288509285,2019-01-14,378.28828532397006,281,549,0.22611202635914332,0.7673986324957732,1.0
17,target_vol,0.1,120.0,1.0,orig_tv10_w120_max1p0,10Y,2016-05-09,2026-05-08,2428,1.1128521633747135,0.0777058943560518,0.11150489900815606,0.7296539153750625,-0.21828395865315864,2018-10-11,225.0211695394961,1865,549,0.22611202635914332,0.4433181216081084,1.0
18,target_vol,0.1,120.0,1.5,orig_tv10_w120_max1p5,10Y,2016-05-09,2026-05-08,2428,1.1134299187776144,0.07773537249914098,0.11166528937085478,0.729011143093362,-0.21828395865315797,2018-10-11,226.50583646565553,1918,549,0.22611202635914332,0.444546305240282,1.1019174964042002
