rule,signal,window,target_vol,vol_window,max_lev,r2_window,r2_threshold,start,end,rows,total_return,annual_return,annual_vol,sharpe,max_drawdown,max_drawdown_date,turnover,trade_count,cash_days,cash_ratio,avg_weight,max_weight
momentum_only,01_bond_pool_momentum_only,FULL_COMMON,0.3,80,1.5,20,0.2,2010-06-01,2026-05-08,3868,13.036086358079064,0.18031671916360503,0.22112612591461528,0.8638773885507224,-0.45890154502151337,2019-01-14,709.0,406,431,0.11142709410548086,0.8885729058945191,1.0
momentum_only,01_bond_pool_momentum_only,10Y,0.3,80,1.5,20,0.2,2016-05-09,2026-05-08,2428,1.9837434031113679,0.11556698413746624,0.20465382912142144,0.6380307824441251,-0.3483247960359246,2019-01-14,461.0,263,203,0.08360790774299835,0.9163920922570017,1.0
momentum_only,01_bond_pool_momentum_only,5Y,0.3,80,1.5,20,0.2,2021-05-10,2026-05-08,1211,1.3542137217253027,0.18702786956838602,0.2233735521028256,0.8817653070184441,-0.33030475809998394,2024-09-23,208.0,121,85,0.07018992568125516,0.9298100743187449,1.0
momentum_only,01_bond_pool_momentum_only,3Y,0.3,80,1.5,20,0.2,2023-05-08,2026-05-08,727,1.0078675242873216,0.2615041017598163,0.25100232647838455,1.0542744499967067,-0.29075793445041576,2024-09-23,132.0,79,49,0.06740027510316368,0.9325997248968363,1.0
momentum_only,01_bond_pool_momentum_only,1Y,0.3,80,1.5,20,0.2,2025-05-08,2026-05-08,243,0.8126158392985148,0.813354408470502,0.20851266899610407,2.97083254235292,-0.06886410643659768,2026-04-15,30.0,19,20,0.0823045267489712,0.9176954732510288,1.0
r2_only,02_bond_pool_plus_r2,FULL_COMMON,0.3,80,1.5,20,0.2,2010-06-01,2026-05-08,3868,18.47751881357983,0.20483675035232674,0.20365635992460465,1.0212248171821874,-0.3372054101877294,2015-09-30,663.0,489,1017,0.2629265770423992,0.7370734229576008,1.0
r2_only,02_bond_pool_plus_r2,10Y,0.3,80,1.5,20,0.2,2016-05-09,2026-05-08,2428,3.061313676367943,0.15051334424000617,0.18921533627704337,0.8378787317901664,-0.2535585390932228,2018-10-11,423.0,318,590,0.24299835255354202,0.757001647446458,1.0
r2_only,02_bond_pool_plus_r2,5Y,0.3,80,1.5,20,0.2,2021-05-10,2026-05-08,1211,1.4451131327768367,0.19606722284884004,0.20650461286122646,0.9733031682587481,-0.20931332654822254,2024-02-06,194.0,147,285,0.23534269199009084,0.7646573080099092,1.0
r2_only,02_bond_pool_plus_r2,3Y,0.3,80,1.5,20,0.2,2023-05-08,2026-05-08,727,0.8576143111304795,0.22922504320091353,0.23371851588895096,1.002674370896767,-0.20388589020018666,2024-02-06,122.0,96,200,0.2751031636863824,0.7248968363136176,1.0
r2_only,02_bond_pool_plus_r2,1Y,0.3,80,1.5,20,0.2,2025-05-08,2026-05-08,243,0.7039820212562014,0.7046041674637076,0.20090746849739713,2.7659578003202916,-0.07741172173132282,2025-06-20,26.0,21,44,0.18106995884773663,0.8189300411522634,1.0
target_vol_only,03_bond_pool_plus_target_vol,FULL_COMMON,0.3,80,1.5,20,0.2,2010-06-01,2026-05-08,3868,22.399820423711475,0.21878941169851873,0.28741871867546187,0.8346567775832966,-0.5504576130678986,2019-01-14,989.8499236709386,1661,431,0.11142709410548086,1.2169395768516014,1.5
target_vol_only,03_bond_pool_plus_target_vol,10Y,0.3,80,1.5,20,0.2,2016-05-09,2026-05-08,2428,2.6527723519109885,0.13837506882110073,0.2820347182948325,0.6005024457329989,-0.4910319591392225,2024-09-23,667.964333517866,887,203,0.08360790774299835,1.2968706067014542,1.5
target_vol_only,03_bond_pool_plus_target_vol,5Y,0.3,80,1.5,20,0.2,2021-05-10,2026-05-08,1211,2.0169758668241062,0.2474773891367965,0.3035780819077524,0.8802891332044591,-0.4910319591392217,2024-09-23,301.7513321505613,408,85,0.07018992568125516,1.3078942969510197,1.5
target_vol_only,03_bond_pool_plus_target_vol,3Y,0.3,80,1.5,20,0.2,2023-05-08,2026-05-08,727,1.5477808331221512,0.3657036597601482,0.3319226691396846,1.1048948900884112,-0.4215551773759645,2024-09-23,188.6095983304782,250,49,0.06740027510316368,1.2731820635474353,1.5
target_vol_only,03_bond_pool_plus_target_vol,1Y,0.3,80,1.5,20,0.2,2025-05-08,2026-05-08,243,1.276686176679017,1.2779694679598035,0.30017284345749196,2.904906925209258,-0.10544760540193687,2026-04-15,42.34106289748755,111,20,0.0823045267489712,1.2953037481491518,1.5
r2_plus_target_vol,04_bond_pool_plus_r2_target_vol,FULL_COMMON,0.3,80,1.5,20,0.2,2010-06-01,2026-05-08,3868,39.966101052434915,0.2623858352963986,0.27208094633840196,0.9953148637787199,-0.36782638390126055,2018-10-11,931.6042219298157,1388,1017,0.2629265770423992,1.01919867948408,1.5
r2_plus_target_vol,04_bond_pool_plus_r2_target_vol,10Y,0.3,80,1.5,20,0.2,2016-05-09,2026-05-08,2428,5.263818990251229,0.20148030953286877,0.2662768863464229,0.8226561044440712,-0.3678263839012603,2018-10-11,616.7782379819719,755,590,0.24299835255354202,1.0759551304591128,1.5
r2_plus_target_vol,04_bond_pool_plus_r2_target_vol,5Y,0.3,80,1.5,20,0.2,2021-05-10,2026-05-08,1211,2.3668212307393715,0.2751876035059295,0.28785353801614805,0.9876646722968194,-0.31080450981324004,2024-02-06,281.5125418075491,335,285,0.23534269199009084,1.073361131264042,1.5
r2_plus_target_vol,04_bond_pool_plus_r2_target_vol,3Y,0.3,80,1.5,20,0.2,2023-05-08,2026-05-08,727,1.3602658457267687,0.33134910170417964,0.31923425182097953,1.0533773883263198,-0.2995267798484992,2024-02-06,174.38944819567513,225,200,0.2751031636863824,0.9729827698605481,1.5
r2_plus_target_vol,04_bond_pool_plus_r2_target_vol,1Y,0.3,80,1.5,20,0.2,2025-05-08,2026-05-08,243,1.083214111645339,1.0842615637421642,0.28937102342504095,2.6931806076996128,-0.11567605906007827,2025-06-20,36.76469416420075,77,44,0.18106995884773663,1.159818531170389,1.5
