pool,window,start,end,total,cagr,maxdd,dd_date,sharpe,calmar,trade_actions,cash_days,top_holds,assets
plus_gold_nasdaq_with_bond,10Y,2016-05-03,2026-04-30,4.029293571936659,0.17548741798159329,-0.2069283889775303,2020-10-23,0.8952451815751498,0.8480586875909468,599,29,??ETF 159941:660; ??ETF 518880:444; ?????:291; ??????100???:264; ??1000???:234; ??50???:227,"1.H20955,0.399606,1.H00016,1.H00852,1.H00905,1.H11077,GOLD_518880,NASDAQ_159941"
plus_gold_nasdaq_with_bond,5Y,2021-04-30,2026-04-30,1.7495874463946977,0.2242370969544738,-0.1795537519778293,2023-03-10,1.088299959052885,1.248857762561051,291,18,??ETF 159941:311; ??ETF 518880:261; ??????100???:175; ??1000???:147; ?????:133; 10Y?????:96,"1.H20955,0.399606,1.H00016,1.H00852,1.H00905,1.H11077,GOLD_518880,NASDAQ_159941"
plus_gold_nasdaq_with_bond,3Y,2023-05-04,2026-04-30,1.2878400859182908,0.31892465137717596,-0.1675239883388936,2024-02-01,1.338645602029219,1.9037551250988936,181,10,??ETF 159941:228; ??ETF 518880:179; ?????:80; ??1000???:72; ??????100???:61; 10Y?????:55,"1.H20955,0.399606,1.H00016,1.H00852,1.H00905,1.H11077,GOLD_518880,NASDAQ_159941"
plus_gold_nasdaq_soymeal_with_bond,10Y,2019-09-24,2026-04-30,3.342353881516315,0.24925499054810807,-0.22188870357993928,2022-05-24,1.0805645366985797,1.1233333942947195,421,34,??ETF 159941:377; ??ETF 159985:286; ??ETF 518880:211; ?????:195; ??????100???:175; ??1000???:165,"1.H20955,0.399606,1.H00016,1.H00852,1.H00905,1.H11077,GOLD_518880,NASDAQ_159941,SOYMEAL_159985"
plus_gold_nasdaq_soymeal_with_bond,5Y,2021-04-30,2026-04-30,1.5150818481695834,0.20260053465594696,-0.22188870357993884,2022-05-24,0.9415486727600146,0.9130727765190488,309,10,??ETF 159941:278; ??ETF 159985:231; ??ETF 518880:184; ??1000???:134; ??????100???:131; ?????:114,"1.H20955,0.399606,1.H00016,1.H00852,1.H00905,1.H11077,GOLD_518880,NASDAQ_159941,SOYMEAL_159985"
plus_gold_nasdaq_soymeal_with_bond,3Y,2023-05-04,2026-04-30,1.4333129169347334,0.34640194474104247,-0.20606358078670606,2024-02-01,1.350892729964985,1.6810439934051178,173,10,??ETF 159941:201; ??ETF 159985:139; ??ETF 518880:137; ??1000???:64; ?????:63; ??????100???:38,"1.H20955,0.399606,1.H00016,1.H00852,1.H00905,1.H11077,GOLD_518880,NASDAQ_159941,SOYMEAL_159985"
plus_gold_nasdaq_no_bond,10Y,2016-05-03,2026-04-30,4.28763321047248,0.1813960242524273,-0.22028209450284564,2020-04-02,0.9051699814132345,0.8234714885103109,545,81,??ETF 159941:696; ??ETF 518880:511; ?????:307; ??????100???:272; ??1000???:251; ??50???:231,"1.H20955,0.399606,1.H00016,1.H00852,1.H00905,GOLD_518880,NASDAQ_159941"
plus_gold_nasdaq_no_bond,5Y,2021-04-30,2026-04-30,1.728796895491242,0.22237984454035686,-0.19942570069472398,2023-03-10,1.0609836785679323,1.1151012320160807,255,39,??ETF 159941:324; ??ETF 518880:301; ??????100???:180; ??1000???:159; ?????:136; ??50???:44,"1.H20955,0.399606,1.H00016,1.H00852,1.H00905,GOLD_518880,NASDAQ_159941"
plus_gold_nasdaq_no_bond,3Y,2023-05-04,2026-04-30,1.2663130057723397,0.3147606406524921,-0.1955882041612217,2024-02-01,1.3084948504423488,1.609302779798712,159,29,??ETF 159941:234; ??ETF 518880:202; ?????:82; ??1000???:72; ??????100???:65; CASH:29,"1.H20955,0.399606,1.H00016,1.H00852,1.H00905,GOLD_518880,NASDAQ_159941"
plus_gold_nasdaq_soymeal_no_bond,10Y,2019-09-24,2026-04-30,3.5292239020167875,0.2572578400469865,-0.2347082563102898,2024-02-01,1.0844395591590794,1.0960749489224852,397,52,??ETF 159941:389; ??ETF 159985:298; ??ETF 518880:227; ?????:197; ??????100???:177; ??1000???:175,"1.H20955,0.399606,1.H00016,1.H00852,1.H00905,GOLD_518880,NASDAQ_159941,SOYMEAL_159985"
plus_gold_nasdaq_soymeal_no_bond,5Y,2021-04-30,2026-04-30,1.568838753632027,0.20769867103585238,-0.23470825631028958,2024-02-01,0.9391882734093855,0.8849227304610455,289,28,??ETF 159941:290; ??ETF 159985:237; ??ETF 518880:199; ??1000???:144; ??????100???:133; ?????:115,"1.H20955,0.399606,1.H00016,1.H00852,1.H00905,GOLD_518880,NASDAQ_159941,SOYMEAL_159985"
plus_gold_nasdaq_soymeal_no_bond,3Y,2023-05-04,2026-04-30,1.2824459336841825,0.317883710288986,-0.23470825631028958,2024-02-01,1.2510259646231416,1.354378049099119,159,28,??ETF 159941:207; ??ETF 518880:146; ??ETF 159985:139; ??1000???:64; ?????:63; ??????100???:40,"1.H20955,0.399606,1.H00016,1.H00852,1.H00905,GOLD_518880,NASDAQ_159941,SOYMEAL_159985"
