date,nav,hold
2016-05-03,99900.09990009991,GOLD_518880
2016-05-04,98975.7889095038,GOLD_518880
2016-05-05,98901.84015167064,GOLD_518880
2016-05-06,99086.70763877004,GOLD_518880
2016-05-09,98716.9814795382,GOLD_518880
2016-05-10,98236.3365910401,GOLD_518880
2016-05-11,98680.00269313814,GOLD_518880
2016-05-12,98347.25532030636,GOLD_518880
2016-05-13,99160.64758163624,GOLD_518880
2016-05-16,99641.29247013431,GOLD_518880
2016-05-17,99160.64758163624,GOLD_518880
2016-05-18,99123.67761020313,GOLD_518880
2016-05-19,97607.80300184268,GOLD_518880
2016-05-20,97533.85424400952,GOLD_518880
2016-05-23,97422.93551474328,GOLD_518880
2016-05-24,96979.26059767828,GOLD_518880
2016-05-25,95330.98960186684,CASH
2016-05-26,95235.75384801882,NASDAQ_159941
2016-05-27,95432.72288002315,NASDAQ_159941
2016-05-30,96122.12623245864,NASDAQ_159941
2016-05-31,96319.09526446297,NASDAQ_159941
2016-06-01,96319.09526446297,NASDAQ_159941
2016-06-02,96023.64171645648,NASDAQ_159941
2016-06-03,97303.95216490497,NASDAQ_159941
2016-06-06,96122.12623245864,NASDAQ_159941
2016-06-07,96224.93726342126,0.399606
2016-06-08,95778.6135359318,0.399606
2016-06-13,89825.39687913339,1.H00852
2016-06-14,90253.84722287822,1.H00852
2016-06-15,93651.12194700385,1.H00852
2016-06-16,93858.05981938283,1.H00852
2016-06-17,94498.69917778864,1.H00852
2016-06-20,94995.95020204477,1.H00852
2016-06-21,93609.78246348024,GOLD_518880
2016-06-22,92148.17900199031,1.H00852
2016-06-23,91961.78720781603,1.H00852
2016-06-24,91062.00157098353,GOLD_518880
2016-06-27,91808.677563844,GOLD_518880
2016-06-28,91451.56660634888,GOLD_518880
2016-06-29,91873.60119970747,GOLD_518880
2016-06-30,91484.03616434212,GOLD_518880
2016-07-01,92782.60176234963,GOLD_518880
2016-07-04,94113.62917828887,GOLD_518880
2016-07-05,93821.45733678022,GOLD_518880
2016-07-06,95671.91253993477,GOLD_518880
2016-07-07,95314.80932250115,GOLD_518880
2016-07-08,94665.51878343591,GOLD_518880
2016-07-11,95509.58797015308,GOLD_518880
2016-07-12,94762.91197729262,GOLD_518880
2016-07-13,93698.7957958752,1.H00905
2016-07-14,93838.25811857509,1.H00905
2016-07-15,93642.4770397227,1.H00905
2016-07-18,93225.1577257681,1.H00905
2016-07-19,93515.9600235318,1.H00905
2016-07-20,93319.37820407061,1.H00905
2016-07-21,93492.5392273267,NASDAQ_159941
2016-07-22,92221.77235430946,NASDAQ_159941
2016-07-25,93038.69236974017,NASDAQ_159941
2016-07-26,93583.31292706906,NASDAQ_159941
2016-07-27,93311.00264840461,NASDAQ_159941
2016-07-28,94491.00664224212,NASDAQ_159941
2016-07-29,94037.15978465558,NASDAQ_159941
2016-08-01,94491.00664224212,NASDAQ_159941
2016-08-02,95307.92665767284,NASDAQ_159941
2016-08-03,93764.84950599115,NASDAQ_159941
2016-08-04,94218.69636357768,NASDAQ_159941
2016-08-05,93946.38608491323,NASDAQ_159941
2016-08-08,95217.1637784931,NASDAQ_159941
2016-08-09,95580.23693633727,NASDAQ_159941
2016-08-10,95126.39007875074,NASDAQ_159941
2016-08-11,95126.39007875074,NASDAQ_159941
2016-08-12,95580.23693633727,NASDAQ_159941
2016-08-15,95307.92665767284,NASDAQ_159941
2016-08-16,95298.68589720318,1.H20955
2016-08-17,95255.92844234579,1.H20955
2016-08-18,94883.7422933776,1.H20955
2016-08-19,94719.8813885349,1.H20955
2016-08-22,94165.8319048323,1.H00016
2016-08-23,94369.10720730673,1.H00016
2016-08-24,93959.00735104483,1.H00016
2016-08-25,93535.67846716158,1.H00016
2016-08-26,93415.97190014886,1.H00016
2016-08-29,93017.11902207376,1.H00852
2016-08-30,93034.37322722448,1.H00852
2016-08-31,93033.57070605467,1.H00852
2016-09-01,92137.17530387802,0.399606
2016-09-02,91694.92666294328,0.399606
2016-09-05,92010.54808032155,NASDAQ_159941
2016-09-06,91826.71082141982,0.399606
2016-09-07,91198.82159210206,NASDAQ_159941
2016-09-08,91198.82159210206,NASDAQ_159941
2016-09-09,91027.54820540412,NASDAQ_159941
2016-09-12,88801.09626045443,NASDAQ_159941
2016-09-13,88965.52366914318,GOLD_518880
2016-09-14,88529.56529906366,GOLD_518880
2016-09-19,87912.19503755511,CASH
2016-09-20,87912.19503755511,CASH
2016-09-21,87912.19503755511,CASH
2016-09-22,87824.37066688824,NASDAQ_159941
2016-09-23,88813.93807760451,NASDAQ_159941
2016-09-26,87906.82888332415,NASDAQ_159941
2016-09-27,88566.54376730097,NASDAQ_159941
2016-09-28,88566.54376730097,NASDAQ_159941
2016-09-29,88649.0118142348,NASDAQ_159941
2016-09-30,88319.14945699743,NASDAQ_159941
2016-10-10,88731.4700306707,NASDAQ_159941
2016-10-11,89721.04727188488,NASDAQ_159941
2016-10-12,89308.7168677137,NASDAQ_159941
2016-10-13,89226.25865127779,NASDAQ_159941
2016-10-14,89391.18491464751,NASDAQ_159941
2016-10-17,89143.79060434397,NASDAQ_159941
2016-10-18,89308.7168677137,NASDAQ_159941
2016-10-19,89391.18491464751,NASDAQ_159941
2016-10-20,89803.50548832079,NASDAQ_159941
2016-10-21,89788.67464529353,1.H00852
2016-10-24,90367.88419886497,1.H00852
2016-10-25,90757.27681251476,1.H00852
2016-10-26,90368.45824203006,1.H00852
2016-10-27,90151.14104075739,1.H20955
2016-10-28,89862.54921817002,1.H00016
2016-10-31,89729.51308843755,1.H00016
2016-11-01,90248.23194289903,1.H00016
2016-11-02,89501.2767924745,1.H00016
2016-11-03,90653.13777811691,1.H00016
2016-11-04,90585.09406956108,1.H00016
2016-11-07,90785.56365037356,1.H00016
2016-11-08,91003.42556924738,1.H00016
2016-11-09,90085.57790238624,GOLD_518880
2016-11-10,88450.5153686615,GOLD_518880
2016-11-11,86893.04490388086,1.H00016
2016-11-14,87244.77096540232,1.H00016
2016-11-15,86986.08955406222,1.H00016
2016-11-16,86950.08156250596,1.H00016
2016-11-17,87205.01814272422,1.H00016
2016-11-18,86849.54725008093,1.H00016
2016-11-21,87881.10419218437,1.H00016
2016-11-22,88570.72924646968,1.H00016
2016-11-23,88846.69449375678,1.H00016
2016-11-24,89162.98869158688,1.H00016
2016-11-25,90111.8712850772,1.H00016
2016-11-28,90457.83606794964,1.H00016
2016-11-29,91905.06926457846,1.H00016
2016-11-30,91070.5480522708,1.H00016
2016-12-01,91518.1994032981,1.H00016
2016-12-02,90961.37182187224,1.H00016
2016-12-05,89408.41916203429,1.H00016
2016-12-06,89160.97224405973,1.H00016
2016-12-07,89470.92903537594,1.H00016
2016-12-08,89549.57048893478,1.H00016
2016-12-09,90765.7764117387,1.H00016
2016-12-12,89856.35857699404,1.H00016
2016-12-13,89320.84772656948,1.H00016
2016-12-14,88670.9035509232,NASDAQ_159941
2016-12-15,88289.68764407453,NASDAQ_159941
2016-12-16,88594.65673399181,NASDAQ_159941
2016-12-19,88594.65673399181,NASDAQ_159941
2016-12-20,89204.60400273054,NASDAQ_159941
2016-12-21,92559.3094363415,NASDAQ_159941
2016-12-22,93245.50352201163,NASDAQ_159941
2016-12-23,93093.00988814884,NASDAQ_159941
2016-12-26,98735.01076285192,NASDAQ_159941
2016-12-27,97972.57894915454,NASDAQ_159941
2016-12-28,96981.41577356712,NASDAQ_159941
2016-12-29,95761.5303249938,NASDAQ_159941
2016-12-30,96142.7462318425,NASDAQ_159941
