date,nav,hold
2023-05-04,100000.0,CASH
2023-05-05,99900.09990009991,1.H20955
2023-05-08,102004.66356561391,1.H20955
2023-05-09,101185.88267874037,1.H20955
2023-05-10,99170.71431763166,1.H20955
2023-05-11,99139.49527967736,1.H20955
2023-05-12,98493.70277909987,1.H20955
2023-05-15,98433.72936408242,1.H20955
2023-05-16,97656.84771235804,1.H20955
2023-05-17,97461.00986571715,1.H20955
2023-05-18,97857.2342659,NASDAQ_159941
2023-05-19,100541.93759351963,NASDAQ_159941
2023-05-22,100004.99692799571,NASDAQ_159941
2023-05-23,100541.93759351963,NASDAQ_159941
2023-05-24,99065.34876307304,NASDAQ_159941
2023-05-25,100541.93759351963,NASDAQ_159941
2023-05-26,100944.63709189519,NASDAQ_159941
2023-05-29,104568.98058341429,NASDAQ_159941
2023-05-30,104703.21374953947,NASDAQ_159941
2023-05-31,104300.51425116393,NASDAQ_159941
2023-06-01,104166.28108503875,NASDAQ_159941
2023-06-02,105508.62874833697,NASDAQ_159941
2023-06-05,106045.5694138609,NASDAQ_159941
2023-06-06,106179.80257998608,NASDAQ_159941
2023-06-07,106582.51007938483,NASDAQ_159941
2023-06-08,104166.28108503875,NASDAQ_159941
2023-06-09,105911.32824671251,NASDAQ_159941
2023-06-12,107119.44274388555,NASDAQ_159941
2023-06-13,109535.67173823163,NASDAQ_159941
2023-06-14,109669.90490435681,NASDAQ_159941
2023-06-15,110341.08673702911,NASDAQ_159941
2023-06-16,111414.96006705378,NASDAQ_159941
2023-06-19,110878.01940152985,NASDAQ_159941
2023-06-20,110743.78623540467,NASDAQ_159941
2023-06-21,111146.4937348034,NASDAQ_159941
2023-06-26,110341.08673702911,NASDAQ_159941
2023-06-27,108646.98642225369,SOYMEAL_159985
2023-06-28,108246.70979127673,SOYMEAL_159985
2023-06-29,107960.79693819318,SOYMEAL_159985
2023-06-30,108704.17171955045,SOYMEAL_159985
2023-07-03,117338.74942605406,SOYMEAL_159985
2023-07-04,115165.80356257888,SOYMEAL_159985
2023-07-05,115451.72323236255,SOYMEAL_159985
2023-07-06,115337.35263776903,SOYMEAL_159985
2023-07-07,114708.34845100528,SOYMEAL_159985
2023-07-10,114822.70541219856,SOYMEAL_159985
2023-07-11,115337.35263776903,SOYMEAL_159985
2023-07-12,117224.37883146053,SOYMEAL_159985
2023-07-13,116366.64708890999,SOYMEAL_159985
2023-07-14,116423.82556950662,SOYMEAL_159985
2023-07-17,117567.47698184085,SOYMEAL_159985
2023-07-18,117739.026057031,SOYMEAL_159985
2023-07-19,120426.60551267643,SOYMEAL_159985
2023-07-20,121284.35088862722,SOYMEAL_159985
2023-07-21,120255.05643748627,SOYMEAL_159985
2023-07-24,120483.7976266733,SOYMEAL_159985
2023-07-25,122713.9083373449,SOYMEAL_159985
2023-07-26,123571.65371329569,SOYMEAL_159985
2023-07-27,125001.2247954136,SOYMEAL_159985
2023-07-28,123571.65371329569,SOYMEAL_159985
2023-07-31,122999.82800712857,SOYMEAL_159985
2023-08-01,124257.85001405631,SOYMEAL_159985
2023-08-02,124543.75605043976,SOYMEAL_159985
2023-08-03,123114.19860172209,SOYMEAL_159985
2023-08-04,124372.2069752496,SOYMEAL_159985
2023-08-07,122754.07410501644,1.H20955
2023-08-08,122568.82956387982,1.H20955
2023-08-09,122259.59019029723,1.H20955
2023-08-10,122553.00308777866,1.H20955
2023-08-11,120456.24424022123,1.H20955
2023-08-14,120123.41504257501,SOYMEAL_159985
2023-08-15,121097.82146634583,SOYMEAL_159985
2023-08-16,120935.41824462432,SOYMEAL_159985
2023-08-17,122884.24399872417,SOYMEAL_159985
2023-08-18,124291.72998260506,SOYMEAL_159985
2023-08-21,126836.02561197829,SOYMEAL_159985
2023-08-22,122992.51711539124,SOYMEAL_159985
2023-08-23,122884.24399872417,SOYMEAL_159985
2023-08-24,123750.39021238612,SOYMEAL_159985
2023-08-25,126348.82885337196,SOYMEAL_159985
2023-08-28,127593.91161553135,SOYMEAL_159985
2023-08-29,128405.91481758068,SOYMEAL_159985
2023-08-30,128135.2513857503,SOYMEAL_159985
2023-08-31,128405.91481758068,SOYMEAL_159985
2023-09-01,127052.55893875423,SOYMEAL_159985
2023-09-04,124724.79663615694,SOYMEAL_159985
2023-09-05,126078.15251498339,SOYMEAL_159985
2023-09-06,128026.97826908324,SOYMEAL_159985
2023-09-07,128189.38149080474,SOYMEAL_159985
2023-09-08,125807.47617659484,SOYMEAL_159985
2023-09-11,127052.55893875423,SOYMEAL_159985
2023-09-12,125645.08586143152,SOYMEAL_159985
2023-09-13,123395.07989872461,GOLD_518880
2023-09-14,124342.8106022615,GOLD_518880
2023-09-15,123151.36849505625,GOLD_518880
2023-09-18,122501.5015462863,GOLD_518880
2023-09-19,123449.23224982317,GOLD_518880
2023-09-20,124396.96295336005,GOLD_518880
2023-09-21,124017.87067194529,GOLD_518880
2023-09-22,123503.38460092172,GOLD_518880
2023-09-25,124044.94684749458,GOLD_518880
2023-09-26,123963.71832084675,GOLD_518880
2023-09-27,122149.48544042082,GOLD_518880
2023-09-28,120118.61733187578,GOLD_518880
2023-10-09,119279.20424239845,GOLD_518880
2023-10-10,117618.01028329838,CASH
2023-10-11,117618.01028329838,CASH
2023-10-12,117618.01028329838,CASH
2023-10-13,117618.01028329838,CASH
2023-10-16,117618.01028329838,CASH
2023-10-17,117618.01028329838,CASH
2023-10-18,117618.01028329838,CASH
2023-10-19,117618.01028329838,CASH
2023-10-20,117618.01028329838,CASH
2023-10-23,117618.01028329838,CASH
2023-10-24,117618.01028329838,CASH
2023-10-25,117500.50977352487,GOLD_518880
2023-10-26,118351.40198106073,GOLD_518880
2023-10-27,118583.45902127447,GOLD_518880
2023-10-30,118841.3111060134,GOLD_518880
2023-10-31,119124.93364514927,GOLD_518880
2023-11-01,118686.60231418286,GOLD_518880
2023-11-02,118944.44210385767,GOLD_518880
2023-11-03,118867.09385547446,GOLD_518880
2023-11-06,118274.04143761341,GOLD_518880
2023-11-07,117809.91506212181,GOLD_518880
2023-11-08,117111.34383687578,SOYMEAL_159985
2023-11-09,116764.86207241594,SOYMEAL_159985
2023-11-10,114141.4900262343,SOYMEAL_159985
2023-11-13,114933.45340263536,SOYMEAL_159985
2023-11-14,116022.40452033057,SOYMEAL_159985
2023-11-15,117210.34368435717,SOYMEAL_159985
2023-11-16,117012.3557905444,SOYMEAL_159985
2023-11-17,114160.43432629213,NASDAQ_159941
2023-11-20,112466.27111337436,NASDAQ_159941
2023-11-21,113769.47896247778,NASDAQ_159941
2023-11-22,112857.23424487391,NASDAQ_159941
2023-11-23,113639.1527401878,NASDAQ_159941
2023-11-24,113769.47896247778,NASDAQ_159941
2023-11-27,113117.87115408346,NASDAQ_159941
2023-11-28,113508.83428558301,NASDAQ_159941
2023-11-29,113639.1527401878,NASDAQ_159941
2023-11-30,113508.83428558301,NASDAQ_159941
2023-12-01,112857.23424487391,NASDAQ_159941
2023-12-04,112987.55269947869,NASDAQ_159941
2023-12-05,111684.35261806047,NASDAQ_159941
2023-12-06,113021.92725174535,1.H20955
2023-12-07,112601.05012887677,1.H20955
2023-12-08,112153.4634540732,GOLD_518880
2023-12-11,111322.87998501636,GOLD_518880
2023-12-12,110883.15521364033,GOLD_518880
2023-12-13,110417.80312818539,NASDAQ_159941
2023-12-14,111767.35865417233,NASDAQ_159941
2023-12-15,110417.80312818539,NASDAQ_159941
2023-12-18,111153.92698333549,NASDAQ_159941
2023-12-19,111767.35865417233,NASDAQ_159941
2023-12-20,112135.41326906504,NASDAQ_159941
2023-12-21,110663.18018412954,NASDAQ_159941
2023-12-22,111276.6118549664,NASDAQ_159941
2023-12-25,111399.29672659728,NASDAQ_159941
2023-12-26,112135.41326906504,NASDAQ_159941
2023-12-27,112626.16006827098,NASDAQ_159941
2023-12-28,112258.10545337829,NASDAQ_159941
2023-12-29,112135.41326906504,NASDAQ_159941
2024-01-02,111767.35865417233,NASDAQ_159941
2024-01-03,109927.06364166179,NASDAQ_159941
2024-01-04,109436.31684245584,NASDAQ_159941
2024-01-05,108360.57003752167,GOLD_518880
2024-01-08,108035.3038806705,GOLD_518880
2024-01-09,108012.07216640221,GOLD_518880
2024-01-10,107593.86807393031,GOLD_518880
2024-01-11,107593.86807393031,GOLD_518880
2024-01-12,107942.36594504977,GOLD_518880
2024-01-15,107942.36594504977,GOLD_518880
2024-01-16,108445.4963792452,1.H20955
2024-01-17,106987.15456857724,1.H20955
2024-01-18,106061.86262950677,1.H20955
2024-01-19,105494.93809355638,1.H20955
2024-01-22,101714.15314129283,NASDAQ_159941
2024-01-23,100461.00501265083,NASDAQ_159941
2024-01-24,100983.15110366372,NASDAQ_159941
2024-01-25,100147.71486825413,NASDAQ_159941
2024-01-26,99103.42268622834,NASDAQ_159941
2024-01-29,100043.28689494604,NASDAQ_159941
2024-01-30,101714.15314129283,NASDAQ_159941
2024-01-31,99416.71283062504,NASDAQ_159941
2024-02-01,98267.98645081875,NASDAQ_159941
2024-02-02,100565.43298595893,NASDAQ_159941
2024-02-05,101296.44124806042,NASDAQ_159941
2024-02-06,101609.72516798472,NASDAQ_159941
2024-02-07,100774.28893257513,NASDAQ_159941
2024-02-08,103176.16344102343,NASDAQ_159941
2024-02-19,102445.16140339432,NASDAQ_159941
2024-02-20,102340.73343008621,NASDAQ_159941
2024-02-21,101087.57907697183,NASDAQ_159941
2024-02-22,102448.91441824228,1.H00016
2024-02-23,102462.45623839117,1.H00016
2024-02-26,100784.33264346878,1.H00016
2024-02-27,101268.91738409114,1.H00016
2024-02-28,100450.03555391065,1.H00016
2024-02-29,101609.05604312525,1.H00016
2024-03-01,101477.58969442229,0.399606
2024-03-04,102078.36920450463,0.399606
2024-03-05,102012.87650254715,0.399606
2024-03-06,101953.05639682221,0.399606
2024-03-07,99580.36409992194,0.399606
2024-03-08,100546.25253115302,0.399606
2024-03-11,104959.80441267343,1.H00852
2024-03-12,105530.09267344333,1.H00852
2024-03-13,106018.37197252612,1.H00852
2024-03-14,105343.77105756004,1.H00852
2024-03-15,106668.43882573224,1.H00852
2024-03-18,108227.14179490841,SOYMEAL_159985
2024-03-19,109234.84233946484,SOYMEAL_159985
2024-03-20,110444.08059038495,SOYMEAL_159985
2024-03-21,112358.71883268502,SOYMEAL_159985
2024-03-22,110444.08059038495,SOYMEAL_159985
2024-03-25,107521.75381626652,SOYMEAL_159985
2024-03-26,107773.67294603659,SOYMEAL_159985
2024-03-27,108176.760371502,SOYMEAL_159985
2024-03-28,106312.50355260835,SOYMEAL_159985
2024-03-29,107457.77940971486,GOLD_518880
2024-04-01,108065.72049066359,GOLD_518880
2024-04-02,108149.56753902095,GOLD_518880
2024-04-03,109658.92436624077,GOLD_518880
2024-04-08,112237.41102858954,GOLD_518880
2024-04-09,112551.8574520728,GOLD_518880
2024-04-10,112950.16091998499,GOLD_518880
2024-04-11,112111.63045998193,GOLD_518880
2024-04-12,115381.9052516368,GOLD_518880
2024-04-15,113558.09200486215,GOLD_518880
2024-04-16,114291.81365441851,GOLD_518880
2024-04-17,114480.47950929415,GOLD_518880
2024-04-18,114145.07132372155,GOLD_518880
2024-04-19,114690.1171223307,GOLD_518880
2024-04-22,112447.03864555452,GOLD_518880
2024-04-23,109679.88612833011,GOLD_518880
2024-04-24,110832.873007888,GOLD_518880
2024-04-25,110853.83476997734,GOLD_518880
2024-04-26,111490.12354153612,1.H20955
2024-04-29,111884.57391976703,1.H20955
2024-04-30,111957.58489744185,1.H20955
2024-05-06,113377.81761655488,SOYMEAL_159985
2024-05-07,116965.08876020757,SOYMEAL_159985
2024-05-08,117318.761344049,SOYMEAL_159985
2024-05-09,116712.45860256715,SOYMEAL_159985
2024-05-10,114944.09568335999,SOYMEAL_159985
2024-05-13,116005.11343488429,SOYMEAL_159985
2024-05-14,115550.3863787729,SOYMEAL_159985
2024-05-15,116308.26480562521,SOYMEAL_159985
2024-05-16,116106.16790715425,SOYMEAL_159985
2024-05-17,117470.33702941945,SOYMEAL_159985
2024-05-20,117066.13118640857,SOYMEAL_159985
2024-05-21,117167.18565867853,SOYMEAL_159985
2024-05-22,118127.1609840018,SOYMEAL_159985
2024-05-23,118042.41551718571,NASDAQ_159941
2024-05-24,115999.37287750939,NASDAQ_159941
2024-05-27,117588.41205527175,NASDAQ_159941
2024-05-28,118042.41551718571,NASDAQ_159941
2024-05-29,117474.90442452738,NASDAQ_159941
2024-05-30,116339.88223921074,NASDAQ_159941
2024-05-31,115658.8770463398,NASDAQ_159941
2024-06-03,116339.88223921074,NASDAQ_159941
2024-06-04,115885.87877729678,NASDAQ_159941
2024-06-05,116793.89923165644,NASDAQ_159941
2024-06-06,119290.94533324672,NASDAQ_159941
2024-06-07,119290.94533324672,NASDAQ_159941
2024-06-11,119517.9470642037,NASDAQ_159941
2024-06-12,120539.47514930773,NASDAQ_159941
2024-06-13,122923.01362015367,NASDAQ_159941
2024-06-14,122923.01362015367,NASDAQ_159941
2024-06-17,123490.53824334373,NASDAQ_159941
2024-06-18,125079.56389057435,NASDAQ_159941
2024-06-19,125079.56389057435,NASDAQ_159941
2024-06-20,125760.58261397704,NASDAQ_159941
2024-06-21,124171.54343621468,NASDAQ_159941
2024-06-24,123717.53997430071,NASDAQ_159941
2024-06-25,122242.00842728272,NASDAQ_159941
2024-06-26,124171.54343621468,NASDAQ_159941
2024-06-27,124058.04933600206,NASDAQ_159941
2024-06-28,125647.07498323267,NASDAQ_159941
2024-07-01,125420.07325227569,NASDAQ_159941
2024-07-02,125647.07498323267,NASDAQ_159941
2024-07-03,128371.13634631169,NASDAQ_159941
2024-07-04,128825.13980822565,NASDAQ_159941
2024-07-05,129846.66789332968,NASDAQ_159941
2024-07-08,131095.18417885897,NASDAQ_159941
2024-07-09,131662.69527151727,NASDAQ_159941
2024-07-10,130641.18071694499,NASDAQ_159941
2024-07-11,132230.2063641756,NASDAQ_159941
2024-07-12,127349.60826120766,NASDAQ_159941
2024-07-15,130981.69007864632,NASDAQ_159941
2024-07-16,130754.6748171576,NASDAQ_159941
2024-07-17,129392.65090088398,NASDAQ_159941
2024-07-18,127236.11416099503,NASDAQ_159941
2024-07-19,125056.20285305676,GOLD_518880
2024-07-22,124963.99120893686,GOLD_518880
2024-07-23,124093.15808812046,1.H00016
2024-07-24,123796.95654657006,1.H00016
2024-07-25,122452.03965891237,GOLD_518880
2024-07-26,122735.02070599518,1.H00016
2024-07-29,122378.88431957187,1.H00016
2024-07-30,121502.32745669769,GOLD_518880
2024-07-31,122448.39261333755,GOLD_518880
