date,nav,hold
2016-05-03,100000.0,CASH
2016-05-04,100000.0,CASH
2016-05-05,100000.0,CASH
2016-05-06,100000.0,CASH
2016-05-09,100000.0,CASH
2016-05-10,99900.09990009991,1.H11077
2016-05-11,99807.83474203009,1.H11077
2016-05-12,99846.27855789252,1.H11077
2016-05-13,99861.65608423747,1.H11077
2016-05-16,99838.58979472001,1.H11077
2016-05-17,99777.07968934014,1.H11077
2016-05-18,99846.27855789252,1.H11077
2016-05-19,99669.43700492535,1.H11077
2016-05-20,99607.92689954548,1.H11077
2016-05-23,99684.81453127033,1.H11077
2016-05-24,99761.70216299518,1.H11077
2016-05-25,99700.19205761528,1.H11077
2016-05-26,99692.5032944428,1.H11077
2016-05-27,99707.88082078777,1.H11077
2016-05-30,99646.37071540789,1.H11077
2016-05-31,99600.49186555766,CASH
2016-06-01,99600.49186555766,CASH
2016-06-02,99500.99087468299,0.399606
2016-06-03,100252.87312459604,0.399606
2016-06-06,99995.9396933794,0.399606
2016-06-07,99878.9117949143,0.399606
2016-06-08,99415.63970061444,0.399606
2016-06-13,93423.01938109101,0.399606
2016-06-14,93404.96498431056,1.H00852
2016-06-15,96920.8519676701,1.H00852
2016-06-16,97135.01485732237,1.H00852
2016-06-17,97798.0214623671,1.H00852
2016-06-20,98312.63348100339,1.H00852
2016-06-21,97072.01924814448,1.H00852
2016-06-22,98968.9856202899,1.H00852
2016-06-23,98768.79710872988,1.H00852
2016-06-24,97998.20997392712,1.H00852
2016-06-27,100529.9014716448,1.H00852
2016-06-28,101516.98055911523,1.H00852
2016-06-29,101704.41467797196,1.H00852
2016-06-30,101656.724340038,1.H00852
2016-07-01,101305.25764024095,1.H00852
2016-07-04,103208.54575485666,1.H00852
2016-07-05,103686.11458077213,1.H00852
2016-07-06,104062.97915821309,1.H00852
2016-07-07,104150.04175188324,1.H00852
2016-07-08,103980.79650609898,1.H00852
2016-07-11,103235.38543341485,1.H00852
2016-07-12,104029.37410613403,1.H00852
2016-07-13,104754.16486633402,1.H00905
2016-07-14,104910.08212248076,1.H00905
2016-07-15,104691.2011514116,1.H00905
2016-07-18,104224.64300789883,1.H00905
2016-07-19,104549.75659751007,1.H00905
2016-07-20,104329.98040774533,1.H00905
2016-07-21,104732.82882075604,1.H00905
2016-07-22,103904.75152734514,1.H00905
2016-07-25,104200.17369688633,1.H00905
2016-07-26,105593.43239343967,1.H00905
2016-07-27,101281.76074929764,1.H00905
2016-07-28,101306.92644088721,1.H20955
2016-07-29,101113.50515932037,1.H20955
2016-08-01,100204.68752916764,1.H20955
2016-08-02,100566.13417790955,1.H20955
2016-08-03,100638.85458221957,1.H20955
2016-08-04,100616.27002366453,1.H20955
2016-08-05,100512.06243398316,1.H20955
2016-08-08,101409.44721706654,1.H20955
2016-08-09,102161.67232711357,1.H20955
2016-08-10,101664.62461518016,1.H20955
2016-08-11,101501.2848410663,1.H20955
2016-08-12,103141.6172599355,1.H20955
2016-08-15,105412.7242167051,1.H20955
2016-08-16,104642.31900558056,1.H20955
2016-08-17,104595.36936310722,1.H20955
2016-08-18,104186.6919363083,1.H20955
2016-08-19,104006.76516275773,1.H20955
2016-08-22,103605.39726113429,1.H20955
2016-08-23,103560.37812044946,1.H00016
2016-08-24,103110.33575554367,1.H00016
2016-08-25,102645.77589499576,1.H00016
2016-08-26,102514.41026369753,1.H00016
2016-08-29,102281.06807764489,1.H00016
2016-08-30,102528.68050100157,1.H00852
2016-08-31,102527.7960812569,1.H00852
2016-09-01,101743.20521527954,1.H00852
2016-09-02,101009.66849512905,0.399606
2016-09-05,101560.26963537159,0.399606
2016-09-06,103427.99507188053,0.399606
2016-09-07,102926.4262227217,0.399606
2016-09-08,103457.68434905047,0.399606
2016-09-09,102507.17764207954,0.399606
2016-09-12,99836.04237185068,0.399606
2016-09-13,99850.43717290276,0.399606
2016-09-14,99689.47000916295,CASH
2016-09-19,99689.47000916295,CASH
2016-09-20,99689.47000916295,CASH
2016-09-21,99689.47000916295,CASH
2016-09-22,99689.47000916295,CASH
2016-09-23,99589.88012903393,1.H11077
2016-09-26,99732.56979968106,1.H11077
2016-09-27,99725.05981701541,1.H11077
2016-09-28,99702.52986901849,1.H11077
2016-09-29,99687.50990368723,1.H11077
2016-09-30,99717.54983434977,1.H11077
2016-10-10,100010.43915830967,1.H11077
2016-10-11,100085.53898496607,1.H11077
2016-10-12,100100.55895029735,1.H11077
2016-10-13,100078.02900230042,1.H11077
2016-10-14,100310.83846493522,1.H11077
2016-10-17,100303.32848226959,1.H11077
2016-10-18,100288.30851693831,1.H11077
2016-10-19,100415.97822225417,1.H11077
2016-10-20,100515.14600534551,1.H00852
2016-10-21,99930.67390391143,1.H00852
2016-10-24,100575.30755340714,1.H00852
2016-10-25,101008.68366068292,1.H00852
2016-10-26,100575.94643710335,1.H00852
2016-10-27,100534.95139992864,1.H00852
2016-10-28,99415.18411541721,1.H20955
2016-10-31,99103.95625865675,1.H00016
2016-11-01,99676.86798963232,1.H00016
2016-11-02,98851.8750970275,1.H00016
2016-11-03,100124.07614669384,1.H00016
2016-11-04,100048.92360786586,1.H00016
2016-11-07,100270.3371415429,1.H00016
2016-11-08,100510.96006855264,1.H00016
2016-11-09,99696.4143898656,1.H00016
2016-11-10,100820.66941018001,1.H00016
2016-11-11,101656.44652360318,1.H00016
2016-11-14,102067.93194920388,1.H00016
2016-11-15,101765.29975248854,1.H00016
