signal,window,start,end,rows,total_return,annual_return,annual_vol,sharpe,max_drawdown,max_drawdown_date,turnover,trade_count,cash_days,cash_ratio,stop_count
lb25_no_stop,FULL_COMMON,2010-07-08,2026-05-08,3844,18.081967578786678,0.20471192863130705,0.2320269150066049,0.9227640557394415,-0.4266812704141554,2016-06-13,517.0,320,855,0.22242455775234132,0
lb25_no_stop,10Y,2016-05-09,2026-05-08,2428,4.502478191807156,0.18600428620328247,0.2104279742330255,0.9187876814038027,-0.27864639286003545,2018-11-09,321.0,198,500,0.20593080724876442,0
lb25_no_stop,5Y,2021-05-10,2026-05-08,1211,1.7699786523729184,0.22632179811821174,0.22310646284215485,1.0296672018634396,-0.20533602682421193,2024-09-03,160.0,98,241,0.19900908340214699,0
lb25_no_stop,3Y,2023-05-08,2026-05-08,727,0.7454750477189804,0.20398059672252922,0.24682853388834597,0.8774652829935005,-0.2053360268242137,2024-09-03,104.0,65,180,0.24759284731774414,0
lb25_no_stop,1Y,2025-05-08,2026-05-08,243,0.517812654562497,0.5182465097591591,0.22450365908021147,1.9792088740618994,-0.16122822605278742,2025-12-16,32.0,18,18,0.07407407407407407,0
exit5_reentry04,FULL_COMMON,2010-07-08,2026-05-08,3844,7.640613851826609,0.14591251774790903,0.21744767245851904,0.7381182226394557,-0.3791526039385771,2013-12-27,571.0,393,1008,0.26222684703433924,73
exit5_reentry04,10Y,2016-05-09,2026-05-08,2428,2.2342354302723093,0.12460007159225239,0.20042550322411287,0.6879193821479603,-0.32039656281028106,2019-01-23,349.0,234,572,0.2355848434925865,35
exit5_reentry04,5Y,2021-05-10,2026-05-08,1211,1.3084479303584287,0.18237067940452345,0.21200254503137836,0.8990747372171511,-0.21472234443208105,2024-09-03,171.0,112,274,0.22625928984310487,14
exit5_reentry04,3Y,2023-05-08,2026-05-08,727,0.6130721683153249,0.17274109504195478,0.23187834835099524,0.8046659910894046,-0.2147223444320815,2024-09-03,110.0,74,204,0.28060522696011003,9
exit5_reentry04,1Y,2025-05-08,2026-05-08,243,0.41104066958203567,0.4113734897172283,0.21179679816905267,1.7389688636551954,-0.13995615291490993,2025-12-16,36.0,23,21,0.08641975308641975,3
exit5_reentry03,FULL_COMMON,2010-07-08,2026-05-08,3844,6.8961157770582915,0.13940985898493663,0.21583915011215488,0.71548169704154,-0.4370513237893565,2013-12-27,559.0,384,1034,0.26899063475546303,72
exit5_reentry03,10Y,2016-05-09,2026-05-08,2428,2.2487014945619017,0.12510227859235856,0.1984974319177811,0.6948913215148753,-0.30640612169534576,2019-01-23,341.0,228,588,0.24217462932454695,34
exit5_reentry03,5Y,2021-05-10,2026-05-08,1211,1.2282847777499777,0.17403214139803436,0.21124816411971847,0.8678000703245287,-0.23126823806032937,2024-09-03,169.0,111,279,0.23038810900082576,14
exit5_reentry03,3Y,2023-05-08,2026-05-08,727,0.6099472514723243,0.1719834824753621,0.2312375156068179,0.8034386544605376,-0.2312682380603298,2024-09-03,108.0,73,207,0.28473177441540576,9
exit5_reentry03,1Y,2025-05-08,2026-05-08,243,0.4386190110738646,0.43897741337439067,0.2106574304272596,1.8396267628690974,-0.13995615291490993,2025-12-16,34.0,22,23,0.09465020576131687,3
exit5_reentry02,FULL_COMMON,2010-07-08,2026-05-08,3844,5.390940336064568,0.12429136271080088,0.21491591260357845,0.6551498319498886,-0.44770870672164653,2013-12-27,559.0,384,1046,0.2721123829344433,72
exit5_reentry02,10Y,2016-05-09,2026-05-08,2428,1.9072585447662753,0.11267263615597534,0.19771554187480028,0.6403998247780669,-0.33264036922895557,2019-01-23,341.0,228,595,0.24505766062602966,34
exit5_reentry02,5Y,2021-05-10,2026-05-08,1211,1.186399180164814,0.16957938820805496,0.21108427188108247,0.8501853737707609,-0.2312682380603296,2024-09-03,169.0,111,280,0.23121387283236994,14
exit5_reentry02,3Y,2023-05-08,2026-05-08,727,0.6099472514723243,0.1719834824753621,0.2312375156068179,0.8034386544605376,-0.2312682380603298,2024-09-03,108.0,73,207,0.28473177441540576,9
exit5_reentry02,1Y,2025-05-08,2026-05-08,243,0.4386190110738646,0.43897741337439067,0.2106574304272596,1.8396267628690974,-0.13995615291490993,2025-12-16,34.0,22,23,0.09465020576131687,3
exit5_reentry_new_high,FULL_COMMON,2010-07-08,2026-05-08,3844,5.500284811452127,0.12549665299873425,0.21290686361918662,0.6643721403171173,-0.4292332592851317,2013-12-27,547.0,376,1081,0.28121748178980227,71
exit5_reentry_new_high,10Y,2016-05-09,2026-05-08,2428,1.9901088948382628,0.1158048477323701,0.19669375198213665,0.6570683210716352,-0.3210294877193829,2018-11-09,333.0,223,610,0.25123558484349257,34
exit5_reentry_new_high,5Y,2021-05-10,2026-05-08,1211,1.194728183611764,0.17047022495067843,0.20989481337406898,0.8574675286934434,-0.22139991327234665,2024-09-03,165.0,109,288,0.23781998348472336,14
exit5_reentry_new_high,3Y,2023-05-08,2026-05-08,727,0.6306143855178417,0.1769760092435253,0.2311646774815985,0.8221525406400156,-0.22139991327234598,2024-09-03,106.0,72,209,0.2874828060522696,9
exit5_reentry_new_high,1Y,2025-05-08,2026-05-08,243,0.4386190110738646,0.43897741337439067,0.2106574304272596,1.8396267628690974,-0.13995615291490993,2025-12-16,34.0,22,23,0.09465020576131687,3
