candidate,CN_TARGET_VOL,CN_MAX_LEV,CN_VOL_WINDOW,date,holding,effective_holding,base_weight,weight,scale_raw,realized_vol,volume_rule_on,overheat_on
tv20_lev0p7,0.2,0.7,80,2026-05-28,0.399606,0.399606,1.0,0.7,0.7,0.1821163097194916,,False
tv20_lev0p75,0.2,0.75,80,2026-05-28,0.399606,0.399606,1.0,0.75,0.75,0.1821163097194916,,False
tv20_lev0p8,0.2,0.8,80,2026-05-28,0.399606,0.399606,1.0,0.8,0.8,0.1821163097194916,,False
tv20_lev0p85,0.2,0.85,80,2026-05-28,0.399606,0.399606,1.0,0.85,0.85,0.1821163097194916,,False
tv20_lev0p9,0.2,0.9,80,2026-05-28,0.399606,0.399606,1.0,0.9,0.9,0.1821163097194916,,False
tv20_lev0p95,0.2,0.95,80,2026-05-28,0.399606,0.399606,1.0,0.95,0.95,0.1821163097194916,,False
tv20_lev1p0,0.2,1.0,80,2026-05-28,0.399606,0.399606,1.0,1.0,1.0,0.1821163097194916,,False
tv20_lev1p05,0.2,1.05,80,2026-05-28,0.399606,0.399606,1.0,1.05,1.05,0.1821163097194916,,False
tv20_lev1p1,0.2,1.1,80,2026-05-28,0.399606,0.399606,1.0,1.1,1.1,0.1821163097194916,,False
tv20_lev1p15,0.2,1.15,80,2026-05-28,0.399606,0.399606,1.0,1.116513748135337,1.116513748135337,0.1821163097194916,,False
tv20_lev1p2,0.2,1.2,80,2026-05-28,0.399606,0.399606,1.0,1.116513748135337,1.116513748135337,0.1821163097194916,,False
tv20_lev1p25,0.2,1.25,80,2026-05-28,0.399606,0.399606,1.0,1.116513748135337,1.116513748135337,0.1821163097194916,,False
tv20_lev1p3,0.2,1.3,80,2026-05-28,0.399606,0.399606,1.0,1.116513748135337,1.116513748135337,0.1821163097194916,,False
tv20_lev1p35,0.2,1.35,80,2026-05-28,0.399606,0.399606,1.0,1.116513748135337,1.116513748135337,0.1821163097194916,,False
tv20_lev1p4,0.2,1.4,80,2026-05-28,0.399606,0.399606,1.0,1.116513748135337,1.116513748135337,0.1821163097194916,,False
tv20_lev1p45,0.2,1.45,80,2026-05-28,0.399606,0.399606,1.0,1.116513748135337,1.116513748135337,0.1821163097194916,,False
tv20_lev1p5,0.2,1.5,80,2026-05-28,0.399606,0.399606,1.0,1.116513748135337,1.116513748135337,0.1821163097194916,,False
tv22_lev0p7,0.225,0.7,80,2026-05-28,0.399606,0.399606,1.0,0.7,0.7,0.1821163097194916,,False
tv22_lev0p75,0.225,0.75,80,2026-05-28,0.399606,0.399606,1.0,0.75,0.75,0.1821163097194916,,False
tv22_lev0p8,0.225,0.8,80,2026-05-28,0.399606,0.399606,1.0,0.8,0.8,0.1821163097194916,,False
tv22_lev0p85,0.225,0.85,80,2026-05-28,0.399606,0.399606,1.0,0.85,0.85,0.1821163097194916,,False
tv22_lev0p9,0.225,0.9,80,2026-05-28,0.399606,0.399606,1.0,0.9,0.9,0.1821163097194916,,False
tv22_lev0p95,0.225,0.95,80,2026-05-28,0.399606,0.399606,1.0,0.95,0.95,0.1821163097194916,,False
tv22_lev1p0,0.225,1.0,80,2026-05-28,0.399606,0.399606,1.0,1.0,1.0,0.1821163097194916,,False
tv22_lev1p05,0.225,1.05,80,2026-05-28,0.399606,0.399606,1.0,1.05,1.05,0.1821163097194916,,False
tv22_lev1p1,0.225,1.1,80,2026-05-28,0.399606,0.399606,1.0,1.1,1.1,0.1821163097194916,,False
tv22_lev1p15,0.225,1.15,80,2026-05-28,0.399606,0.399606,1.0,1.15,1.15,0.1821163097194916,,False
tv22_lev1p2,0.225,1.2,80,2026-05-28,0.399606,0.399606,1.0,1.2,1.2,0.1821163097194916,,False
tv22_lev1p25,0.225,1.25,80,2026-05-28,0.399606,0.399606,1.0,1.25,1.25,0.1821163097194916,,False
tv22_lev1p3,0.225,1.3,80,2026-05-28,0.399606,0.399606,1.0,1.2560779666522541,1.2560779666522541,0.1821163097194916,,False
tv22_lev1p35,0.225,1.35,80,2026-05-28,0.399606,0.399606,1.0,1.2560779666522541,1.2560779666522541,0.1821163097194916,,False
tv22_lev1p4,0.225,1.4,80,2026-05-28,0.399606,0.399606,1.0,1.2560779666522541,1.2560779666522541,0.1821163097194916,,False
tv22_lev1p45,0.225,1.45,80,2026-05-28,0.399606,0.399606,1.0,1.2560779666522541,1.2560779666522541,0.1821163097194916,,False
tv22_lev1p5,0.225,1.5,80,2026-05-28,0.399606,0.399606,1.0,1.2560779666522541,1.2560779666522541,0.1821163097194916,,False
tv25_lev0p7,0.25,0.7,80,2026-05-28,0.399606,0.399606,1.0,0.7,0.7,0.1821163097194916,,False
tv25_lev0p75,0.25,0.75,80,2026-05-28,0.399606,0.399606,1.0,0.75,0.75,0.1821163097194916,,False
tv25_lev0p8,0.25,0.8,80,2026-05-28,0.399606,0.399606,1.0,0.8,0.8,0.1821163097194916,,False
tv25_lev0p85,0.25,0.85,80,2026-05-28,0.399606,0.399606,1.0,0.85,0.85,0.1821163097194916,,False
tv25_lev0p9,0.25,0.9,80,2026-05-28,0.399606,0.399606,1.0,0.9,0.9,0.1821163097194916,,False
tv25_lev0p95,0.25,0.95,80,2026-05-28,0.399606,0.399606,1.0,0.95,0.95,0.1821163097194916,,False
tv25_lev1p0,0.25,1.0,80,2026-05-28,0.399606,0.399606,1.0,1.0,1.0,0.1821163097194916,,False
tv25_lev1p05,0.25,1.05,80,2026-05-28,0.399606,0.399606,1.0,1.05,1.05,0.1821163097194916,,False
tv25_lev1p1,0.25,1.1,80,2026-05-28,0.399606,0.399606,1.0,1.1,1.1,0.1821163097194916,,False
tv25_lev1p15,0.25,1.15,80,2026-05-28,0.399606,0.399606,1.0,1.15,1.15,0.1821163097194916,,False
tv25_lev1p2,0.25,1.2,80,2026-05-28,0.399606,0.399606,1.0,1.2,1.2,0.1821163097194916,,False
tv25_lev1p25,0.25,1.25,80,2026-05-28,0.399606,0.399606,1.0,1.25,1.25,0.1821163097194916,,False
tv25_lev1p3,0.25,1.3,80,2026-05-28,0.399606,0.399606,1.0,1.3,1.3,0.1821163097194916,,False
tv25_lev1p35,0.25,1.35,80,2026-05-28,0.399606,0.399606,1.0,1.35,1.35,0.1821163097194916,,False
tv25_lev1p4,0.25,1.4,80,2026-05-28,0.399606,0.399606,1.0,1.3956421851691714,1.3956421851691714,0.1821163097194916,,False
tv25_lev1p45,0.25,1.45,80,2026-05-28,0.399606,0.399606,1.0,1.3956421851691714,1.3956421851691714,0.1821163097194916,,False
tv25_lev1p5,0.25,1.5,80,2026-05-28,0.399606,0.399606,1.0,1.3956421851691714,1.3956421851691714,0.1821163097194916,,False
tv27_lev0p7,0.275,0.7,80,2026-05-28,0.399606,0.399606,1.0,0.7,0.7,0.1821163097194916,,False
tv27_lev0p75,0.275,0.75,80,2026-05-28,0.399606,0.399606,1.0,0.75,0.75,0.1821163097194916,,False
tv27_lev0p8,0.275,0.8,80,2026-05-28,0.399606,0.399606,1.0,0.8,0.8,0.1821163097194916,,False
tv27_lev0p85,0.275,0.85,80,2026-05-28,0.399606,0.399606,1.0,0.85,0.85,0.1821163097194916,,False
tv27_lev0p9,0.275,0.9,80,2026-05-28,0.399606,0.399606,1.0,0.9,0.9,0.1821163097194916,,False
tv27_lev0p95,0.275,0.95,80,2026-05-28,0.399606,0.399606,1.0,0.95,0.95,0.1821163097194916,,False
tv27_lev1p0,0.275,1.0,80,2026-05-28,0.399606,0.399606,1.0,1.0,1.0,0.1821163097194916,,False
tv27_lev1p05,0.275,1.05,80,2026-05-28,0.399606,0.399606,1.0,1.05,1.05,0.1821163097194916,,False
tv27_lev1p1,0.275,1.1,80,2026-05-28,0.399606,0.399606,1.0,1.1,1.1,0.1821163097194916,,False
tv27_lev1p15,0.275,1.15,80,2026-05-28,0.399606,0.399606,1.0,1.15,1.15,0.1821163097194916,,False
tv27_lev1p2,0.275,1.2,80,2026-05-28,0.399606,0.399606,1.0,1.2,1.2,0.1821163097194916,,False
tv27_lev1p25,0.275,1.25,80,2026-05-28,0.399606,0.399606,1.0,1.25,1.25,0.1821163097194916,,False
tv27_lev1p3,0.275,1.3,80,2026-05-28,0.399606,0.399606,1.0,1.3,1.3,0.1821163097194916,,False
tv27_lev1p35,0.275,1.35,80,2026-05-28,0.399606,0.399606,1.0,1.35,1.35,0.1821163097194916,,False
tv27_lev1p4,0.275,1.4,80,2026-05-28,0.399606,0.399606,1.0,1.4,1.4,0.1821163097194916,,False
tv27_lev1p45,0.275,1.45,80,2026-05-28,0.399606,0.399606,1.0,1.45,1.45,0.1821163097194916,,False
tv27_lev1p5,0.275,1.5,80,2026-05-28,0.399606,0.399606,1.0,1.5,1.5,0.1821163097194916,,False
tv30_lev0p7,0.3,0.7,80,2026-05-28,0.399606,0.399606,1.0,0.7,0.7,0.1821163097194916,,False
tv30_lev0p75,0.3,0.75,80,2026-05-28,0.399606,0.399606,1.0,0.75,0.75,0.1821163097194916,,False
tv30_lev0p8,0.3,0.8,80,2026-05-28,0.399606,0.399606,1.0,0.8,0.8,0.1821163097194916,,False
tv30_lev0p85,0.3,0.85,80,2026-05-28,0.399606,0.399606,1.0,0.85,0.85,0.1821163097194916,,False
tv30_lev0p9,0.3,0.9,80,2026-05-28,0.399606,0.399606,1.0,0.9,0.9,0.1821163097194916,,False
tv30_lev0p95,0.3,0.95,80,2026-05-28,0.399606,0.399606,1.0,0.95,0.95,0.1821163097194916,,False
tv30_lev1p0,0.3,1.0,80,2026-05-28,0.399606,0.399606,1.0,1.0,1.0,0.1821163097194916,,False
tv30_lev1p05,0.3,1.05,80,2026-05-28,0.399606,0.399606,1.0,1.05,1.05,0.1821163097194916,,False
tv30_lev1p1,0.3,1.1,80,2026-05-28,0.399606,0.399606,1.0,1.1,1.1,0.1821163097194916,,False
tv30_lev1p15,0.3,1.15,80,2026-05-28,0.399606,0.399606,1.0,1.15,1.15,0.1821163097194916,,False
tv30_lev1p2,0.3,1.2,80,2026-05-28,0.399606,0.399606,1.0,1.2,1.2,0.1821163097194916,,False
tv30_lev1p25,0.3,1.25,80,2026-05-28,0.399606,0.399606,1.0,1.25,1.25,0.1821163097194916,,False
tv30_lev1p3,0.3,1.3,80,2026-05-28,0.399606,0.399606,1.0,1.3,1.3,0.1821163097194916,,False
tv30_lev1p35,0.3,1.35,80,2026-05-28,0.399606,0.399606,1.0,1.35,1.35,0.1821163097194916,,False
tv30_lev1p4,0.3,1.4,80,2026-05-28,0.399606,0.399606,1.0,1.4,1.4,0.1821163097194916,,False
tv30_lev1p45,0.3,1.45,80,2026-05-28,0.399606,0.399606,1.0,1.45,1.45,0.1821163097194916,,False
tv30_lev1p5,0.3,1.5,80,2026-05-28,0.399606,0.399606,1.0,1.5,1.5,0.1821163097194916,,False
tv32_lev0p7,0.325,0.7,80,2026-05-28,0.399606,0.399606,1.0,0.7,0.7,0.1821163097194916,,False
tv32_lev0p75,0.325,0.75,80,2026-05-28,0.399606,0.399606,1.0,0.75,0.75,0.1821163097194916,,False
tv32_lev0p8,0.325,0.8,80,2026-05-28,0.399606,0.399606,1.0,0.8,0.8,0.1821163097194916,,False
tv32_lev0p85,0.325,0.85,80,2026-05-28,0.399606,0.399606,1.0,0.85,0.85,0.1821163097194916,,False
tv32_lev0p9,0.325,0.9,80,2026-05-28,0.399606,0.399606,1.0,0.9,0.9,0.1821163097194916,,False
tv32_lev0p95,0.325,0.95,80,2026-05-28,0.399606,0.399606,1.0,0.95,0.95,0.1821163097194916,,False
tv32_lev1p0,0.325,1.0,80,2026-05-28,0.399606,0.399606,1.0,1.0,1.0,0.1821163097194916,,False
tv32_lev1p05,0.325,1.05,80,2026-05-28,0.399606,0.399606,1.0,1.05,1.05,0.1821163097194916,,False
tv32_lev1p1,0.325,1.1,80,2026-05-28,0.399606,0.399606,1.0,1.1,1.1,0.1821163097194916,,False
tv32_lev1p15,0.325,1.15,80,2026-05-28,0.399606,0.399606,1.0,1.15,1.15,0.1821163097194916,,False
tv32_lev1p2,0.325,1.2,80,2026-05-28,0.399606,0.399606,1.0,1.2,1.2,0.1821163097194916,,False
tv32_lev1p25,0.325,1.25,80,2026-05-28,0.399606,0.399606,1.0,1.25,1.25,0.1821163097194916,,False
tv32_lev1p3,0.325,1.3,80,2026-05-28,0.399606,0.399606,1.0,1.3,1.3,0.1821163097194916,,False
tv32_lev1p35,0.325,1.35,80,2026-05-28,0.399606,0.399606,1.0,1.35,1.35,0.1821163097194916,,False
tv32_lev1p4,0.325,1.4,80,2026-05-28,0.399606,0.399606,1.0,1.4,1.4,0.1821163097194916,,False
tv32_lev1p45,0.325,1.45,80,2026-05-28,0.399606,0.399606,1.0,1.45,1.45,0.1821163097194916,,False
tv32_lev1p5,0.325,1.5,80,2026-05-28,0.399606,0.399606,1.0,1.5,1.5,0.1821163097194916,,False
tv35_lev0p7,0.35,0.7,80,2026-05-28,0.399606,0.399606,1.0,0.7,0.7,0.1821163097194916,,False
tv35_lev0p75,0.35,0.75,80,2026-05-28,0.399606,0.399606,1.0,0.75,0.75,0.1821163097194916,,False
tv35_lev0p8,0.35,0.8,80,2026-05-28,0.399606,0.399606,1.0,0.8,0.8,0.1821163097194916,,False
tv35_lev0p85,0.35,0.85,80,2026-05-28,0.399606,0.399606,1.0,0.85,0.85,0.1821163097194916,,False
tv35_lev0p9,0.35,0.9,80,2026-05-28,0.399606,0.399606,1.0,0.9,0.9,0.1821163097194916,,False
tv35_lev0p95,0.35,0.95,80,2026-05-28,0.399606,0.399606,1.0,0.95,0.95,0.1821163097194916,,False
tv35_lev1p0,0.35,1.0,80,2026-05-28,0.399606,0.399606,1.0,1.0,1.0,0.1821163097194916,,False
tv35_lev1p05,0.35,1.05,80,2026-05-28,0.399606,0.399606,1.0,1.05,1.05,0.1821163097194916,,False
tv35_lev1p1,0.35,1.1,80,2026-05-28,0.399606,0.399606,1.0,1.1,1.1,0.1821163097194916,,False
tv35_lev1p15,0.35,1.15,80,2026-05-28,0.399606,0.399606,1.0,1.15,1.15,0.1821163097194916,,False
tv35_lev1p2,0.35,1.2,80,2026-05-28,0.399606,0.399606,1.0,1.2,1.2,0.1821163097194916,,False
tv35_lev1p25,0.35,1.25,80,2026-05-28,0.399606,0.399606,1.0,1.25,1.25,0.1821163097194916,,False
tv35_lev1p3,0.35,1.3,80,2026-05-28,0.399606,0.399606,1.0,1.3,1.3,0.1821163097194916,,False
tv35_lev1p35,0.35,1.35,80,2026-05-28,0.399606,0.399606,1.0,1.35,1.35,0.1821163097194916,,False
tv35_lev1p4,0.35,1.4,80,2026-05-28,0.399606,0.399606,1.0,1.4,1.4,0.1821163097194916,,False
tv35_lev1p45,0.35,1.45,80,2026-05-28,0.399606,0.399606,1.0,1.45,1.45,0.1821163097194916,,False
tv35_lev1p5,0.35,1.5,80,2026-05-28,0.399606,0.399606,1.0,1.5,1.5,0.1821163097194916,,False
