variant,stage1_enter,stage1_exit,stage1_scale,stage2_enter,stage2_exit,stage2_scale,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate,rebalanced_days,signal_days,gate1_ratio,gate2_ratio,avg_scale,family,delta_annual,delta_max_dd,delta_sharpe,delta_calmar
hard_plus_crash_brake__15_0.80_8__20_0.40_14,0.15,0.08,0.8,0.2,0.14,0.4,28.209285515818472,19.677394336966902,1.2066476012411125,-20.271026225750383,1.391606187159093,1446.1670661906833,64.66165413533834,601,444,0.10526315789473684,0.02202314296379246,0.9657334826427771,hard_plus_crash_brake,0.20278473580983558,1.1035331911022226,-0.008058091603287743,0.08133352919136305
hard_plus_crash_brake__15_0.80_8__20_0.40_12,0.15,0.08,0.8,0.2,0.12,0.4,28.133866565997877,19.66109738726466,1.2045045578619424,-20.271026225750447,1.3878856577206338,1436.173659635112,64.66165413533834,601,444,0.1019036954087346,0.0253826054497947,0.9643896976483762,hard_plus_crash_brake,0.12736578598924098,1.1035331911021586,-0.010201134982457782,0.07761299975290381
hard_plus_crash_brake__15_0.70_8__22_0.35_14,0.15,0.08,0.7,0.22,0.14,0.35,28.18732911295885,19.567834099972494,1.211450654160462,-20.38785874197544,1.3825546600892182,1443.2516456522956,64.66165413533834,601,444,0.12541993281075028,0.001866368047779022,0.9611608809257185,hard_plus_crash_brake,0.18082833295021317,0.9867006748771665,-0.0032550386839382828,0.07228200212148828
hard_plus_crash_brake__15_0.70_8__22_0.30_14,0.15,0.08,0.7,0.22,0.14,0.3,28.089173283112736,19.557896231500884,1.2080665107363213,-20.38785874197544,1.377740234450491,1430.2793151268138,64.66165413533834,601,444,0.12541993281075028,0.001866368047779022,0.9610675625233295,hard_plus_crash_brake,0.08267250310409935,0.9867006748771665,-0.0066391821080789,0.06746757648276103
hard_plus_crash_brake__15_0.70_8__20_0.40_14,0.15,0.08,0.7,0.2,0.14,0.4,28.055614875845137,19.5443269994837,1.2074284826562136,-20.38785874197544,1.3760942348537553,1425.867012193957,64.66165413533834,601,444,0.10526315789473684,0.02202314296379246,0.9552071668533034,hard_plus_crash_brake,0.04911409583650084,0.9867006748771665,-0.007277210188186611,0.0658215768860253
hard_plus_crash_brake__15_0.70_8__20_0.40_12,0.15,0.08,0.7,0.2,0.12,0.4,27.998852279610386,19.533057511293574,1.205751849667531,-20.38785874197544,1.3733100976398807,1418.430115727275,64.66165413533834,601,444,0.1019036954087346,0.0253826054497947,0.9541993281075029,hard_plus_crash_brake,-0.007648500398250491,0.9867006748771665,-0.008953843176869203,0.0630374396721507
buffer_plus_deeper_hard__9_0.90_6__16_0.50_10,0.09,0.06,0.9,0.16,0.1,0.5,27.80208069975465,19.323180075253777,1.2087676611542522,-20.41980426697573,1.3615253278758421,1392.9040115180267,64.66165413533834,626,444,0.2045539380365808,0.08734602463605823,0.9358715938783128,buffer_plus_deeper_hard,-0.2044200802539855,0.954755149876874,-0.00593803169014806,0.05125266990811217
hard_plus_crash_brake__15_0.80_8__22_0.35_14,0.15,0.08,0.8,0.22,0.14,0.35,28.416711758460433,19.716640508015445,1.2128097640714446,-20.98410976024233,1.3542014449571897,1473.9577535343212,64.66165413533834,601,444,0.12541993281075028,0.001866368047779022,0.9737028742067937,hard_plus_crash_brake,0.4102109784517971,0.39044965661027575,-0.0018959287729556351,0.04392878698945979
buffer_plus_deeper_hard__9_0.85_6__16_0.50_10,0.09,0.06,0.85,0.16,0.1,0.5,27.395356038374217,19.136576891353087,1.2020936826051898,-20.270304440338766,1.3515019529680223,1341.3743970730775,64.66165413533834,626,444,0.2045539380365808,0.08734602463605823,0.9256438969764839,buffer_plus_deeper_hard,-0.6111447416344191,1.1042549765138396,-0.012612010239210436,0.041229295000292376
hard_plus_crash_brake__15_0.80_8__22_0.30_14,0.15,0.08,0.8,0.22,0.14,0.3,28.31837976743834,19.70676424381484,1.2094479161506848,-20.98410976024233,1.349515423384409,1460.7272428826761,64.66165413533834,601,444,0.12541993281075028,0.001866368047779022,0.9736095558044047,hard_plus_crash_brake,0.3118789874297043,0.39044965661027575,-0.00525777669371541,0.03924276541667915
buffer_plus_deeper_hard__9_0.90_6__16_0.45_10,0.09,0.06,0.9,0.16,0.1,0.45,27.647777268296416,19.283154375223386,1.2046392056672124,-20.60910405619416,1.3415322273549661,1373.1607071751698,64.66165413533834,626,444,0.2045539380365808,0.08734602463605823,0.9315042926465099,buffer_plus_deeper_hard,-0.3587235117122205,0.7654553606584464,-0.010066487177187833,0.031259569387236175
buffer_plus_deeper_hard__9_0.90_7__16_0.50_10,0.09,0.07,0.9,0.16,0.1,0.5,27.852366120532103,19.38876023055112,1.2073496746299994,-20.776862364009233,1.3405472699660093,1399.3898774704055,63.90977443609023,632,444,0.1799178798058977,0.08734602463605823,0.9383351997013811,buffer_plus_deeper_hard,-0.15413465947653293,0.5976970528433725,-0.007356018214400795,0.0302746119982793
buffer_plus_deeper_hard__9_0.90_5__16_0.50_10,0.09,0.05,0.9,0.16,0.1,0.5,27.604472727533015,19.26953281085647,1.20360751123368,-20.635766684641585,1.3377003699154038,1367.6626663781549,64.66165413533834,625,444,0.21761851437103397,0.08734602463605823,0.9345651362448674,buffer_plus_deeper_hard,-0.4020280524756217,0.7387927322110208,-0.011098181610720292,0.027427711947673794
buffer_plus_deeper_hard__9_0.85_6__16_0.45_10,0.09,0.06,0.85,0.16,0.1,0.45,27.24154447544307,19.096159878281068,1.1979355574686688,-20.459957193152782,1.33145657238031,1322.3126588511993,64.66165413533834,626,444,0.2045539380365808,0.08734602463605823,0.9212765957446807,buffer_plus_deeper_hard,-0.7649563045655654,0.9146022236998235,-0.016770135375731465,0.02118391441258005
buffer_plus_deeper_hard__8_0.90_6__16_0.50_10,0.08,0.06,0.9,0.16,0.1,0.5,27.686266421970874,19.290647832652137,1.2057985492166843,-20.84506483357623,1.328192866897452,1378.063088015407,64.66165413533834,638,444,0.22508398656215006,0.08734602463605823,0.9338185890257558,buffer_plus_deeper_hard,-0.32023435803776223,0.5294945832763744,-0.008907143627715941,0.017920208929722126
buffer_plus_deeper_hard__8_0.90_5__16_0.50_10,0.08,0.05,0.9,0.16,0.1,0.5,27.620862444433026,19.215963022196686,1.2070872210159211,-20.87818186887648,1.3229534361709911,1369.741343043272,64.66165413533834,629,444,0.24300111982082867,0.08734602463605823,0.9320268756998881,buffer_plus_deeper_hard,-0.3856383355756101,0.4963775479761239,-0.007618471828479079,0.01268077820326119
