variant,decay_ratio_threshold,recovery_ratio_threshold,derisk_scale,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate,rebalanced_days,signal_days,overlay_days,overlay_ratio,trigger_count,recovery_count,avg_scale,annual_delta,max_dd_delta,sharpe_delta,calmar_delta
pair_score_decay40_rec70_x0p00,0.4,0.7,0.0,30.629351465976228,20.15514259267247,1.2748550110711399,-20.772615707100783,1.4745062392650954,1809.7465577091384,64.66165413533834,626,445,78,0.029061102831594635,34,34,0.9709388971684053,0.4322807754891329,1.6363185420135942,0.02527210271976732,0.1269601955847488
pair_score_decay40_rec75_x0p00,0.4,0.75,0.0,30.629351465976228,20.15514259267247,1.2748550110711399,-20.772615707100783,1.4745062392650954,1809.7465577091384,64.66165413533834,626,445,78,0.029061102831594635,34,34,0.9709388971684053,0.4322807754891329,1.6363185420135942,0.02527210271976732,0.1269601955847488
pair_score_decay40_rec80_x0p00,0.4,0.8,0.0,30.629351465976228,20.15514259267247,1.2748550110711399,-20.772615707100783,1.4745062392650954,1809.7465577091384,64.66165413533834,626,445,78,0.029061102831594635,34,34,0.9709388971684053,0.4322807754891329,1.6363185420135942,0.02527210271976732,0.1269601955847488
pair_score_decay40_rec85_x0p00,0.4,0.85,0.0,30.629351465976228,20.15514259267247,1.2748550110711399,-20.772615707100783,1.4745062392650954,1809.7465577091384,64.66165413533834,626,445,78,0.029061102831594635,34,34,0.9709388971684053,0.4322807754891329,1.6363185420135942,0.02527210271976732,0.1269601955847488
pair_score_decay40_rec90_x0p00,0.4,0.9,0.0,30.629351465976228,20.15514259267247,1.2748550110711399,-20.772615707100783,1.4745062392650954,1809.7465577091384,64.66165413533834,626,445,78,0.029061102831594635,34,34,0.9709388971684053,0.4322807754891329,1.6363185420135942,0.02527210271976732,0.1269601955847488
pair_score_decay40_rec65_x0p00,0.4,0.65,0.0,30.526774138832337,20.15665099125625,1.270891092493031,-20.77261570710079,1.4695681357257884,1793.2571328525291,64.66165413533834,628,445,74,0.027570789865871834,34,34,0.9724292101341282,0.3297034483452421,1.636318542013587,0.02130818414165847,0.12202209204544179
pair_score_decay40_rec60_x0p00,0.4,0.6,0.0,30.28077478266993,20.168803148923036,1.2609281851021292,-20.772615707100766,1.4577256523509923,1754.2387104477789,64.66165413533834,628,445,73,0.027198211624441134,34,34,0.9728017883755589,0.0837040921828347,1.636318542013612,0.011345276750756694,0.11017960867064569
pair_score_decay39_rec70_x0p00,0.39,0.7,0.0,30.431055141520513,20.157999910094667,1.2671929660297865,-20.95173238239031,1.4524362275215705,1777.9870845232506,64.66165413533834,624,445,72,0.026825633383010434,32,32,0.9731743666169895,0.23398445103341814,1.4572018667240663,0.01761005767841395,0.10489018384122395
pair_score_decay39_rec75_x0p00,0.39,0.75,0.0,30.431055141520513,20.157999910094667,1.2671929660297865,-20.95173238239031,1.4524362275215705,1777.9870845232506,64.66165413533834,624,445,72,0.026825633383010434,32,32,0.9731743666169895,0.23398445103341814,1.4572018667240663,0.01761005767841395,0.10489018384122395
pair_score_decay39_rec80_x0p00,0.39,0.8,0.0,30.431055141520513,20.157999910094667,1.2671929660297865,-20.95173238239031,1.4524362275215705,1777.9870845232506,64.66165413533834,624,445,72,0.026825633383010434,32,32,0.9731743666169895,0.23398445103341814,1.4572018667240663,0.01761005767841395,0.10489018384122395
