config_id,equity_lb,real_lb,bond_lb,btc_lb,btc_thr,folds_beating_base_sharpe,folds_beating_base_cagr,folds_better_dd,min_fold_sharpe,median_fold_sharpe,std_fold_sharpe,min_fold_cagr,median_fold_cagr,std_fold_cagr,worst_fold_dd,consistency_score
eq200_ra60_bd100_btc60_thr05,200,60,100,60,0.05,1,1,3,0.45294216664968584,0.898527710906536,0.21801452900408647,0.0398063572029026,0.04575083772080024,0.03216913047044658,-0.11806378269655474,0.6585939963526892
eq200_ra60_bd100_btc120_thr00,200,60,100,120,0.0,1,1,3,0.40588926453777746,0.898527710906536,0.2401590446429576,0.03945773382191042,0.04575083772080024,0.03226209003130795,-0.11806378269655474,0.6408319040611616
eq200_ra60_bd100_btc120_thr05,200,60,100,120,0.05,1,1,3,0.3645464016499397,0.898527710906536,0.2596213776404642,0.034716310083810376,0.04575083772080024,0.033580727454500005,-0.12750867685791567,0.6151578247901994
eq200_ra60_bd100_btc60_thr00,200,60,100,60,0.0,1,1,3,0.32417564076384725,0.898527710906536,0.2786297155760065,0.028575315436901505,0.04575083772080024,0.03542551663112218,-0.11847150309806873,0.6080659336133013
eq80_ra140_bd40_btc60_thr05,80,140,40,60,0.05,1,1,2,0.21070879933305406,0.8187840855131325,0.29473268844644634,0.022566394529802913,0.13618193921109212,0.060743526701401415,-0.176022599084368,0.580876481137545
eq80_ra140_bd40_btc120_thr00,80,140,40,120,0.0,1,1,2,0.21070879933305406,0.8109285012981621,0.29304803354313064,0.022566394529802913,0.13618193921109212,0.06154099466994142,-0.176022599084368,0.5739698868609568
eq80_ra140_bd40_btc120_thr05,80,140,40,120,0.05,1,1,2,0.21070879933305406,0.7852008607477544,0.28779532261742147,0.022566394529802913,0.13618193921109212,0.059470904952562596,-0.176022599084368,0.5534794599098061
eq200_ra140_bd40_btc60_thr05,200,140,40,60,0.05,2,2,3,0.2735060485595896,0.7165811956743585,0.21109006445448816,0.01544747978950256,0.09040190404674942,0.04006153728234451,-0.117665303254789,0.5456159282849309
eq80_ra140_bd40_btc60_thr00,80,140,40,60,0.0,1,1,2,0.21070879933305406,0.7700184826160071,0.2848924657750691,0.022566394529802913,0.13618193921109212,0.05815288043412914,-0.176022599084368,0.5412783795111574
eq200_ra140_bd40_btc120_thr00,200,140,40,120,0.0,2,2,3,0.2735060485595896,0.7113351601809531,0.20764217026796752,0.01544747978950256,0.09040190404674942,0.040901193510273326,-0.11950530317264434,0.5408683801089222
eq200_ra140_bd100_btc120_thr00,200,140,100,120,0.0,2,1,3,0.5452294233871504,0.6195164127733795,0.11895086716196406,0.053492447416542355,0.08279626197173418,0.02377527517205056,-0.11950530317264417,0.5171571712427401
eq200_ra140_bd100_btc60_thr05,200,140,100,60,0.05,2,1,3,0.5493384060565194,0.6195164127733795,0.11759472883989945,0.053492447416542355,0.07999237928127001,0.023807136969622944,-0.11792393077997489,0.5156016993585787
eq200_ra140_bd40_btc120_thr05,200,140,40,120,0.05,2,2,3,0.2735060485595896,0.6787445945216193,0.20054522169741434,0.01544747978950256,0.09040190404674942,0.03897651448614664,-0.11950530317264398,0.5149177128180946
eq200_ra140_bd40_btc60_thr00,200,140,40,60,0.0,2,2,3,0.2735060485595896,0.6662874607926916,0.198080310187266,0.01544747978950256,0.09040190404674942,0.03781813228186902,-0.117665303254789,0.5068516993172795
eq200_ra140_bd100_btc120_thr05,200,140,100,120,0.05,2,1,3,0.5092882857884709,0.6195164127733795,0.1314348236333572,0.053492447416542355,0.07611578266784891,0.023971459158672267,-0.11950530317264428,0.4970511951164867
eq200_ra140_bd100_btc60_thr00,200,140,100,60,0.0,2,1,3,0.4959494731995515,0.6195164127733795,0.1363131149251752,0.053492447416542355,0.07258567308906505,0.024240266998585468,-0.11792393077997489,0.48930036618756934
eq80_ra140_bd100_btc60_thr05,80,140,100,60,0.05,1,1,2,0.3336203747210942,0.6575783761103545,0.30872983918603303,0.042108701601673904,0.12594927509712983,0.05825001202461017,-0.16952823685937277,0.40086517453554493
eq80_ra140_bd100_btc120_thr00,80,140,100,120,0.0,1,1,2,0.3336203747210942,0.6522729003231635,0.3089419936095654,0.042108701601673904,0.12799273842034986,0.0583583504312354,-0.16952823685937277,0.39840100099104553
eq80_ra140_bd100_btc120_thr05,80,140,100,120,0.05,1,1,2,0.3336203747210942,0.6195580851977285,0.31069212427761334,0.042108701601673904,0.11987719924893314,0.05802133766157178,-0.1894190100765919,0.3323905057416597
eq80_ra140_bd100_btc60_thr00,80,140,100,60,0.0,1,1,2,0.3336203747210942,0.6106714606912778,0.3112978113929197,0.042108701601673904,0.11716307094288703,0.05796456128094071,-0.19394026127715372,0.3144552760736485
eq80_ra60_bd40_btc60_thr05,80,60,40,60,0.05,1,0,3,0.28263316167368013,0.528958961961859,0.2439759556717048,0.031145320820431532,0.07406872607210824,0.038656993018586695,-0.1626715843455226,0.26288120567784157
eq80_ra60_bd40_btc120_thr00,80,60,40,120,0.0,1,0,3,0.28263316167368013,0.5126464364575923,0.24485371939212938,0.031145320820431532,0.0755580414388346,0.038626073167281005,-0.1626715843455226,0.2481159021729776
eq80_ra60_bd40_btc120_thr05,80,60,40,120,0.05,1,0,3,0.28263316167368013,0.483382563125565,0.24702120168885763,0.031145320820431532,0.0701462431584885,0.03879914856402065,-0.1626715843455226,0.20891380788467864
eq80_ra60_bd40_btc60_thr00,80,60,40,60,0.0,0,0,3,0.28263316167368013,0.45305654002581697,0.25005176131858564,0.031145320820431532,0.06370808144489981,0.03922077924084232,-0.1632434045140437,0.16572345900383326
eq80_ra60_bd100_btc60_thr05,80,60,100,60,0.05,0,0,3,0.35927282832778756,0.41177419362176504,0.3672315708047797,0.04744753086905962,0.05025774449447895,0.05829791213163129,-0.1823552793690298,-0.018128681715185734
eq80_ra60_bd100_btc120_thr00,80,60,100,120,0.0,0,0,3,0.3532229620580263,0.41177419362176504,0.3688069555717023,0.04889993299724371,0.05025774449447895,0.05794693927266864,-0.19357951420926728,-0.030437737939479986
eq80_ra60_bd100_btc120_thr05,80,60,100,120,0.05,0,0,2,0.3231360045092006,0.41177419362176504,0.37686440410143834,0.04362238100273341,0.05025774449447895,0.05925017512462763,-0.21549020885403722,-0.05944600933401829
eq80_ra60_bd100_btc60_thr00,80,60,100,60,0.0,0,0,2,0.28929170229650836,0.41177419362176504,0.38634975607489075,0.03734363881528746,0.05025774449447895,0.06089678145218377,-0.23262328256940762,-0.08499066779192864
eq200_ra60_bd40_btc60_thr05,200,60,40,60,0.05,3,1,3,0.7091895238417195,0.7643462413303582,1.5840824988518116,0.009756403334597152,0.06235235628489222,0.0328961129223098,-0.11806378269655517,-0.5439030624814629
eq200_ra60_bd40_btc120_thr00,200,60,40,120,0.0,3,1,3,0.6276649372687899,0.7643462413303582,1.6041087874993223,0.009756403334597152,0.06199617374408706,0.03286521535783822,-0.11806378269655517,-0.5604429184284433
eq200_ra60_bd40_btc120_thr05,200,60,40,120,0.05,3,1,3,0.5869717596214332,0.7643462413303582,1.6143543287587718,0.009756403334597152,0.0571519016308657,0.03252823776027655,-0.11806378269655517,-0.5757372708070542
eq200_ra60_bd40_btc60_thr00,200,60,40,60,0.0,3,1,3,0.5630205881831436,0.7643462413303582,1.620460526031304,0.009756403334597152,0.050877833559804575,0.032327197893935025,-0.11806378269655517,-0.589932810798501
