variant,period,start,end,days,cagr,max_dd,sharpe,total_return,rebalanced_days,avg_turnover_rebal,avg_bil
weekly_baseline,P1_2003_2012,2003-08-22,2012-12-31,2356,0.1349292359252583,-0.20681096023783535,0.7959877934182549,2.269993910532871,197,0.8901875852497422,0.03782878334556528
weekly_baseline,P2_2013_2016,2013-01-02,2016-12-31,1267,0.08779122685054253,-0.20218184438763237,0.5833848764735733,0.39952962160608085,109,1.152922636162612,0.09848665324085834
weekly_baseline,P3_2017_2020,2017-01-01,2020-12-31,1461,0.2492347565179467,-0.11005131889283694,1.3193368306321114,1.4339499198494354,112,1.186298377578805,0.08584829269950965
weekly_baseline,P4_2021_2026,2021-01-01,2026-03-18,1903,0.08921290178742858,-0.19472603451751297,0.4693042727063653,0.5604892637945003,161,1.3126974168751369,0.14002059590270094
weekly_plus_score_15%,P1_2003_2012,2003-08-22,2012-12-31,2356,0.13466308144351302,-0.20719435341847925,0.7987983055992195,2.2628226566407275,264,0.9798418361016688,0.036134432095020874
weekly_plus_score_15%,P2_2013_2016,2013-01-02,2016-12-31,1267,0.09214057924077035,-0.21994189822576252,0.6108166702447055,0.4220162974493171,125,1.1696791463324594,0.10084487808251986
weekly_plus_score_15%,P3_2017_2020,2017-01-01,2020-12-31,1461,0.2215744407774516,-0.1268243109681728,1.206106723205042,1.2255726490748908,141,1.1636594339576787,0.08697256680114307
weekly_plus_score_15%,P4_2021_2026,2021-01-01,2026-03-18,1903,0.06711321210393417,-0.23109725647206136,0.3770029536008957,0.4025008140576458,193,1.2673893496400284,0.13631255049284072
weekly_plus_score_20%,P1_2003_2012,2003-08-22,2012-12-31,2356,0.13471082450105176,-0.20698947536058093,0.7994949068861953,2.264108008533632,251,0.9559341349475867,0.03603553275886197
weekly_plus_score_20%,P2_2013_2016,2013-01-02,2016-12-31,1267,0.1042200321714919,-0.21664458477289103,0.6766421719513104,0.48589022855553465,121,1.1524328676551252,0.09920041778125396
weekly_plus_score_20%,P3_2017_2020,2017-01-01,2020-12-31,1461,0.21771226332057636,-0.12644977992331982,1.1873631712513444,1.1975790712895886,140,1.1702530159938658,0.08697256680114307
weekly_plus_score_20%,P4_2021_2026,2021-01-01,2026-03-18,1903,0.07233263554092995,-0.22931912574349292,0.3991988137665946,0.43859227676619805,188,1.2778976792980552,0.13709943623351098
weekly_plus_score_30%,P1_2003_2012,2003-08-22,2012-12-31,2356,0.14215413873455485,-0.20726672814539673,0.8355071244181946,2.4701196505138086,232,0.9328742003050816,0.03659970610570871
weekly_plus_score_30%,P2_2013_2016,2013-01-02,2016-12-31,1267,0.10718057888662802,-0.19053448188489885,0.6933576152498608,0.5018678123422922,119,1.082564146119193,0.09920047527642875
weekly_plus_score_30%,P3_2017_2020,2017-01-01,2020-12-31,1461,0.22139944085716,-0.11237129121111225,1.199205011823071,1.22429847407347,127,1.1678046821915613,0.08690767555388083
weekly_plus_score_30%,P4_2021_2026,2021-01-01,2026-03-18,1903,0.08287189361896319,-0.22944782778462808,0.4441324011141874,0.513757907363378,186,1.241047187422769,0.13712157863358004
weekly_plus_score_40%,P1_2003_2012,2003-08-22,2012-12-31,2356,0.13439873710632333,-0.2074402802725297,0.7990396536031915,2.2557140823436805,234,0.9238703220201581,0.03650307961357568
weekly_plus_score_40%,P2_2013_2016,2013-01-02,2016-12-31,1267,0.10800855797285336,-0.19053448188489933,0.6979146365055972,0.5063592350535879,119,1.0853186168530973,0.09920107964092494
weekly_plus_score_40%,P3_2017_2020,2017-01-01,2020-12-31,1461,0.22564607087986732,-0.11752677285937373,1.2194441565808283,1.255373009631081,121,1.1829913072728129,0.0882362050663003
weekly_plus_score_40%,P4_2021_2026,2021-01-01,2026-03-18,1903,0.08852052035013669,-0.2313019726099311,0.4686539994047833,0.5553306507247013,179,1.2509886409387532,0.13721511228652217
