variant,decay_ratio_threshold,recovery_ratio_threshold,derisk_scale,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate,signal_days,overlay_days,overlay_ratio,trigger_count,recovery_count,avg_scale,annual_delta,max_dd_delta,sharpe_delta,calmar_delta
baseline_no_overlay,,,,26.490930723219886,21.55678548395511,1.0645016197671473,-35.0907325441004,0.7549266943893895,13618.587704733005,59.523809523809526,606,0,0.0,0,0,1.0,0.0,0.0,0.0,0.0
bias_decay20_rec40_x0.50,0.2,0.4,0.5,26.089636835097973,21.525697787842933,1.0509034488727318,-35.09073254410037,0.7434908006639575,12735.41194324588,58.730158730158735,606,28,0.0054988216810683424,10,10,0.9972505891594659,-0.4012938881219128,2.842170943040401e-14,-0.013598170894415507,-0.011435893725432078
bias_decay20_rec50_x0.50,0.2,0.5,0.5,26.075267366911902,21.52471513244361,1.0504097814893993,-35.09073254410037,0.7430813059870364,12704.814007266177,58.730158730158735,606,32,0.006284367635506678,10,10,0.9968578161822467,-0.41566335630798434,2.842170943040401e-14,-0.014091838277747959,-0.011845388402353163
bias_decay20_rec60_x0.50,0.2,0.6,0.5,26.071719059027608,21.52470711569963,1.0502787424457576,-35.09073254410037,0.7429801878961035,12697.269042082638,58.730158730158735,606,33,0.006480754124116261,10,10,0.9967596229379418,-0.41921166419227873,2.842170943040401e-14,-0.014222877321389715,-0.011946506493285991
bias_decay20_rec70_x0.50,0.2,0.7,0.5,26.071719059027608,21.52470711569963,1.0502787424457576,-35.09073254410037,0.7429801878961035,12697.269042082638,58.730158730158735,606,33,0.006480754124116261,10,10,0.9967596229379418,-0.41921166419227873,2.842170943040401e-14,-0.014222877321389715,-0.011946506493285991
bias_decay20_rec80_x0.50,0.2,0.8,0.5,26.071719059027608,21.52470711569963,1.0502787424457576,-35.09073254410037,0.7429801878961035,12697.269042082638,58.730158730158735,606,33,0.006480754124116261,10,10,0.9967596229379418,-0.41921166419227873,2.842170943040401e-14,-0.014222877321389715,-0.011946506493285991
bias_decay20_rec90_x0.50,0.2,0.9,0.5,26.071719059027608,21.52470711569963,1.0502787424457576,-35.09073254410037,0.7429801878961035,12697.269042082638,58.730158730158735,606,33,0.006480754124116261,10,10,0.9967596229379418,-0.41921166419227873,2.842170943040401e-14,-0.014222877321389715,-0.011946506493285991
bias_decay20_rec40_x0.25,0.2,0.4,0.25,25.887308304877756,21.518688076674554,1.0436793423033275,-35.090732544100426,0.7377249327110448,12310.921196970292,57.936507936507944,606,28,0.0054988216810683424,10,10,0.9958758837391988,-0.6036224183421304,-2.842170943040401e-14,-0.020822277463819816,-0.01720176167834475
bias_decay20_rec50_x0.25,0.2,0.5,0.25,25.865709996633313,21.517509137916605,1.0429237876299124,-35.090732544100426,0.7371094337835915,12266.405470449981,57.936507936507944,606,32,0.006284367635506678,10,10,0.99528672427337,-0.6252207265865728,-2.842170943040401e-14,-0.021577832137234854,-0.017817260605798024
bias_decay20_rec60_x0.25,0.2,0.6,0.25,25.860395635731457,21.517499883032848,1.0427270247747156,-35.090732544100426,0.7369579875037175,12255.47550707834,57.936507936507944,606,33,0.006480754124116261,10,10,0.9951394344069128,-0.630535087488429,-2.842170943040401e-14,-0.02177459499243173,-0.01796870688567198
bias_decay20_rec70_x0.25,0.2,0.7,0.25,25.860395635731457,21.517499883032848,1.0427270247747156,-35.090732544100426,0.7369579875037175,12255.47550707834,57.936507936507944,606,33,0.006480754124116261,10,10,0.9951394344069128,-0.630535087488429,-2.842170943040401e-14,-0.02177459499243173,-0.01796870688567198
bias_decay20_rec80_x0.25,0.2,0.8,0.25,25.860395635731457,21.517499883032848,1.0427270247747156,-35.090732544100426,0.7369579875037175,12255.47550707834,57.936507936507944,606,33,0.006480754124116261,10,10,0.9951394344069128,-0.630535087488429,-2.842170943040401e-14,-0.02177459499243173,-0.01796870688567198
bias_decay20_rec90_x0.25,0.2,0.9,0.25,25.860395635731457,21.517499883032848,1.0427270247747156,-35.090732544100426,0.7369579875037175,12255.47550707834,57.936507936507944,606,33,0.006480754124116261,10,10,0.9951394344069128,-0.630535087488429,-2.842170943040401e-14,-0.02177459499243173,-0.01796870688567198
bias_decay30_rec40_x0.50,0.3,0.4,0.5,25.77848397638036,21.4839643747872,1.040974027180703,-35.09073254410039,0.7346237056745158,12088.16826336256,57.14285714285714,606,61,0.011979575805184604,23,23,0.9940102120974077,-0.7124467468395252,7.105427357601002e-15,-0.023527592586444213,-0.020302988714873682
bias_decay30_rec50_x0.50,0.3,0.5,0.5,25.764149967897552,21.48297923832993,1.0404790667675594,-35.09073254410039,0.7342152215123573,12059.113271292112,57.14285714285714,606,65,0.012765121759622938,23,23,0.9936174391201885,-0.7267807553223342,7.105427357601002e-15,-0.024022552999587887,-0.020711472877032233
bias_decay30_rec60_x0.50,0.3,0.6,0.5,25.76061041621376,21.482971067184817,1.0403477769200264,-35.09073254410039,0.7341143529517097,12051.948771577983,57.14285714285714,606,66,0.012961508248232521,23,23,0.9935192458758837,-0.7303203070061279,7.105427357601002e-15,-0.024153842847120854,-0.02081234143767985
bias_decay30_rec70_x0.50,0.3,0.7,0.5,25.76061041621376,21.482971067184817,1.0403477769200264,-35.09073254410039,0.7341143529517097,12051.948771577983,57.14285714285714,606,66,0.012961508248232521,23,23,0.9935192458758837,-0.7303203070061279,7.105427357601002e-15,-0.024153842847120854,-0.02081234143767985
bias_decay30_rec80_x0.50,0.3,0.8,0.5,25.76061041621376,21.482971067184817,1.0403477769200264,-35.09073254410039,0.7341143529517097,12051.948771577983,57.14285714285714,606,66,0.012961508248232521,23,23,0.9935192458758837,-0.7303203070061279,7.105427357601002e-15,-0.024153842847120854,-0.02081234143767985
bias_decay30_rec90_x0.50,0.3,0.9,0.5,25.76061041621376,21.482971067184817,1.0403477769200264,-35.09073254410039,0.7341143529517097,12051.948771577983,57.14285714285714,606,66,0.012961508248232521,23,23,0.9935192458758837,-0.7303203070061279,7.105427357601002e-15,-0.024153842847120854,-0.02081234143767985
bias_decay20_rec40_x0.00,0.2,0.4,0.0,25.68385027907052,21.517367208772804,1.0361790377760245,-35.09073254410041,0.7319268768981166,11897.561839625461,57.936507936507944,606,28,0.0054988216810683424,10,10,0.9945011783189317,-0.8070804441493671,-1.4210854715202004e-14,-0.02832258199112281,-0.02299981749127289
bias_decay20_rec50_x0.00,0.2,0.5,0.0,25.654994107469964,21.516189260026273,1.035152048961999,-35.09073254410041,0.7311045466271744,11840.008204189631,57.936507936507944,606,32,0.006284367635506678,10,10,0.9937156323644933,-0.8359366157499224,-1.4210854715202004e-14,-0.02934957080514833,-0.02382214776221514
bias_decay20_rec60_x0.00,0.2,0.6,0.0,25.64791916232729,21.516180618722906,1.0348895000068656,-35.09073254410041,0.7309029280051128,11825.937410792665,57.936507936507944,606,33,0.006480754124116261,10,10,0.9935192458758837,-0.8430115608925952,-1.4210854715202004e-14,-0.029612119760281663,-0.024023766384276724
bias_decay20_rec70_x0.00,0.2,0.7,0.0,25.64791916232729,21.516180618722906,1.0348895000068656,-35.09073254410041,0.7309029280051128,11825.937410792665,57.936507936507944,606,33,0.006480754124116261,10,10,0.9935192458758837,-0.8430115608925952,-1.4210854715202004e-14,-0.029612119760281663,-0.024023766384276724
bias_decay20_rec80_x0.00,0.2,0.8,0.0,25.64791916232729,21.516180618722906,1.0348895000068656,-35.09073254410041,0.7309029280051128,11825.937410792665,57.936507936507944,606,33,0.006480754124116261,10,10,0.9935192458758837,-0.8430115608925952,-1.4210854715202004e-14,-0.029612119760281663,-0.024023766384276724
bias_decay20_rec90_x0.00,0.2,0.9,0.0,25.64791916232729,21.516180618722906,1.0348895000068656,-35.09073254410041,0.7309029280051128,11825.937410792665,57.936507936507944,606,33,0.006480754124116261,10,10,0.9935192458758837,-0.8430115608925952,-1.4210854715202004e-14,-0.029612119760281663,-0.024023766384276724
bias_decay40_rec90_x0.50,0.4,0.9,0.5,25.15465164085484,21.350340794291174,1.0227482306537343,-34.628563402890386,0.7264133758074187,10882.912142050609,56.74603174603175,606,139,0.027297721916732128,46,46,0.986351139041634,-1.3362790823650457,0.46216914121001196,-0.041753389113412975,-0.028513318581970815
bias_decay40_rec50_x0.50,0.4,0.5,0.5,25.11666921384983,21.38005644457501,1.0202027301522842,-34.628563402890386,0.7253165232882108,10813.320992259143,56.74603174603175,606,122,0.023959151610369208,46,46,0.9880204241948154,-1.3742615093700579,0.46216914121001196,-0.04429888961486306,-0.029610171101178695
bias_decay40_rec60_x0.50,0.4,0.6,0.5,25.101848327314237,21.359134234564873,1.020430748942292,-34.628563402890386,0.7248885272907114,10786.28031898178,56.74603174603175,606,133,0.026119402985074626,46,46,0.9869402985074627,-1.3890823959056497,0.46216914121001196,-0.04407087082485539,-0.030038167098678126
