variant,decay_ratio_threshold,recovery_ratio_threshold,derisk_scale,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate,rebalanced_days,signal_days,volreg_days,overlay_days,overlay_ratio,overlay_asset_days,avg_removed_weight,trigger_count,recovery_count,annual_delta_vs_base,maxdd_delta_vs_base
asset_decay20_rec55_x0p80,0.2,0.55,0.8,17.89016290850325,15.627660339181517,1.1334711936911546,-18.669519459385572,0.9582551359943802,1915.1464364823028,65.0,907,953,164,1002,0.21825310389893268,1138,0.01781696578571088,95,22,-2.2603435947431407,2.119728790404622
asset_decay20_rec50_x0p80,0.2,0.5,0.8,17.877105432875638,15.645089919979982,1.1316752235940517,-18.669519459385572,0.9575557352596148,1911.077476507363,65.0,907,953,164,945,0.20583750816815508,1052,0.0164834649414815,96,24,-2.2734010703707526,2.119728790404622
asset_decay20_rec60_x0p80,0.2,0.6,0.8,17.828453214381558,15.622117757045787,1.1304586660800353,-18.669519459385572,0.9549497646774624,1895.9847815127407,65.0,907,953,164,1038,0.22609453278152908,1184,0.018604991194554873,94,20,-2.322053288864833,2.119728790404622
asset_decay20_rec65_x0p80,0.2,0.65,0.8,17.804123584075814,15.600634622411471,1.130472637982511,-18.669519459385572,0.9536465907870647,1888.4775584491629,64.54545454545455,907,953,164,1101,0.23981703332607276,1263,0.021112578435237974,91,17,-2.3463829191705763,2.119728790404622
asset_decay25_rec55_x0p80,0.25,0.55,0.8,17.87494340180693,15.563577979583016,1.1366637862888014,-18.80640818144267,0.9504708836132321,1910.4044959676432,64.54545454545455,907,953,164,1199,0.2611631452842518,1389,0.0224160409118873,104,29,-2.2755631014394595,1.9828400683475245
asset_decay25_rec50_x0p80,0.25,0.5,0.8,17.86523240249258,15.583353801290942,1.1348906151986804,-18.80640818144267,0.9499545171055683,1907.3843545637346,64.54545454545455,907,953,164,1127,0.24548028751905904,1289,0.020860457271611905,108,33,-2.28527410075381,1.9828400683475245
asset_decay20_rec70_x0p80,0.2,0.7,0.8,17.717425548903233,15.585701088791529,1.126672133404841,-18.669519459385572,0.9490027628963047,1861.9421812415749,64.54545454545455,907,953,164,1191,0.2594206055325637,1383,0.02386340186763473,90,15,-2.4330809543431577,2.119728790404622
asset_decay20_rec55_x0p70,0.2,0.55,0.7,17.7257502042365,15.508407216372433,1.131965245673112,-18.723310950926635,0.9467209218869078,1864.4754806283527,64.54545454545455,907,953,164,1002,0.21825310389893268,1138,0.02672544867856633,95,22,-2.424756299009889,2.0659372988635596
asset_decay20_rec75_x0p80,0.2,0.75,0.8,17.66693439236533,15.575367798184732,1.124556187792744,-18.669519459385572,0.9462982928295876,1846.6431114036006,64.54545454545455,907,953,164,1262,0.2748856458287955,1459,0.024636596757988426,88,13,-2.4835721108810596,2.119728790404622
asset_decay25_rec60_x0p80,0.25,0.6,0.8,17.79689815790193,15.555558486939274,1.1329022076197248,-18.816334646568755,0.9458217284176158,1886.2532044837178,64.54545454545455,907,953,164,1262,0.2748856458287955,1463,0.023618689237702557,102,26,-2.353608345344462,1.9729136032214392
asset_decay20_rec50_x0p70,0.2,0.5,0.7,17.70641728777349,15.533515943969517,1.129329800673403,-18.723310950926635,0.9456883632484447,1858.5969673044583,64.54545454545455,907,953,164,945,0.20583750816815508,1052,0.024725197412222257,96,24,-2.4440892154729,2.0659372988635596
asset_decay25_rec65_x0p80,0.25,0.65,0.8,17.73415155962812,15.533917467629074,1.130825478192839,-18.816334646568755,0.9424870407936768,1867.035255266958,64.54545454545455,907,953,164,1325,0.28860814637333915,1542,0.026139667960434855,99,23,-2.41635494361827,1.9729136032214392
