variant,decay_ratio_threshold,recovery_ratio_threshold,derisk_scale,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate,rebalanced_days,signal_days,volreg_days,overlay_days,overlay_ratio,overlay_asset_days,avg_removed_weight,trigger_count,recovery_count,annual_delta_vs_base,maxdd_delta_vs_base
asset_decay20_rec45_x0p96,0.2,0.45,0.96,18.145042180543513,15.847490351369137,1.1335999400022874,-19.63131540026333,0.9242906962974127,1996.1473927057814,65.0,907,953,164,904,0.19690699194075365,986,0.003072485665824841,100,28,-2.0054473412859615,1.1578809128506826
asset_decay20_rec55_x0p96,0.2,0.55,0.96,18.14900807267199,15.841746084867584,1.134165512342982,-19.637199922325284,0.9242156796518944,1997.4317411651366,65.0,907,953,164,1002,0.21825310389893268,1138,0.0035633982926514436,95,22,-2.0014814491574846,1.151996390788728
asset_decay20_rec50_x0p96,0.2,0.5,0.96,18.146342239080337,15.84544351511597,1.1337955943197462,-19.637199922325284,0.924079925389464,1996.5683328695309,65.0,907,953,164,945,0.20583750816815508,1052,0.003296697950381251,96,24,-2.0041472827491376,1.151996390788728
asset_decay20_rec60_x0p96,0.2,0.6,0.96,18.13666950732975,15.840478170453428,1.1335827902266122,-19.637199922325284,0.9235873535467957,1993.4383554044089,65.0,907,953,164,1038,0.22609453278152908,1184,0.003721003505067194,94,20,-2.013820014499725,1.151996390788728
asset_decay25_rec45_x0p96,0.25,0.45,0.96,18.146973126272957,15.834552868026455,1.1344998119522947,-19.65238156609184,0.9233981675576506,1996.772633817138,65.0,907,953,164,1087,0.2367675887606186,1219,0.003921628474032267,114,38,-2.0035163955565167,1.1368147470221714
asset_decay20_rec65_x0p96,0.2,0.65,0.96,18.131860901402064,15.83585906150493,1.1336094147512839,-19.637199922325284,0.923342481266292,1991.8839935517549,65.0,907,953,164,1101,0.23981703332607276,1263,0.004222522631106264,91,17,-2.0186286204274104,1.151996390788728
asset_decay25_rec55_x0p96,0.25,0.55,0.96,18.146133389461493,15.828200096851095,1.1348463667370319,-19.664224245786915,0.9227993518915105,1996.50070499524,65.0,907,953,164,1199,0.2611631452842518,1389,0.004483211660854666,104,29,-2.004356132367981,1.1249720673270964
asset_decay25_rec50_x0p96,0.25,0.5,0.96,18.14414087542997,15.832332313973291,1.134485094763705,-19.664224245786915,0.9226980250348484,1995.8556100265619,65.0,907,953,164,1127,0.24548028751905904,1289,0.0041720947904608455,108,33,-2.0063486463995055,1.1249720673270964
asset_decay20_rec70_x0p96,0.2,0.7,0.96,18.114500370343343,15.832744681493747,1.1328709117925229,-19.637199922325284,0.9224584177986189,1986.2813477178556,65.0,907,953,164,1191,0.2594206055325637,1383,0.004772685945474804,90,15,-2.035989151486131,1.151996390788728
asset_decay20_rec45_x0p97,0.2,0.45,0.97,18.16203767591189,15.860375456527976,1.1337173346006117,-19.693058650379644,0.9222558058832451,2001.6565976761449,65.0,907,953,164,904,0.19690699194075365,986,0.002304364249368631,100,28,-1.9884518459175844,1.0961376627343675
asset_decay20_rec55_x0p97,0.2,0.55,0.97,18.165015299558497,15.856056177844282,1.1341419535651862,-19.69746865394377,0.9222004927989339,2002.6232224023167,65.0,907,953,164,1002,0.21825310389893268,1138,0.002672548719488583,95,22,-1.9854742222709767,1.0917276591702425
asset_decay20_rec50_x0p97,0.2,0.5,0.97,18.16301337394726,15.858838867190128,1.1338640671883675,-19.69746865394377,0.9220988591501433,2001.973291847083,65.0,907,953,164,945,0.20583750816815508,1052,0.002472523462785939,96,24,-1.9874761478822158,1.0917276591702425
